frame,time_ps,trace_eV,mean_diag_eV,min_diag_eV,max_diag_eV,diagonal_spread_eV
0,0.0,15.791,3.94775,3.779,4.013,0.23399999999999999
1,5.0,15.777000000000001,3.9442500000000003,3.756,4.017,0.26100000000000056
2,10.0,15.822,3.9555,3.779,4.021,0.242
3,15.0,15.787999999999998,3.9469999999999996,3.75,4.019,0.26900000000000013
4,20.0,15.814,3.9535,3.761,4.024,0.2629999999999999
5,25.0,15.832,3.958,3.797,4.034,0.23699999999999966
6,30.0,15.838999999999999,3.9597499999999997,3.776,4.029,0.2530000000000001
7,35.0,15.79,3.9475,3.79,4.02,0.22999999999999954
8,40.0,15.814,3.9535,3.793,4.02,0.22699999999999942
9,45.0,15.788,3.947,3.75,4.019,0.26900000000000013
10,50.0,15.805,3.95125,3.791,4.02,0.22899999999999965
11,55.0,15.79,3.9475,3.787,4.016,0.2290000000000001
12,60.0,15.836,3.959,3.797,4.035,0.238
13,65.0,15.839999999999998,3.9599999999999995,3.783,4.031,0.24799999999999978
14,70.0,15.784,3.946,3.785,4.014,0.2290000000000001
15,75.0,15.839,3.95975,3.797,4.026,0.22899999999999965
16,80.0,15.791999999999998,3.9479999999999995,3.787,4.021,0.23399999999999999
17,85.0,15.79,3.9475,3.756,4.023,0.2669999999999999
18,90.0,15.803,3.95075,3.753,4.022,0.26900000000000013
19,95.0,15.788000000000002,3.9470000000000005,3.781,4.009,0.2280000000000002
20,100.0,15.794,3.9485,3.768,4.016,0.24800000000000022
