run,timestep,n_water,cos_theta_z_mean,cos_theta_z_std,abs_cos_theta_z_mean,S_z_mean,S_z_std,cos_theta_radial_mean,cos_theta_radial_std,abs_cos_theta_radial_mean
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_10k,0,29987,0.0018728539932602085,0.5716064385219731,0.49400870447872625,-0.00991020156555056,0.44382700255315816,0.04608817352253027,0.5706633706773503,0.4942157889257315
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_10k,1000,29987,0.14135324510049407,0.5623364695506862,0.5024436648063798,0.004288749361052343,0.44913715499574464,0.041851949941258654,0.5670771897394244,0.489989280862465
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_10k,2000,29987,0.19341742997316136,0.5550084201275214,0.5110599285310141,0.01815156455051358,0.452981503245202,0.040903297791347756,0.563665817226919,0.48639195900291604
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_10k,3000,29987,0.2291414809134428,0.5460322175459718,0.5165712957840453,0.025970587288192844,0.4545480441526719,0.04319171457608943,0.561195101411472,0.48455555477919166
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_10k,4000,29987,0.26367777627716377,0.5400204521924179,0.5263169307347334,0.04170750030720327,0.45885951115845136,0.04264083651882376,0.5570228716120654,0.4798966620741999
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_10k,5000,29987,0.2932311289921719,0.5320257768262976,0.5338087108879674,0.053539724619673865,0.4608003807749785,0.04049468840869999,0.5526055370369475,0.4746057979385055
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_10k,6000,29987,0.32460961150604284,0.5222144464396686,0.542404867107556,0.06710535062095352,0.46216030453960666,0.04028415155138479,0.5482687311313765,0.4706662334863699
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_10k,7000,29987,0.35070554881794885,0.5140530023203098,0.550867260495045,0.08085408849696576,0.46533766328502263,0.04096513471271292,0.5447134491937814,0.4670013662696205
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_10k,8000,29987,0.3773313224562014,0.5048991835189586,0.5594841879339153,0.09594041695197923,0.46837526450557615,0.040905839102410975,0.5407166335025146,0.46250971400091756
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_10k,9000,29987,0.3993504736711352,0.496660776307498,0.5681937824035553,0.10921675237237846,0.4686543841504378,0.040678233761512625,0.5364216717820337,0.4577187312417678
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_10k,10000,29987,0.42269786911804197,0.489814188878841,0.5786812537884548,0.1278751411784985,0.4720188374545497,0.040436152399923264,0.530477690677832,0.45146623913948536
