run,timestep,n_water,cos_theta_z_mean,cos_theta_z_std,abs_cos_theta_z_mean,S_z_mean,S_z_std,cos_theta_radial_mean,cos_theta_radial_std,abs_cos_theta_radial_mean
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_extend_20k_to_30k,20000,29987,0.5785636534694282,0.40853893432758515,0.6528749382617254,0.2524515941452519,0.4719791084779369,0.03748661728489476,0.49196908265448724,0.4128374468751709
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_extend_20k_to_30k,21000,29987,0.5892990969904839,0.4009927740460283,0.6588162300379621,0.2620949025807448,0.46996010792522797,0.040083515946877486,0.48891443686689157,0.41004859242903524
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_extend_20k_to_30k,22000,29987,0.5998081162486197,0.3962000502323583,0.6660959450314874,0.275108532056183,0.46902602240790936,0.038597450130194326,0.4859305207427352,0.4070244694741692
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_extend_20k_to_30k,23000,29987,0.609527213596043,0.38957141566703035,0.6717467102719571,0.28492637644437396,0.46781495384699,0.035021023793908874,0.481555502810008,0.40249680937751076
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_extend_20k_to_30k,24000,29987,0.6193880709378179,0.3834562719526822,0.6776740447081153,0.2960130872570361,0.466838891917557,0.03641315173483203,0.4772423490696015,0.39841296984944374
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_extend_20k_to_30k,25000,29987,0.627935460261347,0.37653065988249057,0.6819671075065123,0.30411032828773804,0.46731074556253893,0.0360885567046478,0.474834421152009,0.39637345898216875
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_extend_20k_to_30k,26000,29987,0.6358746211508448,0.3709471743810444,0.6872760292542818,0.3129006269345429,0.4642318143672382,0.03756114990859267,0.47152169792289594,0.39283875211428065
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_extend_20k_to_30k,27000,29987,0.6444167521391652,0.36286232398386464,0.6923143351247638,0.3204064385994672,0.46048058188907426,0.03524469992740348,0.46887963838453217,0.3903421197604719
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_extend_20k_to_30k,28000,29987,0.6486905311376393,0.3619050041988082,0.6953342768392938,0.32765540427702783,0.4625887500634428,0.03497035898256518,0.4658611109414737,0.3870325058830932
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_extend_20k_to_30k,29000,29987,0.656734799268656,0.3548066383519482,0.700417798138875,0.33577622366729676,0.4587365405625795,0.03520966385956536,0.4632421931722146,0.3850233696853011
nvt300_fieldZ_contained_bn_like_chromophore_12dipoles_carved_extend_20k_to_30k,30000,29987,0.6622411212197515,0.3507645001559459,0.7037103416240366,0.34239240135240795,0.45775617944296787,0.03506735373344399,0.46082381890725765,0.3828939212073323
