lag_index,lag_steps,n_time_origins,n_molecule_pairs,C1_mu,C1_mu_std,lag_time_ps
0,0,21,630000,1.0,1.5789571477842923e-16,0.0
1,1000,20,600000,0.8629272361687516,0.1806448990319613,0.1
2,2000,19,570000,0.8296866451611111,0.21051996912800966,0.2
3,3000,18,540000,0.8036279055231237,0.23578689703141878,0.3
4,4000,17,510000,0.7820564697359553,0.25755523559981347,0.4
5,5000,16,480000,0.7630467873696605,0.2750373179782637,0.5
6,6000,15,450000,0.7450685310981779,0.29148231881679443,0.6
7,7000,14,420000,0.729127028838937,0.3056837878959572,0.7
8,8000,13,390000,0.7136472821067386,0.31801341083040957,0.8
9,9000,12,360000,0.6994109745721983,0.3302309658084504,0.9
10,10000,11,330000,0.6855454239763057,0.341336329371795,1.0
11,11000,10,300000,0.6726892813615536,0.35014498207896283,1.1
12,12000,9,270000,0.6602834784833779,0.3597799233849093,1.2
13,13000,8,240000,0.6478568293617694,0.3691027398922056,1.3
14,14000,7,210000,0.6367190983049245,0.3770335806140676,1.4
15,15000,6,180000,0.6248607001404325,0.385323931117886,1.5
16,16000,5,150000,0.6137700672266615,0.39332957968326754,1.6
17,17000,4,120000,0.6034629262509779,0.39973122569574543,1.7
18,18000,3,90000,0.5927016175910952,0.40569387842438254,1.8
19,19000,2,60000,0.5824495391856375,0.4120812920302489,1.9
20,20000,1,30000,0.5731906482350158,0.41962208394793343,2.0
