run,timestep,n_water,cos_theta_z_mean,cos_theta_z_std,abs_cos_theta_z_mean,S_z_mean,S_z_std,cos_theta_radial_mean,cos_theta_radial_std,abs_cos_theta_radial_mean
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,30000,0.0024434056119728583,0.5756270268505904,0.49756751128302096,-0.002987900915949524,0.4479968901700714,0.03992305687582687,0.5715103895064519,0.49493044985091245
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,30000,0.002437225742398334,0.5746708095567726,0.4971178388376969,-0.004637793188034164,0.4460887125473808,0.04239771997744485,0.5719005131445098,0.49556184432443284
nvt300_hold_contained_bn_like_extend_20k_to_50k,24000,30000,0.001980604527079663,0.5738028744981698,0.49529086120932586,-0.006135970121956339,0.44735144680226824,0.04329143864296822,0.5736453398090682,0.49757135350684123
nvt300_hold_contained_bn_like_extend_20k_to_50k,26000,30000,0.0018025958120697814,0.5756079302260625,0.498066853029139,-0.003024958188276873,0.44667681946080295,0.04137134077557084,0.5699253066598089,0.4934830439251876
nvt300_hold_contained_bn_like_extend_20k_to_50k,28000,30000,0.004070361084397325,0.5754589917336483,0.4975723477639577,-0.0032621291428614825,0.4475661095264503,0.03951010695749848,0.5706199010421767,0.493681516296794
nvt300_hold_contained_bn_like_extend_20k_to_50k,30000,30000,0.0027110614674853645,0.5757146480354599,0.4976800422897962,-0.002834513642487215,0.44738303029750437,0.03981070325821752,0.5703127605157098,0.49335371016601165
nvt300_hold_contained_bn_like_extend_20k_to_50k,32000,30000,0.00385623667202784,0.5742911371508164,0.49695789345381,-0.00527871935863783,0.44450193793382226,0.03873059194210925,0.5721695803058298,0.4954408641491797
nvt300_hold_contained_bn_like_extend_20k_to_50k,34000,30000,0.00016130292116218074,0.5738997939776551,0.4958728416866121,-0.005974968729335234,0.4473321749812458,0.04105060882600628,0.572135708133204,0.4953402112648538
nvt300_hold_contained_bn_like_extend_20k_to_50k,36000,30000,0.0026663405169518907,0.5732802365268338,0.4949155040836838,-0.007030424065457351,0.44607529995788614,0.04312434332940649,0.5715310091958651,0.49471065930620123
nvt300_hold_contained_bn_like_extend_20k_to_50k,38000,30000,0.004138704592809426,0.5742565204713229,0.4963358645926157,-0.005334968258259105,0.4469346697366997,0.04438415995151508,0.5713717230286905,0.4950594179800238
nvt300_hold_contained_bn_like_extend_20k_to_50k,40000,30000,0.0016586587290855538,0.5768484394371292,0.4989011790397091,-0.0008813278613578412,0.44816240036601557,0.040901239182243976,0.5701204208826446,0.4937034546035664
nvt300_hold_contained_bn_like_extend_20k_to_50k,42000,30000,-0.0013212976851217984,0.5752478575704161,0.49741590009490433,-0.0036487803044923926,0.4469928908773317,0.04097474191269222,0.5695508133981269,0.4933227585332034
nvt300_hold_contained_bn_like_extend_20k_to_50k,44000,30000,-0.0009009429503766237,0.5746724607407522,0.4968526775826998,-0.004642639173809918,0.4474211879247482,0.039217238291866546,0.5717555292558045,0.49464990913311446
nvt300_hold_contained_bn_like_extend_20k_to_50k,46000,30000,-0.0008566833720666696,0.5737504224020448,0.49525998716530883,-0.006231037807973117,0.4473162390005219,0.04025243476471544,0.5706141862227035,0.49432830489006246
nvt300_hold_contained_bn_like_extend_20k_to_50k,48000,30000,-0.000717313376786633,0.5736438458078794,0.4956379088263159,-0.0064147888054897125,0.4463563357720032,0.043582353214074616,0.5723651691499366,0.4960351320431556
nvt300_hold_contained_bn_like_extend_20k_to_50k,50000,30000,-0.0016938855479455939,0.5741101963072139,0.4960198869652414,-0.005608399997639259,0.4468555631875871,0.04373711567134155,0.5712931360718247,0.4949037335812301
