lag_time_ps,C_mu_hydrated_scaffold_water,C_mu_water_only_contained,delta_C_mu_hydrated_minus_water_only
0.0,1.0,1.0,0.0
0.1,0.8672354064237046,0.8629272361687516,0.004308170254953003
0.2,0.8345586264667687,0.8296866451611111,0.00487198130565758
0.3,0.8085619418028472,0.8036279055231237,0.004934036279723553
0.4,0.7879337377060297,0.7820564697359553,0.0058772679700743735
0.5,0.7694092482882718,0.7630467873696605,0.006362460918611368
0.6,0.7523222973386801,0.7450685310981779,0.007253766240502113
0.7,0.7368500083851863,0.729127028838937,0.007722979546249342
0.8,0.7215697049199908,0.7136472821067386,0.007922422813252283
0.9,0.7073510672650734,0.6994109745721983,0.0079400926928751
1.0,0.6941426705541135,0.6855454239763057,0.008597246577807804
1.1,0.6815849555222244,0.6726892813615536,0.00889567416067083
1.2,0.6698735088161372,0.6602834784833779,0.009590030332759292
1.3,0.6577385648667313,0.6478568293617694,0.009881735504961964
1.4,0.6462438952144527,0.6367190983049245,0.009524796909528233
1.5,0.6345767660719421,0.6248607001404325,0.009716065931509643
1.6,0.6234979833324428,0.6137700672266615,0.009727916105781276
1.7,0.6126671683715791,0.6034629262509779,0.009204242120601225
1.8,0.6022855915907936,0.5927016175910952,0.009583973999698459
1.9,0.5914899459716938,0.5824495391856375,0.009040406786056332
2.0,0.5853439007951227,0.5731906482350158,0.012153252560106909
