run,timestep,n_water,cos_theta_z_mean,cos_theta_z_std,abs_cos_theta_z_mean,S_z_mean,S_z_std,cos_theta_radial_mean,cos_theta_radial_std,abs_cos_theta_radial_mean
nvt300_fieldZ_scaffold_water,0,30000,0.0024434056119728583,0.5756270268505904,0.49756751128302096,-0.002987900915949524,0.4479968901700714,0.03992305687582687,0.5715103895064519,0.49493044985091245
nvt300_fieldZ_scaffold_water,1000,30000,0.19950274148836156,0.5547419759993398,0.5132121493526752,0.02129461876253935,0.45292182635436673,0.04211898339027356,0.5650344976427013,0.48808195117128594
nvt300_fieldZ_scaffold_water,2000,30000,0.2715120127417394,0.5404063730648564,0.5300649655195618,0.048622129715872264,0.4594029415574002,0.039717636047227736,0.5561270640312194,0.4784119329376652
nvt300_fieldZ_scaffold_water,3000,30000,0.33150460394015707,0.5205012033231966,0.5441592263810833,0.07121166156649111,0.4639111207241144,0.03859399342399062,0.5498654382068775,0.47210860133037497
nvt300_fieldZ_scaffold_water,4000,30000,0.3869500519446512,0.5023113538029861,0.5639029734307965,0.10305794245422734,0.4696900437275945,0.035578598350149364,0.543345063787037,0.4647897292573269
nvt300_fieldZ_scaffold_water,5000,30000,0.43059997172821907,0.4846542595993722,0.5801344652582732,0.1304473860126706,0.4737702159054752,0.036036303282836496,0.533076943233367,0.4543145753797123
nvt300_fieldZ_scaffold_water,6000,30000,0.4706855498115021,0.4664029326629093,0.597415307998317,0.15860399701209763,0.4743160303177885,0.03496682090805299,0.5256295389860032,0.4470130510640133
nvt300_fieldZ_scaffold_water,7000,30000,0.5051677586247798,0.4484501964116866,0.6130962611676245,0.18444300914456302,0.4746146580234078,0.03329244166722123,0.5172046615823808,0.4375749067119731
nvt300_fieldZ_scaffold_water,8000,30000,0.5371923591161248,0.4320163625998573,0.6290539930283897,0.21281132046326082,0.47541740388579745,0.035464813611374955,0.5066719338144936,0.42740860457730984
nvt300_fieldZ_scaffold_water,9000,30000,0.5639608106454093,0.41428396671282963,0.641674287897426,0.23451591996846236,0.4744728857492178,0.03470544389305608,0.4996297742922955,0.4206005731781122
nvt300_fieldZ_scaffold_water,10000,30000,0.5879816816600225,0.3984315840060996,0.655325459522768,0.25669734026567986,0.47081864052950767,0.03263601941281971,0.49427229977984527,0.4158175845110156
