run,timestep,n_water,cos_theta_z_mean,cos_theta_z_std,abs_cos_theta_z_mean,S_z_mean,S_z_std,cos_theta_radial_mean,cos_theta_radial_std,abs_cos_theta_radial_mean
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,30000,0.587978837871484,0.3984329432515714,0.6553235292546655,0.25669394863870265,0.4708189208585572,0.032636102406070365,0.49427341467511227,0.4158187537654909
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,12000,30000,0.6264725740997183,0.3724254864541872,0.6785115642839719,0.29674600855249966,0.46552999999523087,0.030824571796461933,0.4813969418095747,0.403571352931858
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,14000,30000,0.657305995960172,0.3477352824381083,0.6966657080815711,0.32945045247492427,0.46035916081683387,0.02649517413348087,0.4696997047078779,0.39149744572724693
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,16000,30000,0.6837916185581231,0.3276631844091248,0.7155694094464141,0.3623958418830779,0.451358698426498,0.02688042501414542,0.45854989649409994,0.380533718677218
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,18000,30000,0.7024692989440982,0.3122162370704007,0.7287455715620885,0.3864082680251855,0.4444654028001328,0.024611037739950128,0.44950092267162634,0.3730643068340321
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,20000,30000,0.7164608117951043,0.29784358338883177,0.7388349760117848,0.4030359069659918,0.43718640616068105,0.024510546567739513,0.44486203520876033,0.3672269150641759
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,22000,30000,0.7270628803731679,0.28959632652687733,0.7468517993769225,0.41872550322996704,0.43331689411634244,0.023762386883777856,0.4380622219489056,0.36228373111412765
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,24000,30000,0.740663370652246,0.27665984655475845,0.7573782739452214,0.43768052194893825,0.42539727211056033,0.02461395003964896,0.4300354238885751,0.35459183113091647
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,26000,30000,0.7476790480381924,0.2689434183608723,0.7627537780375834,0.4470281652042794,0.42035361474013194,0.019971713749212156,0.42690702565864025,0.3519076532231332
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,28000,30000,0.7551617251956249,0.2626020058888503,0.7691558037713458,0.45884011905524547,0.41468901091447163,0.021738845408329478,0.4215106046672489,0.3463111359041394
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,30000,30000,0.763214527294835,0.2552398626542778,0.7756730439876294,0.4714624458731052,0.4109247067421074,0.02224145741102827,0.41809091511596846,0.34275350474873545
