run,timestep,n_water,cos_theta_z_mean,cos_theta_z_std,abs_cos_theta_z_mean,S_z_mean,S_z_std,cos_theta_radial_mean,cos_theta_radial_std,abs_cos_theta_radial_mean
nvt300_water_only_contained,0,30000,0.002443405611972859,0.5756270268505904,0.49756751128302096,-0.0029879009159495228,0.4479968901700714,0.03992305687582687,0.5715103895064518,0.49493044985091245
nvt300_water_only_contained,1000,30000,0.0034445663544106302,0.5759735901250445,0.4982631720322392,-0.0023804249404720612,0.44537217545347524,0.04199889869274711,0.5714066266190881,0.4956819897615051
nvt300_water_only_contained,2000,30000,0.0008337036405434525,0.5741162893361861,0.4965385042433964,-0.005601167361316597,0.44513782092858395,0.04190370214505762,0.5734732421902692,0.49732558617799894
nvt300_water_only_contained,3000,30000,0.0013217142498419827,0.5732467744472303,0.4952008644576832,-0.007096013579152724,0.4439595757091422,0.04286853022564437,0.5733224528902328,0.4973681604810527
nvt300_water_only_contained,4000,30000,0.0008811390436296601,0.5739434465930898,0.49588003529542973,-0.005898686114240692,0.44671065756528205,0.04338083328787696,0.574176041403789,0.498307608455238
nvt300_water_only_contained,5000,30000,0.0010628091747303648,0.5765851001317035,0.49880139997835893,-0.0013393616330420874,0.4468071573573495,0.044409056143820895,0.571502329120569,0.49583678984610563
nvt300_water_only_contained,6000,30000,0.003976839487497364,0.5758633721951546,0.49831424949742553,-0.002564922898745122,0.44724758492553124,0.046231215615334775,0.5703873550693884,0.49478887840838626
nvt300_water_only_contained,7000,30000,0.00386475600837212,0.5760215882250748,0.49861037410660586,-0.002292880382992248,0.4465039093205514,0.042637957175217844,0.5720823368573679,0.49666071963695885
nvt300_water_only_contained,8000,30000,0.0055359202548807525,0.5760359248522148,0.49779149081492136,-0.0022445411692138535,0.44856889017912527,0.044545723611458296,0.5711601804718128,0.49523622643556214
nvt300_water_only_contained,9000,30000,0.004875978480296868,0.5762270168837924,0.4984579978545332,-0.0019245766493472165,0.446966477936545,0.042204005089272294,0.5693104705485341,0.492869473178733
nvt300_water_only_contained,10000,30000,0.005185169886966302,0.5758220193214777,0.4981561005029826,-0.002619752666565392,0.44670243463661474,0.04370040059702705,0.5708974204654439,0.49447194751539925
nvt300_water_only_contained,11000,30000,0.0037184072004526835,0.5750942360508517,0.4969018949187139,-0.0038957263324853053,0.4475337281460683,0.04442039044034632,0.5712031183716417,0.4952610681060711
nvt300_water_only_contained,12000,30000,0.004278760699437209,0.576095349964883,0.49808790838790556,-0.0021603542261865384,0.44934187874906506,0.042295063654959685,0.5730256477407681,0.49634485562295144
nvt300_water_only_contained,13000,30000,0.004495274987222234,0.5758577495255073,0.498349061725724,-0.00256804782869537,0.44584350999661493,0.041235494029604976,0.5719237234546596,0.49518346219486464
nvt300_water_only_contained,14000,30000,0.0017741267073342276,0.5755199535563064,0.4979137171536685,-0.003177014460307019,0.4465495790794385,0.04185151397123702,0.5713197463435338,0.4943572371389732
nvt300_water_only_contained,15000,30000,0.0036390463459716918,0.5748286685789116,0.49662305355108555,-0.0043546600821426544,0.44700814378963327,0.04092799800300445,0.5726578270646926,0.4959385593093753
nvt300_water_only_contained,16000,30000,0.0033199731021051524,0.5748216526724598,0.4970834897350065,-0.004370089092874028,0.44496155607258975,0.04192274763478552,0.5708641268503825,0.49499107313218615
nvt300_water_only_contained,17000,30000,0.004029118018763981,0.5749902052350666,0.4977013688215822,-0.004071575824396089,0.4453339909263764,0.04312783988021374,0.57130331605378,0.4951323107195035
nvt300_water_only_contained,18000,30000,0.004022412264813037,0.5737067074506359,0.4958946774310589,-0.006283108007892194,0.445290044183554,0.043895549550026315,0.5701512088237439,0.4943074933292696
nvt300_water_only_contained,19000,30000,0.003792737142480797,0.5742581688123062,0.4962680074421964,-0.0053362446681798,0.44626880063710833,0.04405031565291065,0.5682670466610498,0.4921144346156537
nvt300_water_only_contained,20000,30000,0.004355703885200744,0.5745264879618805,0.49669127336411206,-0.004867017745045873,0.44626566714118604,0.04193124414099751,0.5703564455101399,0.4944943346223509
