dataset,bin,normalized_radius_lower,normalized_radius_upper,normalized_radius_center,mean_number_density_nm-3,std_number_density_nm-3,total_waterO_observations
frozen,0,0.0,0.041666666666666664,0.020833333333333332,21.715658768492553,21.391880284137855,206
frozen,1,0.041666666666666664,0.08333333333333333,0.0625,24.034806792312143,15.534443677213131,684
frozen,2,0.08333333333333333,0.125,0.10416666666666666,24.140222611576675,13.455684142409464,1145
frozen,3,0.125,0.16666666666666666,0.14583333333333331,24.320935444601577,13.64213998249125,1615
frozen,4,0.16666666666666666,0.20833333333333331,0.1875,23.73027220332574,14.112757808700636,2026
frozen,5,0.20833333333333331,0.25,0.22916666666666666,23.450228158208848,11.81715371335236,2447
frozen,6,0.25,0.29166666666666663,0.2708333333333333,22.90766841709915,11.656426489505188,2825
frozen,7,0.29166666666666663,0.3333333333333333,0.3125,21.525910293816384,11.08708509114607,3063
frozen,8,0.3333333333333333,0.375,0.35416666666666663,21.387009449609025,11.220206430157075,3449
frozen,9,0.375,0.41666666666666663,0.3958333333333333,21.626887552269814,11.253494225462758,3898
frozen,10,0.41666666666666663,0.4583333333333333,0.4375,21.158460866665763,10.710676650332093,4215
frozen,11,0.4583333333333333,0.5,0.47916666666666663,19.996922584831776,10.383235403055362,4363
frozen,12,0.5,0.5416666666666666,0.5208333333333333,18.55318419055676,9.855287451515792,4400
frozen,13,0.5416666666666666,0.5833333333333333,0.5625,16.90947826795062,8.859190147825828,4331
frozen,14,0.5833333333333333,0.625,0.6041666666666666,15.921423737194038,8.288270950383476,4380
frozen,15,0.625,0.6666666666666666,0.6458333333333333,14.945242763470844,7.248176335060499,4395
frozen,16,0.6666666666666666,0.7083333333333333,0.6875,13.7072509231541,6.296859791538347,4291
frozen,17,0.7083333333333333,0.75,0.7291666666666666,11.17708872259026,5.085511924626885,3711
frozen,18,0.75,0.7916666666666666,0.7708333333333333,3.4616275785513615,1.8801442169020126,1215
frozen,19,0.7916666666666666,0.8333333333333333,0.8125,0.00810890917419439,0.06587708955086011,3
frozen,20,0.8333333333333333,0.875,0.8541666666666666,0.0,0.0,0
frozen,21,0.875,0.9166666666666666,0.8958333333333333,0.0,0.0,0
frozen,22,0.9166666666666666,0.9583333333333333,0.9375,0.0,0.0,0
frozen,23,0.9583333333333333,1.0,0.9791666666666666,0.0,0.0,0
mobile,0,0.0,0.041666666666666664,0.020833333333333332,0.30787542980469923,2.5011919442291073,3
mobile,1,0.041666666666666664,0.08333333333333333,0.0625,0.10298107021967676,0.8366264701015252,3
mobile,2,0.08333333333333333,0.125,0.10416666666666666,0.08229914049715244,0.5775632708110439,4
mobile,3,0.125,0.16666666666666666,0.14583333333333331,0.1321363829487569,0.6103149259298433,9
mobile,4,0.16666666666666666,0.20833333333333331,0.1875,0.13681423897565814,0.5892699378839468,12
mobile,5,0.20833333333333331,0.25,0.22916666666666666,0.15901312668641665,0.6162020108829811,17
mobile,6,0.25,0.29166666666666663,0.2708333333333333,0.13400555524462995,0.4942151562121336,17
mobile,7,0.29166666666666663,0.3333333333333333,0.3125,0.10941760384838803,0.39665836412524136,16
mobile,8,0.3333333333333333,0.375,0.35416666666666663,0.13884393672058817,0.43964163672006673,23
mobile,9,0.375,0.41666666666666663,0.3958333333333333,0.11345587314540784,0.36577086087045385,21
mobile,10,0.41666666666666663,0.4583333333333333,0.4375,0.1076496665209803,0.3224376282067269,22
mobile,11,0.4583333333333333,0.5,0.47916666666666663,0.14733457048155657,0.3667341530463385,33
mobile,12,0.5,0.5416666666666666,0.5208333333333333,0.14359920707966403,0.3233582835955231,35
mobile,13,0.5416666666666666,0.5833333333333333,0.5625,0.07977616464461548,0.26813279616278857,21
mobile,14,0.5833333333333333,0.625,0.6041666666666666,0.11683953797746356,0.2995752944104849,33
mobile,15,0.625,0.6666666666666666,0.6458333333333333,0.09277086707156044,0.25767048801907344,28
mobile,16,0.6666666666666666,0.7083333333333333,0.6875,0.10260066294179812,0.284330282390062,33
mobile,17,0.7083333333333333,0.75,0.7291666666666666,0.0790998737954144,0.2092540419876469,27
mobile,18,0.75,0.7916666666666666,0.7708333333333333,0.04711672990141712,0.15501096798836064,17
mobile,19,0.7916666666666666,0.8333333333333333,0.8125,0.021023089097884255,0.10325985408647834,8
mobile,20,0.8333333333333333,0.875,0.8541666666666666,0.002520428509189162,0.03564424180687113,1
mobile,21,0.875,0.9166666666666666,0.8958333333333333,0.0,0.0,0
mobile,22,0.9166666666666666,0.9583333333333333,0.9375,0.0,0.0,0
mobile,23,0.9583333333333333,1.0,0.9791666666666666,0.0,0.0,0
