selection_rank,frame,time_ps,mobile_frame,matched_frozen_frame,mobile_lumen_water_count,mobile_lumen_number_density_nm-3,mobile_mean_normalized_radial_position,selection_status
1,0,0.0,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame0.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame0.gro,0,0.0,nan,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
2,29,14.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame29.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame29.gro,2,0.07164465867093697,0.447173214333956,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
3,41,20.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame41.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame41.gro,1,0.035754746856774974,0.7261833473076583,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
4,73,36.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame73.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame73.gro,1,0.035826056171115644,0.029776118647628122,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
5,75,37.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame75.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame75.gro,1,0.03581150060686847,0.03297227946205707,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
6,86,43.0,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame86.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame86.gro,7,0.24979214697887184,0.5599486748134419,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
7,102,51.0,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame102.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame102.gro,10,0.3594818840239046,0.39240955132003824,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
8,104,52.0,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame104.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame104.gro,11,0.3945217309498705,0.4256356823284662,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
9,106,53.0,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame106.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame106.gro,9,0.3230856401046903,0.39563963361087445,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
10,107,53.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame107.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame107.gro,7,0.25062364576354945,0.38773530563607267,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
