time_fs,PYR2,PYR3,PYR4,PYR5
0.0,0.0,0.0,0.0,1.0
10.0,5.539981791093261e-07,0.003794496947658119,0.21868529479319154,0.7775196542609712
20.0,3.0527498650200424e-05,0.049398010828084406,0.6096563986480452,0.3409150630252204
30.0,0.00028104746761962215,0.18222854233057104,0.7349654026123649,0.08252500758944468
40.0,0.0011985704687682349,0.37326699220434534,0.4870320858761232,0.1385023514507635
50.0,0.003262239708461477,0.5200560951514784,0.16832736048994107,0.30835430465011915
60.0,0.006548953524437605,0.5358163000343479,0.12104964064480893,0.3365851057964056
70.0,0.010514939726655893,0.4283382567113012,0.35564512431260026,0.2055016792494428
80.0,0.014266313352124334,0.2862798181177457,0.5785688386274574,0.12088502990267268
90.0,0.01712089491358854,0.19392632744797772,0.5445422280650077,0.2444105495734261
100.0,0.01899007459612571,0.16669942453535963,0.3167231667378106,0.4975873341307041
110.0,0.020305771032053242,0.16620757255949936,0.1639459415691337,0.6495407148393136
120.0,0.021646412987953948,0.16301467038171003,0.24628217017214055,0.5690567464581955
130.0,0.02342854414725801,0.17080565127551514,0.4523098554449195,0.3534559491323074
140.0,0.025857658274431122,0.2189175252472439,0.5476856319184622,0.20753918455986295
150.0,0.029022107259141932,0.3036145849058104,0.44076997753748054,0.2265933302975672
160.0,0.03291465366706654,0.37859406331150297,0.26580690313409566,0.3226843798873348
170.0,0.037340945344402965,0.395935069036262,0.21385082747153197,0.35287315814780307
180.0,0.04187508874819756,0.35123821096219127,0.321453902586905,0.2854327977027063
190.0,0.046003852694082976,0.2847340729545348,0.44949287373716984,0.21976920061421243
200.0,0.04939302978382466,0.24053565251659634,0.45366023536492817,0.2564110823346506
210.0,0.05205856621610771,0.2294963288244308,0.34119296648292946,0.37725213847653166
220.0,0.05430156386622074,0.23172829229239078,0.24611163346730883,0.4678585103740792
230.0,0.05648233891311751,0.22867477745549614,0.2698610941809982,0.4449817894503876
240.0,0.058834044272720855,0.22525093356755652,0.3745106126600862,0.34140440949963585
250.0,0.061436523396588616,0.23931498589099848,0.43831165802122074,0.2609368326911915
260.0,0.06429586697331659,0.27491572411916304,0.39594275681778374,0.26484565208973604
270.0,0.0673966116524665,0.3122370473508255,0.302770420620551,0.31759592037615625
280.0,0.07067344475255609,0.32551145519805746,0.2620711970450484,0.3417439030043374
290.0,0.07397168487362514,0.30808843041443174,0.30875288952594165,0.30918699518600057
300.0,0.0770856902358802,0.27739660496535795,0.3797341552448477,0.2657835495539133
310.0,0.07986932302168877,0.2562131395616425,0.3932538569059486,0.27066368051071943
320.0,0.08232127098027743,0.25187140138173414,0.3393799476681145,0.3264273799698733
330.0,0.08456538045064832,0.2545785378171187,0.2827469340567419,0.37810914767549053
340.0,0.08674889739035332,0.25322368456672606,0.28429690504751237,0.3757305129954077
350.0,0.08895491666725783,0.24888389762103477,0.3355486954143621,0.3266124902973447
360.0,0.0911958166542534,0.25158725347676064,0.37509465838974815,0.28212227147923735
370.0,0.09346439662247746,0.2661808517204583,0.36053732852874126,0.27981742312832253
380.0,0.09576961267345686,0.28465613458886085,0.31212580996362105,0.30744844277406086
390.0,0.0981195988097364,0.2934739491337958,0.2840854463411185,0.32432100571534883
400.0,0.1004845376244318,0.2870805599447833,0.3025142984689015,0.3099206039618826
410.0,0.10279469239048836,0.2726908268885121,0.3405155918905386,0.2839988888304602
420.0,0.10498483317649429,0.262041449962497,0.3532481539550541,0.2797255629059537
430.0,0.10704138483069683,0.2600016960523122,0.32840561120689277,0.30455130791009716
440.0,0.10900515160403974,0.26205472811480995,0.29590953945226567,0.33303058082888376
450.0,0.11093035442977035,0.26178970782258815,0.2908621356747428,0.336417802072898
460.0,0.11284397604347067,0.2588087854254251,0.3149456665140782,0.3134015720170251
470.0,0.11474251905765107,0.2583503370991541,0.3381600421652361,0.288747101677958
480.0,0.1166191788213849,0.26411453347627,0.3346139304201251,0.2846523572822195
490.0,0.11848429359593313,0.2731489285803928,0.3099937627078634,0.2983730151158101
500.0,0.12035596805899165,0.27851610078395395,0.29197044413178264,0.3091574870252711
510.0,0.12223515254712917,0.276364772359475,0.2979697280397519,0.3034303470536432
520.0,0.12409663283828683,0.2694808215296817,0.31757291455795666,0.28884963107407396
530.0,0.12590767287597365,0.263870311320638,0.3269103344081539,0.28331168139523377
540.0,0.1276547397968624,0.2626587932041351,0.3159609402206308,0.2937255267783711
550.0,0.12935110899190747,0.26391860733123895,0.2978515149250751,0.3088787687517778
560.0,0.13102020536517825,0.2640601067684791,0.2921023539433445,0.3128173339229976
570.0,0.13267465741609286,0.262310424783978,0.30279353017756727,0.3022213876223612
580.0,0.13431219410557457,0.26124652399063053,0.315803546601136,0.2886377353026584
590.0,0.13592839730868947,0.2632942688232627,0.31601720755645646,0.2847601263115909
600.0,0.137528291962159,0.26756797862523174,0.30373408369401156,0.29116964571859716
610.0,0.13912282651878352,0.27061598893810124,0.2926523091065332,0.29760887543658154
620.0,0.1407153494623449,0.27000714790050573,0.29362963940917175,0.2956478632279769
630.0,0.14229462584527075,0.26667578602542624,0.30331137892499926,0.287718209204303
640.0,0.14384290072757444,0.2636446029783585,0.3093547338831361,0.28315776241093016
650.0,0.1453506049719702,0.26283720043714903,0.3047696212102903,0.28704257338058975
660.0,0.14682271438519962,0.26351542507167774,0.29488210144077254,0.2947797591023493
670.0,0.14827163827843343,0.2637232513421014,0.29021537439677775,0.2977897359826867
680.0,0.14970564478322018,0.26274920140918445,0.2945319569484789,0.29301319685911564
690.0,0.1511248145820042,0.2617920288568285,0.3014893325460362,0.2855938240151302
700.0,0.15252660617798305,0.26232364926744695,0.302579078991132,0.28257066556343724
710.0,0.1539125418814944,0.2642320770132897,0.29654012137571745,0.2853152597294978
720.0,0.15528772006830713,0.26585752730927537,0.28992227888694083,0.28893247373547587
730.0,0.15665424052011234,0.26575274169295365,0.28916498191246304,0.2884280358744702
740.0,0.15800680618513713,0.26412810020003435,0.2936739906527216,0.2841911029621061
750.0,0.15933600471427103,0.26246850933907434,0.29725531342130285,0.280940172525351
760.0,0.16063601729325078,0.2619127364227912,0.2954320699327362,0.2820191763512212
770.0,0.16190885649251366,0.26223223531443995,0.2900930539006813,0.28576585429236445
780.0,0.163161369798904,0.2623898679948159,0.28674777397680895,0.2877009882294704
790.0,0.1643989067784357,0.26185548262133307,0.2881686807369843,0.28557692986324607
800.0,0.16562225923899684,0.261151113954837,0.29168689335934417,0.2815397334468213
810.0,0.16682999515626867,0.2611246419582128,0.2926625311353556,0.2793828317501621
820.0,0.16802230198987814,0.2619004545003789,0.28970523987910846,0.2803720036306336
830.0,0.1692015360168924,0.2627113903877509,0.28581665383548666,0.28227041975986916
840.0,0.17036915891609172,0.26273150758035385,0.2846700207463999,0.2822293127571536
850.0,0.1715230568189627,0.2619247666678818,0.28657769012162015,0.27997448639153444
860.0,0.17265862766399553,0.260999747066779,0.2885320999848445,0.2778095252843801
870.0,0.17377263231982515,0.26060959254345795,0.2878247257603702,0.27779304937634586
880.0,0.17486579906261682,0.2607242763980279,0.2849398645216192,0.2794700600177352
890.0,0.17594170649724178,0.26080981305576495,0.28267850484825374,0.2805699755987386
900.0,0.17700348097866145,0.2605112256286168,0.2828745511706422,0.27961074222207866
910.0,0.1780518161474247,0.26003451687634416,0.2845158030242792,0.27739786395195104
920.0,0.1790859083696398,0.25984766067181575,0.2851454139387249,0.27592101701981875
930.0,0.18010561104533193,0.260107495823327,0.2836705450458736,0.27611634808546665
940.0,0.1811121194264423,0.2604762524482245,0.2813912797142596,0.2770203484110726
950.0,0.18210656676711937,0.26049826195787645,0.28033482104923907,0.2770603502257641
960.0,0.18308840835132625,0.2600798681972471,0.2809896575178375,0.275842065933588
970.0,0.18405560118353126,0.25954780490892687,0.2819510990357674,0.2744454948717734
980.0,0.1850064495132105,0.259267133737184,0.28164920183024855,0.27407721491935594
990.0,0.18594114391493333,0.25927202670577154,0.28006327010684584,0.2747235592724481
1000.0,0.18686146021834926,0.25929644628465653,0.27857308538953557,0.2752690081074574
1010.0,0.18776911927207748,0.2591182351713433,0.27831312873167946,0.27479951682489856
1020.0,0.18866460393294632,0.2588047179232662,0.2789723522358664,0.27355832590791995
1030.0,0.18954749264478574,0.2586042955847608,0.27928703450249426,0.2725611772679581
1040.0,0.19041762494833614,0.25864323048196103,0.27850862978345975,0.2724305147862418
1050.0,0.1912756457864942,0.2587824244740979,0.2771546591531191,0.27278727058628754
1060.0,0.19212238221305356,0.25877784100572426,0.276310892970876,0.2727888838103448
1070.0,0.1929578991396118,0.2585432157746497,0.2763975891145638,0.27210129597117316
