time_fs,trace_real,trace_imag,min_density_eigenvalue,hermiticity_error,population_sum,population_error,coherence_l1,purity,PYR2,PYR3,PYR4,PYR5
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
10.0,1.0000000000000002,0.0,-5.0945147801916155e-12,0.0,1.0000000000000002,2.220446049250313e-16,1.006809577166868,0.9999999999587923,5.822887315749793e-07,0.0039739661645702175,0.225815582734838,0.7702098688118604
20.0,1.0000000000000004,0.0,-2.4363934980012994e-11,0.0,1.0000000000000004,4.440892098500626e-16,1.527879607938448,0.9999999998046205,3.340330529271301e-05,0.05408113249994335,0.645178353272377,0.3007071109223872
30.0,1.0,0.0,-5.644128876970722e-11,0.0,1.0,0.0,1.1619682650151137,0.999999999573166,0.0003166483692214463,0.2077683479687661,0.7788695495087128,0.013045454153299746
40.0,1.0,0.0,-6.936120255261436e-11,0.0,1.0000000000000002,2.220446049250313e-16,1.8206358964460174,0.9999999995054593,0.0013723667449579244,0.4400321996933327,0.47425078219858596,0.08434465136312355
50.0,1.0000000000000002,0.0,-9.104621327182527e-11,0.0,1.0000000000000002,2.220446049250313e-16,1.801462929740669,0.9999999992664619,0.003735615857289473,0.6248873713438258,0.0794120577285546,0.2919649550703304
60.0,1.0000000000000002,0.0,-1.0145231939423273e-10,0.0,1.0000000000000002,2.220446049250313e-16,1.7338959365614242,0.9999999991864763,0.007353454041129696,0.6360354244849363,0.04488086511287803,0.31173025636105617
70.0,1.0000000000000002,0.0,-1.3157418714943887e-10,0.0,1.0,0.0,2.1210529462141006,0.9999999990003429,0.01130908062961997,0.4650428266715761,0.40865796002998767,0.11499013266881641
80.0,1.0,0.0,-1.4084360480866571e-10,0.0,1.0,0.0,1.2990542382394352,0.999999998865609,0.014335882528299808,0.22980880707971302,0.7534408433603518,0.002414467031635458
90.0,1.0000000000000004,0.0,-1.7437217078833715e-10,0.0,1.0000000000000004,4.440892098500626e-16,1.860305678899754,0.9999999986877377,0.015764786541782455,0.0638075655275393,0.6844639052756636,0.23596374265501507
100.0,1.0000000000000004,0.0,-1.9360487696920662e-10,0.0,1.0000000000000004,4.440892098500626e-16,1.4476608062321286,0.9999999984622154,0.01597545467357422,0.0052896008640588525,0.28093286955972807,0.6978020749026393
110.0,1.0000000000000002,0.0,-1.9899687339955011e-10,0.0,1.0000000000000002,2.220446049250313e-16,0.44626630782274357,0.9999999983967051,0.0158332906453101,0.00034469676133049487,0.004722011341419965,0.9791000012519396
120.0,1.0000000000000002,0.0,-2.0433005430262284e-10,0.0,1.0000000000000002,2.220446049250313e-16,1.2036540199437138,0.9999999983666886,0.015651219295768473,0.002013732004373782,0.17134995870636635,0.8109850899934916
130.0,1.0000000000000002,0.0,-2.2022391433661522e-10,0.0,1.0,0.0,1.8454443316200577,0.9999999982249016,0.014785760012409723,0.04057435075672327,0.589009840279668,0.3556300489511992
140.0,1.0000000000000002,0.0,-2.5211807031262437e-10,0.0,1.0000000000000002,2.220446049250313e-16,1.525351908418228,0.9999999979684115,0.012370934180653322,0.17939673461427283,0.7786706103151938,0.02956172088988022
150.0,0.9999999999999998,0.0,-2.6261092214048607e-10,0.0,0.9999999999999998,2.220446049250313e-16,1.8835814767435075,0.9999999978833631,0.008485102864205611,0.40962223950301424,0.5229169168156453,0.05897574081713458
160.0,0.9999999999999998,0.0,-2.8757457462911504e-10,0.0,0.9999999999999998,2.220446049250313e-16,1.9106118350194736,0.9999999976896349,0.004515457477586218,0.6141319773521308,0.11495766760093339,0.2663948975693494
170.0,1.0,0.0,-3.0037215812534127e-10,0.0,1.0,0.0,1.4734109786865357,0.999999997595205,0.0022414955051361395,0.6562635283246667,0.02269107755477707,0.3188038986154201
180.0,1.0,0.0,-3.2121275987923655e-10,0.0,1.0,0.0,1.9841282833432556,0.9999999974110071,0.0024484910681482385,0.5059020461791294,0.3525636302678897,0.1390858324848326
190.0,1.0000000000000002,0.0,-3.362674853297273e-10,0.0,1.0,0.0,1.0920807700434043,0.9999999972931573,0.004368138446259742,0.26824396805446765,0.7272962809761593,9.161252311349321e-05
200.0,0.9999999999999999,0.0,-3.5876786389422547e-10,0.0,0.9999999999999998,2.220446049250313e-16,1.7400142227790487,0.9999999971265872,0.00642820464473487,0.08420903194979376,0.7177543532622778,0.19160841014319346
210.0,0.9999999999999998,0.0,-3.8647339672334435e-10,0.0,0.9999999999999998,2.220446049250313e-16,1.4649048004300085,0.9999999969041743,0.0075363551191452655,0.00996194124339753,0.33464199671306827,0.6478597069243888
220.0,1.0,0.0,-3.953355628522445e-10,0.0,1.0,0.0,0.5101055773812004,0.9999999968151676,0.0077073776136626915,0.0005694653129304765,0.01686321042855088,0.974859946644856
