frame,time_ps,site,root,family,is_bright_root,energy_au,state_energy_eV,table_energy_eV,energy_cm1,wavelength_nm,fosc,D2_au2,DX_au,DY_au,DZ_au,dipole_magnitude_au,reconstructed_D2_au2,D2_absolute_error,reconstructed_fosc,fosc_absolute_error,table_state_energy_difference_eV,carbon_centroid_x_A,carbon_centroid_y_A,carbon_centroid_z_A,source_output
0,0.0,PYR2,1,alternate_like,False,0.146956,3.999,3.998866,32253.0,310.0,0.001619329,0.01653,0.00665,0.07988,0.10051,0.12856904759700136,0.016527297,2.7029999999997334e-06,0.0016194551199999999,1.2611999999976968e-07,0.0001340000000000785,53.465624999999996,36.9725,29.99875,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR2_embedding/frame000_PYR2_embedding.out
0,0.0,PYR2,2,bright_like,True,0.149506,4.068,4.06827,32812.8,304.8,0.493214356,4.94843,0.22899,2.21269,-0.00182,2.2245066868858814,4.948436768599999,6.768599998707714e-06,0.4932133170533333,1.0389466666982372e-06,0.00027000000000043656,53.465624999999996,36.9725,29.99875,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR2_embedding/frame000_PYR2_embedding.out
0,0.0,PYR3,1,alternate_like,False,0.147016,4.0,4.000496,32266.2,309.9,0.007854502,0.08014,0.26565,-0.02762,-0.09384,0.2830900916669462,0.08013873249999999,1.2675000000128556e-06,0.007854574826666667,7.282666666767745e-08,0.000496000000000052,36.971875,53.464375,43.391875,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR3_embedding/frame000_PYR3_embedding.out
0,0.0,PYR3,2,bright_like,True,0.149904,4.079,4.079104,32900.2,303.9,0.504489664,5.04812,-2.23317,0.23498,0.07655,2.2468021719768743,5.0481237518,3.7518000004510554e-06,0.50448892032,7.436799999149812e-07,0.00010400000000032605,36.971875,53.464375,43.391875,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR3_embedding/frame000_PYR3_embedding.out
0,0.0,PYR4,1,alternate_like,False,0.147459,4.013,4.012561,32363.5,309.0,0.01561255,0.15882,-0.0379,-0.36917,0.14523,0.3985222703940145,0.1588146518,5.3481999999771546e-06,0.01561295892,4.0892000000014583e-07,0.0004390000000000782,20.480625,36.971875,56.783750000000005,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR4_embedding/frame000_PYR4_embedding.out
0,0.0,PYR4,2,bright_like,True,0.15031,4.09,4.090134,32989.2,303.1,0.503190422,5.02154,0.23463,2.2265,-0.09578,2.2408792917067175,5.0215272953,1.2704699999588343e-05,0.5031917849333333,1.3629333333042837e-06,0.0001340000000000785,20.480625,36.971875,56.783750000000005,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR4_embedding/frame000_PYR4_embedding.out
0,0.0,PYR5,1,bright_like,True,0.138884,3.779,3.779223,30481.5,328.1,0.652757565,7.05003,-2.63671,0.26656,-0.16351,2.6551892587911694,7.0500293778,6.221999999667105e-07,0.65275757768,1.267999993892488e-08,0.00022300000000008424,36.970000000000006,19.2875,70.175,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR5_embedding/frame000_PYR5_embedding.out
0,0.0,PYR5,2,alternate_like,False,0.141299,3.845,3.844952,31011.6,322.5,0.021233224,0.22541,0.38881,-0.04309,-0.26903,0.4747736302702584,0.22540710509999998,2.894900000022238e-06,0.021233471726666665,2.477266666661704e-07,4.8000000000048004e-05,36.970000000000006,19.2875,70.175,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR5_embedding/frame000_PYR5_embedding.out
1,5.0,PYR2,1,alternate_like,False,0.146774,3.994,3.993935,32213.3,310.4,0.031320949,0.32009,0.05862,0.54283,-0.1483,0.5657649688695828,0.32009360330000003,3.6033000000434967e-06,0.03132059310666666,3.5589333333835294e-07,6.500000000020378e-05,53.465624999999996,36.9725,29.99875,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame001_PYR2_embedding/frame001_PYR2_embedding.out
1,5.0,PYR2,2,bright_like,True,0.15005,4.083,4.083071,32932.2,303.7,0.479081305,4.78921,0.22634,2.17619,0.04692,2.1884263752751654,4.7892341981,2.4198100000205613e-05,0.47908064033333325,6.646666667609047e-07,7.100000000015427e-05,53.465624999999996,36.9725,29.99875,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame001_PYR2_embedding/frame001_PYR2_embedding.out
