outer_shell_n,inner_shell_m,annulus_heavy_atoms,annulus_edges,degree2_atoms,degree3_atoms,outer_boundary_atoms,outer_boundary_color0,outer_boundary_color1,inner_boundary_atoms,inner_boundary_color0,inner_boundary_color1,maximum_heteropolar_attachment_sites,homopolar_bonds_required_for_30_site_attachment,unused_outer_boundary_sites_after_30_attachments,outer_radius_mean_nm,outer_radius_maximum_nm,inner_radius_mean_nm,outer_radius_relative_error,inner_radius_relative_error,seed_heavy_atoms_per_end,total_added_heavy_atoms_per_end,total_heavy_relative_error,connected_components,bipartite,four_member_cycles,graph_integrity_pass,direct_30_site_heteropolar_attachment_possible,geometric_and_population_constraints_pass,direct_candidate_pass,screening_penalty,overall_screening_rank
5,2,126,168,42,84,30,15,15,12,6,6,15,15,0,1.0740412851132826,1.1322783693423681,0.5227089898747374,0.10431301368724762,0.2454255965495388,30,156,0.07487683944336797,1,True,0,True,False,True,False,192.46154496801543,1
6,2,192,264,48,144,36,18,18,12,6,6,18,12,6,1.3033876171790668,1.382957995266334,0.5227089898747374,0.08694827937209645,0.2454255965495388,30,222,0.529632425361716,1,True,0,True,False,False,False,206.20063012833512,2
5,1,144,198,36,108,30,15,15,6,3,3,15,15,0,1.0740412851132826,1.1322783693423681,0.2899467792522081,0.10431301368724762,0.30916217721004785,30,174,0.19890109014837196,1,True,0,True,False,False,False,211.23762810456674,3
6,1,210,294,42,168,36,18,18,6,3,3,18,12,6,1.3033876171790668,1.382957995266334,0.2899467792522081,0.08694827937209645,0.30916217721004785,30,240,0.65365667606672,1,True,0,True,False,False,False,224.97671326488643,4
6,3,162,216,54,108,36,18,18,18,9,9,18,12,6,1.3033876171790668,1.382957995266334,0.7530403636071633,0.08694827937209645,0.794221569244642,30,192,0.322925340853376,1,True,0,True,False,False,False,240.40951894701146,5
7,2,270,378,54,216,42,21,21,12,6,6,21,9,12,1.5326306943904509,1.6337671284058923,0.5227089898747374,0.27812346398231313,0.2454255965495388,30,300,1.0670708450833999,1,True,0,True,False,False,False,249.0619905615252,6
5,3,96,120,48,48,30,15,15,18,9,9,15,15,0,1.0740412851132826,1.1322783693423681,0.7530403636071633,0.10431301368724762,0.794221569244642,30,126,0.13183024506497204,1,True,0,True,False,False,False,253.03648279968615,7
4,1,90,120,30,60,24,12,12,6,3,3,12,18,0,0.844508187313442,0.8818387023079903,0.2899467792522081,0.2957300583362205,0.30916217721004785,30,120,0.17317166196664002,1,True,0,True,False,False,False,257.80638975129085,8
4,2,72,90,36,36,24,12,12,12,6,6,12,18,0,0.844508187313442,0.8818387023079903,0.5227089898747374,0.2957300583362205,0.2454255965495388,30,102,0.297195912671644,1,True,0,True,False,False,False,263.83515675574034,9
6,4,120,150,60,60,36,18,18,24,12,12,18,12,6,1.3033876171790668,1.382957995266334,0.9827339087577934,0.08694827937209645,1.341497828184354,30,150,0.033535422541699965,1,True,0,True,False,False,False,266.19815300981503,10
7,1,288,408,48,240,42,21,21,6,3,3,21,9,12,1.5326306943904509,1.6337671284058923,0.2899467792522081,0.27812346398231313,0.30916217721004785,30,318,1.191095095788404,1,True,0,True,False,False,False,267.83807369807647,11
7,3,240,330,60,180,42,21,21,18,9,9,21,9,12,1.5326306943904509,1.6337671284058923,0.7530403636071633,0.27812346398231313,0.794221569244642,30,270,0.8603637605750599,1,True,0,True,False,False,False,283.2708793802015,12
8,2,360,510,60,300,48,24,24,12,6,6,24,6,18,1.7618106620958056,1.8846540651393526,0.5227089898747374,0.4692460189924888,0.2454255965495388,30,390,1.68719209860842,1,True,0,True,False,False,False,300.18637141504473,13
7,4,198,264,66,132,42,21,21,24,12,12,21,9,12,1.5326306943904509,1.6337671284058923,0.9827339087577934,0.27812346398231313,1.341497828184354,30,228,0.570973842263384,1,True,0,True,False,False,False,309.05951344300513,14
8,1,378,540,54,324,48,24,24,6,3,3,24,6,18,1.7618106620958056,1.8846540651393526,0.2899467792522081,0.4692460189924888,0.30916217721004785,30,408,1.8112163493134241,1,True,0,True,False,False,False,318.96245455159607,15
7,5,144,180,72,72,42,21,21,30,15,15,21,9,12,1.5326306943904509,1.6337671284058923,1.2121602419574649,0.27812346398231313,1.8881374181363988,30,174,0.19890109014837196,1,True,0,True,False,False,False,326.51619722670836,16
8,3,330,462,66,264,48,24,24,18,9,9,24,6,18,1.7618106620958056,1.8846540651393526,0.7530403636071633,0.4692460189924888,0.794221569244642,30,360,1.4804850141000798,1,True,0,True,False,False,False,334.39526023372105,17
3,1,48,60,24,24,18,9,9,6,3,3,9,21,0,0.6145807560899622,0.6319243548827354,0.2899467792522081,0.4874759537665529,0.30916217721004785,30,78,0.462561580278316,1,True,0,True,False,False,False,335.91997112549166,18
5,4,54,54,54,0,30,15,15,24,12,12,15,15,0,1.0740412851132826,1.1322783693423681,0.9827339087577934,0.10431301368724762,1.341497828184354,30,84,0.421220163376648,1,True,0,True,False,False,False,336.70310052482495,19
4,3,42,42,42,0,24,12,12,18,9,9,12,18,0,0.844508187313442,0.8818387023079903,0.7530403636071633,0.2957300583362205,0.794221569244642,30,72,0.503902997179984,1,True,0,True,False,False,False,339.3854624760846,20
3,2,30,30,30,0,18,9,9,12,6,6,9,21,0,0.6145807560899622,0.6319243548827354,0.5227089898747374,0.4874759537665529,0.2454255965495388,30,60,0.5865858309833201,1,True,0,True,False,False,False,341.94873812994115,21
6,5,66,66,66,0,36,18,18,30,15,15,18,12,6,1.3033876171790668,1.382957995266334,1.2121602419574649,0.08694827937209645,1.8881374181363988,30,96,0.338537329573312,1,True,0,True,False,False,False,351.3623027081807,22
9,2,462,660,66,396,54,27,27,12,6,6,27,3,24,1.9909492296133704,2.135591384799777,0.5227089898747374,0.6603340486916282,0.2454255965495388,30,492,2.389996185936776,1,True,0,True,False,False,False,359.57558311779434,23
8,4,288,396,72,216,48,24,24,24,12,12,24,6,18,1.7618106620958056,1.8846540651393526,0.9827339087577934,0.4692460189924888,1.341497828184354,30,318,1.191095095788404,1,True,0,True,False,False,False,360.18389429652467,24
8,5,234,312,78,156,48,24,24,30,15,15,24,6,18,1.7618106620958056,1.8846540651393526,1.2121602419574649,0.4692460189924888,1.8881374181363988,30,264,0.819022343673392,1,True,0,True,False,False,False,377.64057808022795,25
9,1,480,690,60,420,54,27,27,6,3,3,27,3,24,1.9909492296133704,2.135591384799777,0.2899467792522081,0.6603340486916282,0.30916217721004785,30,510,2.51402043664178,1,True,0,True,False,False,False,378.3516662543456,26
8,6,168,210,84,84,48,24,24,36,18,18,24,6,18,1.7618106620958056,1.8846540651393526,1.4414489726901514,0.4692460189924888,2.434449151407478,30,198,0.36426675775504397,1,True,0,True,False,False,False,386.79619281550106,27
7,6,78,78,78,0,42,21,21,36,18,18,21,9,12,1.5326306943904509,1.6337671284058923,1.4414489726901514,0.27812346398231313,2.434449151407478,30,108,0.25585449576997604,1,True,0,True,False,False,False,386.8427111159767,28
9,3,432,612,72,360,54,27,27,18,9,9,27,3,24,1.9909492296133704,2.135591384799777,0.7530403636071633,0.6603340486916282,0.794221569244642,30,462,2.183289101428436,1,True,0,True,False,False,False,393.78447193647065,29
2,1,18,18,18,0,12,6,6,6,3,3,6,24,0,0.3835635356727425,0.3835635356727425,0.2899467792522081,0.6801306690087365,0.30916217721004785,30,48,0.669268664786656,1,True,0,True,False,False,False,405.856151100544,30
9,4,390,546,78,312,54,27,27,24,12,12,27,3,24,1.9909492296133704,2.135591384799777,0.9827339087577934,0.6603340486916282,1.341497828184354,30,420,1.8938991831167602,1,True,0,True,False,False,False,419.5731059992742,31
8,7,90,90,90,0,48,24,24,42,21,21,24,6,18,1.7618106620958056,1.8846540651393526,1.6706574521777096,0.4692460189924888,2.980569675120708,30,120,0.17317166196664002,1,True,0,True,False,False,False,422.29873560798364,32
10,2,576,828,72,504,60,30,30,12,6,6,30,0,30,2.220059168360799,2.3865631947664547,0.5227089898747374,0.8513982036876249,0.2454255965495388,30,606,3.175483107068468,1,True,0,True,True,False,False,427.23069073056314,33
9,5,336,462,84,252,54,27,27,30,15,15,27,3,24,1.9909492296133704,2.135591384799777,1.2121602419574649,0.6603340486916282,1.8881374181363988,30,366,1.521826431001748,1,True,0,True,False,False,False,437.02978978297745,34
10,1,594,858,66,528,60,30,30,6,3,3,30,0,30,2.220059168360799,2.3865631947664547,0.2899467792522081,0.8513982036876249,0.30916217721004785,30,624,3.299507357773472,1,True,0,True,True,False,False,446.0067738671144,35
9,6,270,360,90,180,54,27,27,36,18,18,27,3,24,1.9909492296133704,2.135591384799777,1.4414489726901514,0.6603340486916282,2.434449151407478,30,300,1.0670708450833999,1,True,0,True,False,False,False,446.1854045182506,36
9,7,192,240,96,96,54,27,27,42,21,21,27,3,24,1.9909492296133704,2.135591384799777,1.6706574521777096,0.6603340486916282,2.980569675120708,30,222,0.529632425361716,1,True,0,True,False,False,False,447.0536149174052,37
9,8,102,102,102,0,54,27,27,48,24,24,27,3,24,1.9909492296133704,2.135591384799777,1.8998150185504865,0.6603340486916282,3.526568891380695,30,132,0.09048882816330403,1,True,0,True,False,False,False,457.73917682356273,38
10,3,546,780,78,468,60,30,30,18,9,9,30,0,30,2.220059168360799,2.3865631947664547,0.7530403636071633,0.8513982036876249,0.794221569244642,30,576,2.968776022560128,1,True,0,True,True,False,False,461.43957954923945,39
10,4,504,714,84,420,60,30,30,24,12,12,30,0,30,2.220059168360799,2.3865631947664547,0.9827339087577934,0.8513982036876249,1.341497828184354,30,534,2.679386104248452,1,True,0,True,True,False,False,487.2282136120431,40
10,9,114,114,114,0,60,30,30,54,27,27,30,0,30,2.220059168360799,2.3865631947664547,2.1289382522934113,0.8513982036876249,4.072486305458506,30,144,0.007805994359968031,1,True,0,True,True,False,False,493.16905035060995,41
10,5,450,630,90,360,60,30,30,30,15,15,30,0,30,2.220059168360799,2.3865631947664547,1.2121602419574649,0.8513982036876249,1.8881374181363988,30,480,2.30731335213344,1,True,0,True,True,False,False,504.6848973957463,42
10,8,216,270,108,108,60,30,30,48,24,24,30,0,30,2.220059168360799,2.3865631947664547,1.8998150185504865,0.8513982036876249,3.526568891380695,30,246,0.694998092968388,1,True,0,True,True,False,False,507.2965188036708,43
10,6,384,528,96,288,60,30,30,36,18,18,30,0,30,2.220059168360799,2.3865631947664547,1.4414489726901514,0.8513982036876249,2.434449151407478,30,414,1.852557766215092,1,True,0,True,True,False,False,513.8405121310195,44
10,7,306,408,102,204,60,30,30,42,21,21,30,0,30,2.220059168360799,2.3865631947664547,1.6706574521777096,0.8513982036876249,2.980569675120708,30,336,1.315119346493408,1,True,0,True,True,False,False,514.7087225301741,45
