angle_term_id,atom_type_1,center_type,atom_type_3,count,minimum_deg,mean_deg,maximum_deg,example_node_1,example_center,example_node_3,coverage_status
ANGLE_0032,H|SEED_PASSIVANT_H,B|HEXAGONAL_EDGE_COMPLETION_SEED,N|PARENT_HBN,30,70.4042587970917,77.64707299175522,95.05822175196678,H4:UPPER:0189:0,S:1711,P:1643,UNASSESSED
ANGLE_0033,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,30,106.9813896601473,122.57219183563114,134.52108473012146,BR4:LOWER:00:2,BR4:LOWER:00:3,BR4:LOWER:00:4,UNASSESSED
ANGLE_0034,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ANNULUS_OUTER_BOUNDARY,15,106.36572278254623,115.14653778494932,128.6617454673819,A:UPPER:13:5,BR4:UPPER:00:4,BR4:UPPER:00:3,UNASSESSED
ANGLE_0035,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|HEXAGONAL_EDGE_COMPLETION_SEED,15,105.93850594233268,122.15078492352852,129.9753808748061,BR4:LOWER:00:2,BR4:LOWER:00:1,S:1680,UNASSESSED
ANGLE_0036,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_INTERIOR,24,97.3735691412698,123.18569911874663,168.1814725624514,A:LOWER:-13:-1,A:LOWER:-14:-2,BR4:LOWER:06:4,UNASSESSED
ANGLE_0037,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_OUTER_BOUNDARY,6,70.89983978777892,73.21147301941377,76.98382374270636,A:LOWER:-13:-5,A:LOWER:-14:-4,BR4:LOWER:05:4,UNASSESSED
ANGLE_0038,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,B|HEXAGONAL_EDGE_COMPLETION_SEED,N|PARENT_HBN,30,74.8433398478849,108.97265733292622,144.08927875113707,BR4:UPPER:00:1,S:1710,P:1641,UNASSESSED
ANGLE_0039,N|ANNULUS_INNER_BOUNDARY,B|ANNULUS_INTERIOR,N|ANNULUS_INNER_BOUNDARY,6,119.99999999999956,119.99999999999993,120.00000000000011,A:LOWER:-7:-1,A:LOWER:-8:0,A:LOWER:-7:1,UNASSESSED
ANGLE_0040,N|ANNULUS_INNER_BOUNDARY,B|ANNULUS_INTERIOR,N|ANNULUS_INTERIOR,36,119.99999999999963,120.00000000000003,120.00000000000037,A:LOWER:-10:-2,A:LOWER:-8:-2,A:LOWER:-7:-1,UNASSESSED
ANGLE_0041,N|ANNULUS_INTERIOR,B|ANNULUS_INNER_BOUNDARY,N|ANNULUS_INTERIOR,12,119.99999999999984,120.00000000000007,120.00000000000037,A:LOWER:-1:-5,A:LOWER:-2:-4,A:LOWER:-4:-4,UNASSESSED
ANGLE_0042,N|ANNULUS_INTERIOR,B|ANNULUS_INTERIOR,N|ANNULUS_INTERIOR,138,119.99999999999918,120.0,120.0000000000006,A:LOWER:-10:-2,A:LOWER:-11:-1,A:LOWER:-10:0,UNASSESSED
ANGLE_0043,N|ANNULUS_INTERIOR,B|ANNULUS_INTERIOR,N|ANNULUS_OUTER_BOUNDARY,48,119.99999999999918,120.0,120.00000000000055,A:LOWER:-10:-4,A:LOWER:-11:-5,A:LOWER:-10:-6,UNASSESSED
ANGLE_0044,N|ANNULUS_INTERIOR,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_INTERIOR,18,119.99999999999963,120.00000000000003,120.00000000000037,A:LOWER:-13:-1,A:LOWER:-14:-2,A:LOWER:-13:-3,UNASSESSED
ANGLE_0045,N|ANNULUS_INTERIOR,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_OUTER_BOUNDARY,12,119.99999999999962,119.99999999999993,120.00000000000063,A:LOWER:-13:-3,A:LOWER:-14:-4,A:LOWER:-13:-5,UNASSESSED
ANGLE_0046,N|ANNULUS_OUTER_BOUNDARY,B|ANNULUS_INTERIOR,N|ANNULUS_OUTER_BOUNDARY,24,119.99999999999962,120.00000000000004,120.0000000000006,A:LOWER:-10:-6,A:LOWER:-11:-5,A:LOWER:-13:-5,UNASSESSED
ANGLE_0047,N|HEXAGONAL_EDGE_COMPLETION_SEED,B|PARENT_HBN,N|HEXAGONAL_EDGE_COMPLETION_SEED,30,118.2724541303968,118.60206901723494,118.82327927026965,S:1686,P:0,S:1687,UNASSESSED
ANGLE_0048,N|HEXAGONAL_EDGE_COMPLETION_SEED,B|PARENT_HBN,N|PARENT_HBN,60,119.72498445884702,120.16311997546258,120.44386024006194,P:1,P:0,S:1686,UNASSESSED
ANGLE_0049,N|PARENT_HBN,B|HEXAGONAL_EDGE_COMPLETION_SEED,N|PARENT_HBN,30,119.11227951987678,119.67376004907501,120.55003108230531,P:1641,S:1710,P:1643,UNASSESSED
ANGLE_0050,N|PARENT_HBN,B|PARENT_HBN,N|PARENT_HBN,2430,119.21410926648942,119.90929366292187,120.39491472623682,P:101,P:100,P:41,UNASSESSED
