bond_term_id,atom_type_1,atom_type_2,count,minimum_nm,mean_nm,maximum_nm,example_node_1,example_node_2,coverage_status
BOND_0001,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,H|BRIDGE_PASSIVANT_H,60,0.1189999999999991,0.11900000000000004,0.11900000000000079,BR4:LOWER:00:1,H4:LOWER:0054:0,UNASSESSED
BOND_0002,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,90,0.14492889303854187,0.1449691725745423,0.14499783828642793,BR4:LOWER:00:1,BR4:LOWER:00:2,UNASSESSED
BOND_0003,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ANNULUS_OUTER_BOUNDARY,15,0.14496075796087432,0.14497085628512868,0.1449818539657832,A:UPPER:-14:-2,BR4:UPPER:07:4,UNASSESSED
BOND_0004,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|HEXAGONAL_EDGE_COMPLETION_SEED,15,0.14496134198725258,0.1449741527440239,0.14498788849975028,BR4:LOWER:00:1,S:1680,UNASSESSED
BOND_0005,B|ANNULUS_INNER_BOUNDARY,H|ANNULUS_INNER_PASSIVANT_H,12,0.11899999999999938,0.119,0.11900000000000086,A:LOWER:-2:-4,H4:LOWER:0006:0,UNASSESSED
BOND_0006,B|ANNULUS_INNER_BOUNDARY,N|ANNULUS_INTERIOR,24,0.14497299999999966,0.14497299999999994,0.14497300000000077,A:LOWER:-1:-5,A:LOWER:-2:-4,UNASSESSED
BOND_0007,B|ANNULUS_INTERIOR,N|ANNULUS_INNER_BOUNDARY,24,0.14497299999999944,0.144973,0.1449730000000005,A:LOWER:-7:-1,A:LOWER:-8:-2,UNASSESSED
BOND_0008,B|ANNULUS_INTERIOR,N|ANNULUS_INTERIOR,180,0.144972999999999,0.144973,0.144973000000001,A:LOWER:-10:-2,A:LOWER:-11:-1,UNASSESSED
BOND_0009,B|ANNULUS_INTERIOR,N|ANNULUS_OUTER_BOUNDARY,48,0.144972999999999,0.14497300000000002,0.144973000000001,A:LOWER:-10:-6,A:LOWER:-11:-5,UNASSESSED
BOND_0010,B|ANNULUS_OUTER_BOUNDARY,H|ANNULUS_OUTER_PASSIVANT_H,15,0.11899999999999925,0.119,0.11900000000000076,A:UPPER:-10:-6,H4:UPPER:0027:0,UNASSESSED
BOND_0011,B|ANNULUS_OUTER_BOUNDARY,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,15,0.144964152054889,0.14497209309309184,0.14497850618840522,A:LOWER:-14:-2,BR4:LOWER:06:4,UNASSESSED
BOND_0012,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_INTERIOR,48,0.14497299999999932,0.14497300000000002,0.14497300000000085,A:LOWER:-13:-1,A:LOWER:-14:-2,UNASSESSED
BOND_0013,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_OUTER_BOUNDARY,12,0.14497299999999927,0.14497299999999988,0.1449730000000004,A:LOWER:-13:-5,A:LOWER:-14:-4,UNASSESSED
BOND_0014,B|HEXAGONAL_EDGE_COMPLETION_SEED,H|SEED_PASSIVANT_H,15,0.11899999999999959,0.11899999999999997,0.11900000000000051,H4:UPPER:0189:0,S:1711,UNASSESSED
BOND_0015,B|HEXAGONAL_EDGE_COMPLETION_SEED,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,15,0.14495205309499842,0.14497060070130657,0.14498636202860307,BR4:UPPER:00:1,S:1710,UNASSESSED
BOND_0016,B|HEXAGONAL_EDGE_COMPLETION_SEED,N|PARENT_HBN,60,0.14497299999999935,0.14497299999999996,0.14497300000000057,P:1621,S:1729,UNASSESSED
BOND_0017,B|PARENT_HBN,N|HEXAGONAL_EDGE_COMPLETION_SEED,60,0.14497299999999957,0.144973,0.14497300000000043,P:0,S:1686,UNASSESSED
BOND_0018,B|PARENT_HBN,N|PARENT_HBN,2460,0.14377760604489134,0.14497338962610404,0.14603424255975045,P:0,P:1,UNASSESSED
BOND_0019,H|ANNULUS_INNER_PASSIVANT_H,N|ANNULUS_INNER_BOUNDARY,12,0.10099999999999928,0.10099999999999988,0.10100000000000063,A:LOWER:-7:-1,H4:LOWER:0012:0,UNASSESSED
BOND_0020,H|ANNULUS_OUTER_PASSIVANT_H,N|ANNULUS_OUTER_BOUNDARY,15,0.10099999999999976,0.10099999999999998,0.10100000000000013,A:LOWER:-10:-6,H4:LOWER:0000:0,UNASSESSED
BOND_0021,H|BRIDGE_PASSIVANT_H,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,60,0.10099999999999926,0.10100000000000002,0.10100000000000087,BR4:LOWER:00:2,H4:LOWER:0055:0,UNASSESSED
BOND_0022,H|SEED_PASSIVANT_H,N|HEXAGONAL_EDGE_COMPLETION_SEED,15,0.10099999999999959,0.10099999999999992,0.10100000000000016,H4:LOWER:0174:0,S:1681,UNASSESSED
