pair,E1_eV,E2_eV,splitting_eV,J_eff_eV,J_eff_meV,terminated_normally
PYR2-PYR3,3.687000,3.700000,0.013000,0.006500,6.500,YES
PYR2-PYR4,3.726000,3.731000,0.005000,0.002500,2.500,YES
PYR2-PYR5,3.717000,3.734000,0.017000,0.008500,8.500,YES
PYR3-PYR4,3.679000,3.700000,0.021000,0.010500,10.500,YES
PYR3-PYR5,3.729000,3.731000,0.002000,0.001000,1.000,YES
PYR4-PYR5,3.657000,3.679000,0.022000,0.011000,11.000,YES
