selection_label,window_min_step,window_max_step,n_candidate_frames,selected_timestep,mean_cos_theta_z,mean_S_z,total_contact_count_6A,representative_distance,lammpstrj,xyz
fieldfree_representative,6000,20000,8,14000,0.001772925878431418,-0.007520188738319859,12.0,1.4214721196051292,systems/hybrid/bn_like_chromophore_scaffold_water/representative_frames/fieldfree_representative_step_14000.lammpstrj,systems/hybrid/bn_like_chromophore_scaffold_water/representative_frames/fieldfree_representative_step_14000.xyz
fieldZ_early,0,5000,6,2000,0.19341742997316136,0.01815156455051358,16.0,0.5462969997018756,systems/hybrid/bn_like_chromophore_scaffold_water/representative_frames/fieldZ_early_step_2000.lammpstrj,systems/hybrid/bn_like_chromophore_scaffold_water/representative_frames/fieldZ_early_step_2000.xyz
fieldZ_intermediate,8000,12000,5,12000,0.4605873985477349,0.1544980775641391,20.0,1.4666774303044745,systems/hybrid/bn_like_chromophore_scaffold_water/representative_frames/fieldZ_intermediate_step_12000.lammpstrj,systems/hybrid/bn_like_chromophore_scaffold_water/representative_frames/fieldZ_intermediate_step_12000.xyz
fieldZ_late,15000,20000,6,17000,0.5406936506866622,0.21856455540559444,19.0,0.5771527146453096,systems/hybrid/bn_like_chromophore_scaffold_water/representative_frames/fieldZ_late_step_17000.lammpstrj,systems/hybrid/bn_like_chromophore_scaffold_water/representative_frames/fieldZ_late_step_17000.xyz
fieldZ_late_replica01,15000,20000,6,17000,0.5425420688885938,0.2199007117178539,10.0,0.47289203602322266,systems/hybrid/bn_like_chromophore_scaffold_water/representative_frames/fieldZ_late_replica01_step_17000.lammpstrj,systems/hybrid/bn_like_chromophore_scaffold_water/representative_frames/fieldZ_late_replica01_step_17000.xyz
