frame,site,bright_root,atom_index,atomic_number,element,x_bohr,y_bohr,z_bohr,raw_voronoi_transition_charge_e,charge_correction_e,corrected_transition_charge_e
0,PYR2,2,1,6,C,100.344458,63.268031,56.521709,0.03581879550110949,-0.0018152466200539452,0.03400354888105554
0,PYR2,2,2,6,C,100.457841,64.534147,58.864969,-0.10043359991024291,-0.004997631766383792,-0.1054312316766267
0,PYR2,2,3,6,C,100.722403,67.160867,58.940558,0.04770389513935013,0.00922606539930415,0.05692996053865428
0,PYR2,2,4,6,C,100.835787,68.445881,61.264921,-0.04889312470264753,0.008998730008504069,-0.03989439469414346
0,PYR2,2,5,6,C,101.119245,71.0726,61.321613,0.04831199092869997,-0.0024111413772671397,0.04590084955143283
0,PYR2,2,6,6,C,101.289321,72.470997,59.072839,-0.05173841627542962,-0.0056907910713731025,-0.05742920734680272
0,PYR2,2,7,6,C,101.553882,75.097717,59.110633,0.09810306203798279,0.009015960572507864,0.10711902261049065
0,PYR2,2,8,6,C,101.723958,76.477217,56.861859,-0.03587705738238272,0.003020871738987907,-0.03285618564339481
0,PYR2,2,9,6,C,101.610574,75.2111,54.518599,0.10069442817329419,0.006204482486798835,0.10689891066009302
0,PYR2,2,10,6,C,101.346013,72.565484,54.44301,-0.04726031079137391,-0.010735879419783267,-0.05799619021115718
0,PYR2,2,11,6,C,101.232629,71.299367,52.118647,0.05566615181812021,-0.007793104889569108,0.0478730469285511
0,PYR2,2,12,6,C,100.94917,68.65375,52.043058,-0.05593321142254157,0.001143389175865095,-0.05478982224667647
0,PYR2,2,13,6,C,100.797992,67.27425,54.310729,0.05097725737628659,-0.018979357877047853,0.03199789949923874
0,PYR2,2,14,6,C,100.514533,64.628634,54.254037,-0.09719125684075557,-0.010283556332390642,-0.10747481317314621
0,PYR2,2,15,6,C,100.892478,68.540367,56.653989,-0.01329847007440442,0.003714031043977245,-0.009584439030427175
0,PYR2,2,16,6,C,101.175937,71.185983,56.729579,0.013867219548410166,-0.005222619462976141,0.008644600085434025
0,PYR2,2,17,1,H,100.117691,61.227127,56.483914,0.0024563316705579563,0.01590666033304511,0.018362992003603064
0,PYR2,2,18,1,H,100.32556,63.438106,60.603517,-0.03208692741045946,-0.00352034400580159,-0.03560727141626105
0,PYR2,2,19,1,H,100.722403,67.406531,63.022367,-0.008693695938442082,-0.007494144145487658,-0.01618784008392974
0,PYR2,2,20,1,H,101.194834,72.03636,63.13575,0.007891311346304993,0.009453636504973495,0.017344947851278488
0,PYR2,2,21,1,H,101.648369,76.099271,60.905873,0.030805219501402446,0.0006754532823157709,0.03148067278371822
0,PYR2,2,22,1,H,101.950725,78.518121,56.899654,-0.002228083745341806,-0.01470103521411126,-0.016929118959453066
0,PYR2,2,23,1,H,101.742855,76.307141,52.780051,0.030653615082262886,0.004727194726215966,0.03538080980847885
0,PYR2,2,24,1,H,101.346013,72.338716,50.361201,0.012152918713228402,0.008699625567585412,0.020852544280813814
0,PYR2,2,25,1,H,100.854684,67.68999,50.247818,-0.011484224072386305,0.014913405446544362,0.003429181374158057
0,PYR2,2,26,1,H,100.420047,63.627079,52.477695,-0.02985306137535154,-0.002185410999630974,-0.032038472374982516
0,PYR3,2,1,6,C,76.477217,100.344458,81.844039,0.035800951707221355,0.015956621922709413,0.05175757362993077
0,PYR3,2,2,6,C,75.2111,100.457841,84.168402,-0.09788042519989361,0.018744895946552376,-0.07913552925334123
0,PYR3,2,3,6,C,72.565484,100.722403,84.243991,0.049731074638573194,-0.015415250952790727,0.03431582368578247
0,PYR3,2,4,6,C,71.299367,100.835787,86.568354,-0.05365710246224095,-0.012624392852808142,-0.0662814953150491
0,PYR3,2,5,6,C,68.65375,101.119245,86.643943,0.055553130973196606,0.0020438911203880805,0.057597022093584686
0,PYR3,2,6,6,C,67.27425,101.289321,84.376272,-0.05000385430382094,0.01348613523864528,-0.03651771906517566
0,PYR3,2,7,6,C,64.628634,101.553882,84.432964,0.09955671556401328,-0.021116945644033214,0.07843976991998007
0,PYR3,2,8,6,C,63.268031,101.723958,82.165292,-0.03578289883866819,-0.004535009601772666,-0.04031790844044086
0,PYR3,2,9,6,C,64.51525,101.610574,79.822032,0.10037749513932029,-0.012906204821369949,0.08747129031795034
0,PYR3,2,10,6,C,67.160867,101.346013,79.746443,-0.05079242034780665,0.0212567981398889,-0.02953562220791775
0,PYR3,2,11,6,C,68.445881,101.232629,77.42208,0.050041605889959824,0.023605655266547725,0.07364726115650755
0,PYR3,2,12,6,C,71.0726,100.94917,77.365388,-0.05161960987014565,0.004235149911993752,-0.047384459958151895
0,PYR3,2,13,6,C,72.470997,100.779095,79.614162,0.05011769786288674,-0.0025051448106858665,0.04761255305220087
0,PYR3,2,14,6,C,75.097717,100.495636,79.576367,-0.10107816162943976,-0.021435028272223322,-0.12251318990166309
0,PYR3,2,15,6,C,71.185983,100.892478,81.957422,-0.015145770945656887,-0.004416236106284834,-0.01956200705194172
0,PYR3,2,16,6,C,68.540367,101.175937,82.033011,0.014337287683973273,0.010254903928831547,0.02459219161280482
0,PYR3,2,17,1,H,78.518121,100.117691,81.787347,0.00222323871137369,-0.016250786464424127,-0.014027547753050438
0,PYR3,2,18,1,H,76.288244,100.32556,85.90695,-0.03070839529035342,0.010401317683907507,-0.020307077606445914
0,PYR3,2,19,1,H,72.338716,100.722403,88.325799,-0.011008656942194927,0.01802396328714695,0.0070153063449520225
0,PYR3,2,20,1,H,67.68999,101.194834,88.439183,0.011247406959282858,-0.02292356568958176,-0.011676158730298902
0,PYR3,2,21,1,H,63.627079,101.648369,86.209306,0.031111954402364403,-0.007970607092296245,0.023141347310068158
0,PYR3,2,22,1,H,61.227127,101.950725,82.203087,-0.002408696682285119,0.027232048878162107,0.024823352195876988
0,PYR3,2,23,1,H,63.438106,101.742855,78.083484,0.03144391075682325,-0.004562626558723082,0.026881284198100167
