radial_coordinate_nm,raw_density_nm^-3,smoothed_density_nm^-3
0.0249919,31.126019841689683,31.546994127331686
0.0749757,31.125984665114633,31.941570209390008
0.1249593,31.919662296880745,32.41357376458769
0.17494300000000002,34.58046383153998,32.79637752881458
0.224927,34.11590602141456,32.93403550733459
0.274911,33.27928637805296,32.816296208192476
0.324895,31.765091253899083,32.60140139242769
0.37487899999999996,31.034975557012846,32.485390769655105
0.4248625,32.169070613847666,32.538548243596935
0.474846,33.78235170173413,32.66576537779668
0.52483,33.4762296061982,32.71611377847175
0.5748139999999999,32.608661064846174,32.61575219750678
0.624798,32.43051334261113,32.39762606948213
0.6747814999999999,31.741359914459217,32.12789445539845
0.724765,32.06669323143785,31.812914808503585
0.774749,31.56999454403617,31.351968733313132
0.8247329999999999,31.59944926355968,30.568342254169774
0.874717,32.3979032308079,29.3327358267387
0.9247004999999999,28.012335279844574,27.715218514980332
0.974684,23.9556986678105,26.012793342065027
1.0246680000000001,22.862805697475096,24.58149659779412
1.07465,22.48864816195114,23.619197257603584
1.124635,23.095713375359,23.104898308089734
1.17462,22.922926743776756,22.9167675224327
1.224605,22.1998806447389,22.97946166703611
1.27459,22.678823244177813,23.31914001776695
1.32457,23.180132413799914,24.027572116192133
1.374555,23.85684422304303,25.181930309771143
1.42454,25.029948632986912,26.744092535071307
1.47452,28.790823402130105,28.491193393317715
1.524505,32.95354863128291,30.074063077635206
1.57449,32.70068599931331,31.21091499648792
1.624475,32.59880865690564,31.854736429906158
1.6744599999999998,31.392470413320606,32.17101002120654
1.72444,31.909518417225538,32.362665231925554
1.774425,33.06812545734112,32.526777914414815
1.8244099999999999,33.08632856336521,32.65477240339162
1.87439,32.69672380469453,32.718066341371824
1.924375,32.76866938632647,32.72223271859014
1.97436,32.510441685797474,32.69421105430388
2.024345,32.768625659746284,32.65186505320032
2.07433,32.87703846508449,32.60061837269627
2.1243100000000004,32.27266239261819,32.54936989777211
2.174295,32.37460897650388,32.51564879520099
2.2242800000000003,32.593166287192744,32.513664769072264
2.2742649999999998,32.336079057959715,32.54242966663675
2.32425,32.57539619115796,32.58518180014544
2.37423,32.92864706512203,32.61910206077892
2.4242150000000002,32.605115513925504,32.63016125549699
2.4741999999999997,32.649113403689356,32.62189111137092
2.5241800000000003,32.45446989772043,32.60836593494467
2.574165,32.614025978047444,32.599065008719414
2.62415,32.70024089014728,32.592872253547604
2.6741328503740776,32.55500674004007,32.58500120981761
