run,timestep,z_A,fraction
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-119.0,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-117.0,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-115.0,3.3333333333333335e-05
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-113.0,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-111.0,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-109.0,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-107.0,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-105.0,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-103.0,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-101.0,6.666666666666667e-05
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-99.0,3.3333333333333335e-05
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-97.0,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-95.0,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-93.0,0.0001
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-91.0,0.00016666666666666666
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-89.0,0.0002666666666666667
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-87.0,0.0003333333333333333
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-85.0,0.0005333333333333334
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-83.0,0.0008333333333333334
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-81.0,0.0015666666666666667
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-79.0,0.0029666666666666665
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-77.0,0.0053
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,-75.0,0.0096
