gate,pass
Gate3A_parent_audit_is_accepted,True
Gate3F_graph_design_is_accepted,True
Gate3F_has_no_failed_gates,True
all_2076_nodes_received_finite_coordinates,True
parent_coordinates_are_unchanged,True
parent_seed_bonds_match_target_within_0p003nm,True
annulus_internal_bonds_match_target_within_0p002nm,True
seed_annulus_attachment_RMS_deviation_within_0p020nm,False
seed_annulus_attachment_max_deviation_within_0p035nm,False
all_XH_bonds_match_provisional_targets_within_0p002nm,True
junction_nodes_all_have_three_neighbors,True
junction_angle_minimum_is_at_least_70deg,False
junction_angle_maximum_is_at_most_170deg,True
junction_angle_RMS_deviation_is_at_most_35deg,True
annulus_center_offset_is_at_most_0p050nm,True
attachment_plane_gap_is_positive_and_at_most_0p250nm,False
annulus_is_planar_to_numerical_precision,True
nuclear_aperture_error_is_within10percent,True
outer_radius_error_is_within15percent,True
no_nonbonded_heavy_heavy_clashes,False
no_nonbonded_H_heavy_clashes,False
no_nonbonded_H_H_clashes,True
lower_and_upper_embeddings_are_symmetric,False
