edge_type,edge_count,mean_length_nm,minimum_length_nm,maximum_length_nm,mean_target_length_nm,RMS_deviation_nm,maximum_absolute_deviation_nm
ANNULUS_BN,336,0.14497300000000002,0.14497299999999902,0.14497300000000132,0.144973,3.6410857743245307e-16,1.3322676295501878e-15
ANNULUS_INNER_H_PASSIVATION,24,0.11,0.10099999999999969,0.11900000000000034,0.10999999999999999,2.0933927233778002e-16,4.0245584642661925e-16
ANNULUS_OUTER_H_PASSIVATION,30,0.11000000000000001,0.1009999999999997,0.11900000000000037,0.10999999999999996,1.7768627283779713e-16,3.7470027081099033e-16
PARENT_BN,2460,0.14497338962610404,0.14377760604489134,0.14603424255975045,0.14497300000000002,0.00040025355546859743,0.0011953939551086479
PARENT_TO_COMPLETION_SEED,120,0.14497299999999994,0.14497299999999935,0.14497300000000057,0.14497299999999996,2.75501178052474e-16,6.38378239159465e-16
PARTIAL_HETEROPOLAR_SEED_TO_ANNULUS,30,0.3101853369792484,0.17756267641436654,0.44124470408375904,0.14497299999999996,0.19828265232691053,0.296271704083759
SEED_H_PASSIVATION,30,0.10999999999999988,0.10099999999999998,0.11899999999999977,0.10999999999999996,1.5823112613210482e-16,2.220446049250313e-16
