gate,pass
Gate3M_graph_is_accepted,True
Gate3O2_semantics_resolution_is_accepted,True
2316_nodes_received_coordinates,True
2112_heavy_coordinates_are_unchanged,True
204_H_coordinates_were_generated,True
102_H_were_generated_per_end,True
120_bridge_H_were_generated,True
30_seed_H_were_generated,True
30_outer_H_were_generated,True
24_inner_H_were_generated,True
102_BH_and_102_NH_bonds_are_present,True
all_XH_bonds_are_within_0p002nm,True
all_local_H_angles_are_within70to175deg,True
all_local_H_heavy_clearance_checks_pass,True
no_global_H_heavy_clashes,True
no_global_H_H_clashes,True
inner_H_aperture_is_lower_upper_symmetric,False
inner_H_aperture_is_recorded_as_geometric_proxy_only,True
no_energy_minimization_or_MD_was_performed,True
