end,total_H,inner_H_count,inner_H_nuclear_aperture_diameter_nm,inner_H_radius_minimum_nm,inner_H_radius_mean_nm,inner_H_radius_maximum_nm
LOWER,102,12,1.0087346715556498,0.5043673357778249,0.5313184760605484,0.5482527477071499
UPPER,102,12,1.0311246894571224,0.5155623447285612,0.5357692102052275,0.5518092801463081
