cutoff_nm,bond_count,degree_0,degree_1,degree_2,degree_3,degree_4plus,maximum_degree,mean_degree,expected_graph_match,graph_score,distance_mode
0.1475,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,RAW_NO_PBC
0.1475,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.15,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,RAW_NO_PBC
0.15,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.1525,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,RAW_NO_PBC
0.1525,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.155,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,RAW_NO_PBC
0.155,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.1575,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,RAW_NO_PBC
0.1575,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.16,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,RAW_NO_PBC
0.16,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.1625,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,RAW_NO_PBC
0.1625,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.165,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,RAW_NO_PBC
0.165,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.1675,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,RAW_NO_PBC
0.1675,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.17,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,RAW_NO_PBC
0.17,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
