cutoff_nm,bond_count,degree_0,degree_1,degree_2,degree_3,degree_4plus,maximum_degree,mean_degree,expected_graph_match,graph_score,distance_mode
0.19,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.1925,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.195,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.1975,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.2,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.2025,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.205,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.2075,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.21,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.2125,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.215,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.2175,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.22,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.2225,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.225,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.2275,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.23,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.2325,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.235,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.2375,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.24,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.2425,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.245,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.2475,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
0.25,2460,0,60,0,1620,0,3,2.9285714285714284,False,480,MINIMUM_IMAGE_XYZ
