run,log_file,Step,Atoms,Temp,c_twater,PotEng,KinEng,TotEng,Press,c_msdwater[4]
nvt300_fieldZ_scaffold_water,simulations/inorganic/bn_like_scaffold_water/nvt300_fieldZ_contained_bn_like_scaffold_water_30000w.log,0.0,107280.0,232.96656,300.06205,-252538.32,53664.784,-198873.53,-143.23149,2.2419481e-24
nvt300_fieldZ_scaffold_water,simulations/inorganic/bn_like_scaffold_water/nvt300_fieldZ_contained_bn_like_scaffold_water_30000w.log,500.0,107280.0,234.89512,302.54604,-247101.05,54109.035,-192992.02,-145.75555,0.086287736
nvt300_fieldZ_scaffold_water,simulations/inorganic/bn_like_scaffold_water/nvt300_fieldZ_contained_bn_like_scaffold_water_30000w.log,1000.0,107280.0,233.15923,300.31021,-249079.48,53709.166,-195370.31,-158.71405,0.23936765
nvt300_fieldZ_scaffold_water,simulations/inorganic/bn_like_scaffold_water/nvt300_fieldZ_contained_bn_like_scaffold_water_30000w.log,1500.0,107280.0,233.16998,300.32405,-257169.68,53711.641,-203458.04,-169.39262,0.39407676
nvt300_fieldZ_scaffold_water,simulations/inorganic/bn_like_scaffold_water/nvt300_fieldZ_contained_bn_like_scaffold_water_30000w.log,2000.0,107280.0,233.28079,300.46678,-254788.31,53737.169,-201051.14,-168.49452,0.54666327
nvt300_fieldZ_scaffold_water,simulations/inorganic/bn_like_scaffold_water/nvt300_fieldZ_contained_bn_like_scaffold_water_30000w.log,2500.0,107280.0,233.49325,300.74043,-247389.94,53786.11,-193603.83,-162.19376,0.69591715
nvt300_fieldZ_scaffold_water,simulations/inorganic/bn_like_scaffold_water/nvt300_fieldZ_contained_bn_like_scaffold_water_30000w.log,3000.0,107280.0,233.56761,300.8362,-254358.29,53803.238,-200555.05,-176.84283,0.84343207
nvt300_fieldZ_scaffold_water,simulations/inorganic/bn_like_scaffold_water/nvt300_fieldZ_contained_bn_like_scaffold_water_30000w.log,3500.0,107280.0,233.14286,300.28913,-266559.16,53705.396,-212853.77,-195.82648,0.99105606
nvt300_fieldZ_scaffold_water,simulations/inorganic/bn_like_scaffold_water/nvt300_fieldZ_contained_bn_like_scaffold_water_30000w.log,4000.0,107280.0,232.67156,299.68209,-270609.21,53596.829,-217012.38,-203.71455,1.1427244
nvt300_fieldZ_scaffold_water,simulations/inorganic/bn_like_scaffold_water/nvt300_fieldZ_contained_bn_like_scaffold_water_30000w.log,4500.0,107280.0,232.74331,299.77451,-267327.8,53613.358,-213714.44,-202.49541,1.2962276
