run,log_file,Step,Atoms,Temp,c_twater,PotEng,KinEng,TotEng,Press,c_msdwater[4]
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,2900.0,107280.0,42.001293,50.065631,-267361.26,13431.103,-253930.16,-250.19285,0.30399452
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,3000.0,107280.0,42.172252,50.269414,-268751.24,13485.772,-255265.47,-249.72334,0.31268504
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,3100.0,107280.0,42.033992,50.104608,-259335.45,13441.559,-245893.89,-238.42505,0.32205835
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,3200.0,107280.0,41.967174,50.024961,-257472.04,13420.193,-244051.85,-234.27607,0.33115359
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,3300.0,107280.0,42.272623,50.389056,-255206.63,13517.868,-241688.77,-229.21961,0.33972536
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,3400.0,107280.0,42.129997,50.219046,-259996.02,13472.26,-246523.76,-236.65413,0.3483436
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,3500.0,107280.0,42.156105,50.250167,-261162.3,13480.608,-247681.69,-233.94392,0.35623459
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,3600.0,107280.0,41.980924,50.041351,-263262.72,13424.589,-249838.13,-241.35518,0.36572212
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,3700.0,107280.0,41.853578,49.889554,-259435.44,13383.867,-246051.58,-233.34728,0.37473186
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,3800.0,107280.0,42.126639,50.215043,-268935.33,13471.186,-255464.14,-249.54161,0.38327603
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,3900.0,107280.0,42.066896,50.14383,-263883.86,13452.082,-250431.78,-239.07714,0.39174978
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,4000.0,107280.0,42.072133,50.150072,-253312.93,13453.756,-239859.18,-228.08847,0.40069654
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,4100.0,107280.0,41.927312,49.977445,-258686.62,13407.445,-245279.18,-235.45565,0.40892057
