temperature_K,kappa_ps_inv,gamma_phi_ps_inv,PYR5_at_100ps,stationary_PYR5,PYR4_gateway_fraction,steady_L1_distance_to_Gibbs
150.0,0.1,0.0,0.0001603916351143458,0.9999772855181392,0.9062695769150022,0.0
150.0,0.1,1.0,0.0016572088678018287,0.2647718344785274,0.9119625836147155,1.4704109020792235
150.0,0.1,20.0,0.02845882179157368,0.25046950985405964,0.9141167010209633,1.4990155513281593
150.0,0.1,100.0,0.10713071821766963,0.24890255370216738,0.9115246057775065,1.5021494636319437
150.0,1.0,0.0,0.0013452871280939106,0.9999772855181392,0.8822807086183803,0.0
150.0,1.0,1.0,0.002798201863999889,0.36881321232733294,0.8947715057320006,1.2623281463816127
150.0,1.0,20.0,0.02926456545511802,0.25556435454922377,0.910417178013782,1.4888258619378312
150.0,1.0,100.0,0.10576586108911049,0.24492799913819552,0.9058171175882552,1.5100985727598875
150.0,10.0,0.0,0.01148379960188672,0.9999772855181392,0.8429957418514662,0.0
150.0,10.0,1.0,0.013029483933956483,0.7079403266177717,0.8530094767248345,0.584073917800735
150.0,10.0,20.0,0.03831016397538771,0.308847859219812,0.8904755119828532,1.3822588525966546
150.0,10.0,100.0,0.10518550062316788,0.24111670828008944,0.8842345319926908,1.5177211544760998
300.0,0.1,0.0,0.0001611652957592181,0.9999506429580106,0.9085327153807954,0.0
300.0,0.1,1.0,0.0016575551488747645,0.26494661353130605,0.9121622356182449,1.470008058853409
300.0,0.1,20.0,0.02846153619956233,0.2504838724305423,0.9141335159086976,1.4989335410549367
300.0,0.1,100.0,0.10735321296826533,0.24915447271648772,0.911807871185836,1.5015923404830458
300.0,1.0,0.0,0.0013982142752882707,0.9999506429580106,0.893748932860107,0.0
300.0,1.0,1.0,0.002848870572564847,0.3777390152418211,0.8999569675259066,1.244423255432379
300.0,1.0,20.0,0.02933103221238318,0.2560793400393508,0.9109489208250728,1.4877426058373193
300.0,1.0,100.0,0.10663004405426087,0.24653322653055837,0.9076335397360406,1.5068348328549046
300.0,10.0,0.0,0.012999785137305849,0.9999506429580106,0.8790118205474847,0.0
300.0,10.0,1.0,0.014408325097405297,0.7499920755648626,0.8817840318983854,0.49991713478629574
300.0,10.0,20.0,0.03936657024535409,0.3158841765709007,0.8975368478442952,1.36813293277422
300.0,10.0,100.0,0.11010714987919745,0.25112725699685573,0.8950156361523607,1.4976467719223097
