model,frame,snapshot_time_ps,initial_state,minimum_survival_probability,time_of_minimum_survival_ps,maximum_norm_error,maximum_population_PYR2_bright,time_of_maximum_PYR2_bright_ps,time_average_PYR2_bright,diagonal_ensemble_PYR2_bright,maximum_population_PYR3_bright,time_of_maximum_PYR3_bright_ps,time_average_PYR3_bright,diagonal_ensemble_PYR3_bright,maximum_population_PYR4_bright,time_of_maximum_PYR4_bright_ps,time_average_PYR4_bright,diagonal_ensemble_PYR4_bright,maximum_population_PYR5_bright,time_of_maximum_PYR5_bright_ps,time_average_PYR5_bright,diagonal_ensemble_PYR5_bright
point_dipole,0,0.0,PYR2_bright,0.9541198611301186,19.145,1.3322676295501878e-15,1.0000000000000009,0.0,0.9769390253776109,0.9769994146393032,0.04533879698185727,2.045,0.02259859843468143,0.02253930429152353,0.0008429613212900519,19.945,0.00046209127294968334,0.0004609964742193654,6.982021149591156e-07,18.79,2.849147588497729e-07,2.845949546356679e-07
point_dipole,1,5.0,PYR2_bright,0.9800959740633413,0.34,7.771561172376096e-16,1.0,0.0,0.9900421217651699,0.9900371877262706,0.016335951730594395,0.34,0.007971804213984864,0.007972904725815022,0.004349950162502692,12.05,0.001985914452059867,0.001989747815491871,5.227830819771587e-07,14.105,1.5956878518730713e-07,1.5973242232230743e-07
point_dipole,2,10.0,PYR2_bright,0.9061009859038667,2.1750000000000003,6.661338147750939e-16,1.0,0.0,0.9527692198974844,0.9528960389818261,0.0781062811901457,12.805,0.03619570490006629,0.03635477169049811,0.027031933231989096,2.1750000000000003,0.011034839972841094,0.010748956796201862,9.23271582284492e-07,2.165,2.3522960810134985e-07,2.32531473804627e-07
point_dipole,3,15.0,PYR2_bright,0.9915493220138498,9.17,1.3322676295501878e-15,1.0000000000000009,0.0,0.9957679307300045,0.9957722114889878,0.005172964120839427,1.185,0.0024878722886162723,0.002490751166008503,0.0036686736407849454,9.17,0.0017441207066779328,0.0017369609829227472,2.2048380608795435e-07,18.345,7.627470210588348e-08,7.636208171324353e-08
point_dipole,4,20.0,PYR2_bright,0.8621922748760407,9.59,1.7763568394002505e-15,1.0000000000000009,0.0,0.931370125041088,0.9310130326394662,0.13778360741626158,18.19,0.06677933431002067,0.06713981345161626,0.003827234918576183,13.9,0.0018504635570611545,0.0018470767885206383,2.1439710103719746e-07,8.6,7.709183127070652e-08,7.712039801177658e-08
point_dipole,5,25.0,PYR2_bright,0.9811692876907966,14.69,8.881784197001252e-16,1.0,0.0,0.9906028820519899,0.9905834943066748,0.018618069447100913,14.69,0.0092478586666294,0.009267256101937021,0.0003636231794036613,5.62,0.00014911963784427517,0.00014911000273062813,4.0718233195380914e-07,8.185,1.3964353667059362e-07,1.3958865787010003e-07
point_dipole,6,30.0,PYR2_bright,0.9710970301407239,19.335,8.881784197001252e-16,0.9999999999999998,0.0,0.9855405168356242,0.9855227356241687,0.024957789235685687,19.335,0.010738493917807438,0.010758630295609172,0.009663721271848167,7.465,0.003720660129019338,0.003718304374068936,9.211340684444334e-07,16.27,3.2911754868900357e-07,3.297061528288945e-07
point_dipole,7,35.0,PYR2_bright,0.9936407347481118,6.425,7.771561172376096e-16,0.9999999999999998,0.0,0.9968241437074622,0.9968190616669071,0.004828440754128613,17.405,0.0023419776579334953,0.0023441895606886253,0.001815977440636863,6.425,0.0008337900645067532,0.000836660279020065,2.548260852249915e-07,2.49,8.857009738635094e-08,8.849338416304813e-08
point_dipole,8,40.0,PYR2_bright,0.8648662596568016,10.450000000000001,7.771561172376096e-16,0.9999999999999998,0.0,0.9322622576607948,0.932419352113239,0.1351195644528793,10.450000000000001,0.0673969127081529,0.06724008488257675,0.0007708791386701168,10.13,0.00034068014042832435,0.000340413431781071,4.4770039817734914e-07,9.5,1.4949062373291943e-07,1.4957240315371858e-07
point_dipole,9,45.0,PYR2_bright,0.9845388224197433,5.8500000000000005,6.661338147750939e-16,1.0,0.0,0.992272760292825,0.9922693433396437,0.014789319748432306,5.8500000000000005,0.007357320550127934,0.007360384732656447,0.0008024028576355239,13.51,0.0003698311737605198,0.00037018392797261233,2.393533992233667e-07,5.535,8.798328662139938e-08,8.799972736163038e-08
point_dipole,10,50.0,PYR2_bright,0.9715001309431712,3.63,1.1102230246251565e-15,1.0,0.0,0.9857281980270595,0.9857476109248338,0.028271538683311153,3.63,0.014092523618845446,0.014072999798147093,0.00045022946961816425,19.17,0.00017914590971236763,0.00017925674067091515,4.0238734005384914e-07,4.055,1.324443830327939e-07,1.325363483801387e-07
point_dipole,11,55.0,PYR2_bright,0.9901796810694781,18.935,3.552713678800501e-15,1.000000000000003,0.0,0.995085976025835,0.9950874300377883,0.0077784426593690585,14.525,0.0037621805723929615,0.003762157878146215,0.0025624004837863775,18.935,0.0011517626105380014,0.0011503312563076252,2.372631734025634e-07,5.165,8.079123688419508e-08,8.082776063328094e-08
point_dipole,12,60.0,PYR2_bright,0.8900802289625172,13.82,8.881784197001252e-16,1.0000000000000004,0.0,0.9451033807443496,0.9450355047518907,0.10924717663266688,14.385,0.05439960132228527,0.05446655813944551,0.0013067611246056308,8.745000000000001,0.0004966401041281103,0.0004975589759693083,1.03461343633537e-06,8.74,3.7782923708720816e-07,3.7813269466365555e-07
point_dipole,13,65.0,PYR2_bright,0.8469338801151295,13.530000000000001,6.661338147750939e-16,1.0,0.0,0.9253670270811378,0.9233323302830906,0.006741319627430523,7.72,0.002761023479655957,0.002747006844547273,0.14922670972009575,13.530000000000001,0.07187080402503795,0.07391948785410468,3.1335484750207717e-06,13.540000000000001,1.1454141684240817e-06,1.1750182576819846e-06
point_dipole,14,70.0,PYR2_bright,0.7532571671997937,13.735,1.3322676295501878e-15,1.0000000000000004,0.0,0.876235564015637,0.8765922345637971,0.24565192214678327,17.28,0.12289538204905968,0.12253974290095604,0.002299477589165719,13.725,0.0008688610253913526,0.0008678299300409251,6.202697215802148e-07,3.095,1.9290991250349674e-07,1.926052064159998e-07
point_dipole,15,75.0,PYR2_bright,0.9622502351448409,13.165000000000001,7.771561172376096e-16,0.9999999999999998,0.0,0.981124737790959,0.9811164312725364,0.03548072274474093,16.830000000000002,0.017203497995187226,0.0172112700818315,0.004423041549842277,13.165000000000001,0.0016716821538497006,0.0016722165692423696,2.384604811551083e-07,13.155000000000001,8.206000392965535e-08,8.207638955351838e-08
point_dipole,16,80.0,PYR2_bright,0.9869280938983106,9.21,1.3322676295501878e-15,0.9999999999999993,0.0,0.993457406181907,0.9934610656529661,0.010938657805685394,4.745,0.005278490563746994,0.005279315512213849,0.0029098983375578035,9.21,0.0012640248834838786,0.0012595403660516224,2.3214919866374513e-07,18.425,7.837086124914592e-08,7.846876773856583e-08
point_dipole,17,85.0,PYR2_bright,0.06903132514457386,17.475,6.661338147750939e-16,1.0,0.0,0.5351136916729085,0.5343721177152702,0.8689798152836912,17.475,0.43031436696964936,0.4309873323667323,0.07582985663041268,15.82,0.03456992557786306,0.03463853085742017,5.1091176095340566e-06,19.115000000000002,2.0157795791875127e-06,2.0190605775062385e-06
point_dipole,18,90.0,PYR2_bright,0.025354627329023216,3.6,1.1102230246251565e-15,1.0,0.0,0.4644018571615325,0.4582692667955662,0.5592154915110803,3.615,0.2121259916157572,0.21480897492583867,0.8216267064516299,15.505,0.32346504694626743,0.32691456526678353,1.8615444436300557e-05,15.55,7.104276443279272e-06,7.1930118118590085e-06
point_dipole,19,95.0,PYR2_bright,0.861312561464189,14.675,7.771561172376096e-16,1.0,0.0,0.9306372915242103,0.9305297638055069,0.13841106229258035,14.675,0.0676484077819569,0.06774514745336423,0.004196075500602716,17.5,0.0017141241974770133,0.0017249116903342865,5.951007229259291e-07,16.21,1.7649635575245088e-07,1.770507945776425e-07
point_dipole,20,100.0,PYR2_bright,0.9599591813010634,6.22,1.2212453270876722e-15,0.9999999999999993,0.0,0.9799687596322765,0.9799528251182709,0.03704068811531091,6.22,0.018070612731615327,0.01807638287163,0.004689996926458838,5.38,0.00196044966949469,0.0019706136155797777,6.469183746933777e-07,16.13,1.7796661291390209e-07,1.7839451869986307e-07
point_dipole,0,0.0,PYR3_bright,0.909881641620603,0.185,2.220446049250313e-15,0.04533879698185727,2.045,0.02259859843468143,0.02253930429152353,1.0000000000000018,0.0,0.9545788065592432,0.954673202926323,0.044914160924655104,19.85,0.022819472103687684,0.022784371353208585,7.845670775032231e-06,19.1,3.122902389341338e-06,3.121428946532556e-06
point_dipole,1,5.0,PYR3_bright,0.9746179913548998,11.705,8.881784197001252e-16,0.016335951730594395,0.34,0.007971804213984864,0.007972904725815022,1.0000000000000004,0.0,0.9872890648547139,0.9872856871841322,0.00984250387808099,11.705,0.004736931148748846,0.004739207992216065,5.20991490987291e-06,5.55,2.199782552520433e-06,2.2000978367767513e-06
point_dipole,2,10.0,PYR3_bright,0.8170122110064081,12.805,1.5543122344752192e-15,0.07810628119014568,12.805,0.03619570490006629,0.03635477169049811,1.0000000000000004,0.0,0.9072426868093927,0.9074382135618542,0.11944950358441955,10.625,0.056557565614227166,0.056202982615776456,1.0935534435197868e-05,6.265000000000001,4.042676314726282e-06,4.032131872105345e-06
point_dipole,3,15.0,PYR3_bright,0.9858887220199298,1.185,7.771561172376096e-16,0.005172964120839427,1.185,0.0024878722886162727,0.002490751166008503,0.9999999999999998,0.0,0.9929384057561608,0.9929360375151608,0.009338077516017498,10.355,0.004571734755002498,0.004571223758646432,4.6234442726534895e-06,13.68,1.9872002204269857e-06,1.9875601841554333e-06
point_dipole,4,20.0,PYR3_bright,0.7732860093664445,4.3,8.881784197001252e-16,0.13778360741626158,18.19,0.06677933431002067,0.06713981345161626,1.0000000000000004,0.0,0.8851508738507383,0.8848650699696174,0.09611825130157488,12.89,0.04806848437215838,0.04799380858399535,3.221977245751787e-06,14.16,1.307467082815662e-06,1.307994771176495e-06
point_dipole,5,25.0,PYR3_bright,0.9772279355507175,9.07,1.7763568394002505e-15,0.018618069447100913,14.69,0.0092478586666294,0.009267256101937021,1.0000000000000009,0.0,0.9886192273681284,0.9886014013923194,0.00432196030379866,9.07,0.002129866229521085,0.002128295070071964,6.8538698745622235e-06,13.41,3.047735722034964e-06,3.0474356724834488e-06
point_dipole,6,30.0,PYR3_bright,0.7328560779518721,11.865,6.661338147750939e-16,0.02495778923568568,19.335,0.010738493917807438,0.010758630295609172,1.0,0.0,0.8647429558318637,0.8655711235620928,0.2497642059968398,11.86,0.12451636355327902,0.12366806359419462,5.471699150797338e-06,11.875,2.186697049801814e-06,2.1825481032901253e-06
point_dipole,7,35.0,PYR3_bright,0.9841417717795303,7.05,1.1102230246251565e-15,0.004828440754128613,17.405,0.0023419776579334953,0.0023441895606886253,1.0000000000000004,0.0,0.9920672894601734,0.9920612527179221,0.011333868596215416,0.625,0.005587955536534964,0.00559178001551716,6.562275300929263e-06,0.805,2.777345358683235e-06,2.777705872676004e-06
