model,frame,snapshot_time_ps,initial_state,target_state,population
point_dipole,0,0.0,PYR3_bright,PYR2_bright,0.02253930429152353
point_dipole,0,0.0,PYR3_bright,PYR3_bright,0.954673202926323
point_dipole,0,0.0,PYR3_bright,PYR4_bright,0.022784371353208585
point_dipole,0,0.0,PYR3_bright,PYR5_bright,3.121428946532556e-06
point_dipole,1,5.0,PYR3_bright,PYR2_bright,0.007972904725815022
point_dipole,1,5.0,PYR3_bright,PYR3_bright,0.9872856871841322
point_dipole,1,5.0,PYR3_bright,PYR4_bright,0.004739207992216065
point_dipole,1,5.0,PYR3_bright,PYR5_bright,2.2000978367767513e-06
point_dipole,2,10.0,PYR3_bright,PYR2_bright,0.03635477169049811
point_dipole,2,10.0,PYR3_bright,PYR3_bright,0.9074382135618542
point_dipole,2,10.0,PYR3_bright,PYR4_bright,0.056202982615776456
point_dipole,2,10.0,PYR3_bright,PYR5_bright,4.032131872105345e-06
point_dipole,3,15.0,PYR3_bright,PYR2_bright,0.002490751166008503
point_dipole,3,15.0,PYR3_bright,PYR3_bright,0.9929360375151608
point_dipole,3,15.0,PYR3_bright,PYR4_bright,0.004571223758646432
point_dipole,3,15.0,PYR3_bright,PYR5_bright,1.9875601841554333e-06
point_dipole,4,20.0,PYR3_bright,PYR2_bright,0.06713981345161626
point_dipole,4,20.0,PYR3_bright,PYR3_bright,0.8848650699696174
point_dipole,4,20.0,PYR3_bright,PYR4_bright,0.04799380858399535
point_dipole,4,20.0,PYR3_bright,PYR5_bright,1.307994771176495e-06
point_dipole,5,25.0,PYR3_bright,PYR2_bright,0.009267256101937021
point_dipole,5,25.0,PYR3_bright,PYR3_bright,0.9886014013923194
point_dipole,5,25.0,PYR3_bright,PYR4_bright,0.002128295070071964
point_dipole,5,25.0,PYR3_bright,PYR5_bright,3.0474356724834488e-06
point_dipole,6,30.0,PYR3_bright,PYR2_bright,0.010758630295609172
point_dipole,6,30.0,PYR3_bright,PYR3_bright,0.8655711235620928
point_dipole,6,30.0,PYR3_bright,PYR4_bright,0.12366806359419462
point_dipole,6,30.0,PYR3_bright,PYR5_bright,2.1825481032901253e-06
