ring_populations,layer_count,total_added_heavy_atoms_per_end,inner_boundary_population,parent_terminal_spacing_nm,inner_boundary_spacing_nm,heavy_atom_relative_error,inner_spacing_relative_error,layer_count_relative_error,abrupt_contraction_penalty,sequence_screening_score,rank
30-30-30-22-20-12,6,144,12,0.2511442994800745,0.2197560318744819,0.007805994359968031,0.12498100761424175,0.0,0.050000000000000044,93.60264485476024,1
30-22-22-21-21-18-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,2
30-22-22-22-21-17-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,3
30-23-22-21-21-17-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,4
30-23-22-22-21-16-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,5
30-23-23-20-20-18-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,6
30-23-23-21-20-17-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,7
30-23-23-22-20-16-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,8
30-23-23-23-20-15-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,9
30-24-22-21-21-16-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,10
30-24-22-22-21-15-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,11
30-24-23-20-20-17-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,12
30-24-23-21-20-16-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,13
30-24-23-22-20-15-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,14
30-24-24-19-19-18-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,15
30-24-24-20-19-17-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,16
30-24-24-21-19-16-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,17
30-24-24-22-19-15-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,18
30-25-23-20-20-16-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,19
30-25-23-21-20-15-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,20
30-25-24-19-19-17-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,21
30-25-24-20-19-16-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,22
30-25-24-21-19-15-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,23
30-25-25-18-18-18-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,24
30-25-25-19-18-17-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,25
30-25-25-20-18-16-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,26
30-25-25-21-18-15-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,27
30-25-25-22-18-14-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,28
30-26-24-19-19-16-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,29
30-26-24-20-19-15-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,30
30-26-25-18-18-17-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,31
30-26-25-19-18-16-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,32
30-26-25-20-18-15-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,33
30-26-25-21-18-14-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,34
30-26-26-18-17-17-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,35
30-26-26-19-17-16-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,36
30-26-26-20-17-15-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,37
30-26-26-21-17-14-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,38
30-27-26-17-17-17-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,39
30-27-26-18-17-16-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,40
30-27-26-19-17-15-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,41
30-27-26-20-17-14-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,42
30-27-27-18-16-16-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,43
30-27-27-19-16-15-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,44
30-27-27-20-16-14-12,7,146,12,0.2511442994800745,0.2197560318744819,0.005974477940587968,0.12498100761424175,0.16666666666666666,0.0,93.50008126277187,45
