run,timestep,n_atoms,r_mean_A,r_std_A,r_min_A,r_max_A,z_mean_A,z_min_A,z_max_A,z_span_A,fraction_outside_outer_radius_120A,fraction_inside_lumen_radius_70A,fraction_outside_z_box_120A
nvt300_dry_tethered_bn_like_scaffold,0,17280,94.99996372291416,18.633873778710452,69.99996272434721,120.00007182431185,0.0,-100.0,100.0,200.0,0.05555555555555555,0.16666666666666666,0.0
nvt300_dry_tethered_bn_like_scaffold,1000,17280,95.00293863092409,18.637143323637357,69.22005435457271,120.81809351665832,8.229918981602101e-05,-100.359,100.536,200.89499999999998,0.12731481481481483,0.12662037037037038,0.0
nvt300_dry_tethered_bn_like_scaffold,2000,17280,94.99959872891222,18.637043884215068,69.23842854376463,120.80340350519931,-0.00010134432870674774,-100.655,100.388,201.043,0.12418981481481481,0.1291087962962963,0.0
nvt300_dry_tethered_bn_like_scaffold,3000,17280,94.99870038231481,18.63365083041522,69.4095356880174,120.71252072589654,-0.00013953292824158713,-100.561,100.518,201.079,0.12083333333333333,0.12488425925925926,0.0
nvt300_dry_tethered_bn_like_scaffold,4000,17280,95.00211636993215,18.63641488961058,69.18422805264217,120.89841463977102,0.0003469418402784396,-100.929,100.847,201.776,0.12667824074074074,0.1245949074074074,0.0
nvt300_dry_tethered_bn_like_scaffold,5000,17280,95.00159770223765,18.63823618562664,69.14150309647599,120.87404643781063,1.3816550927003846e-05,-100.386,100.391,200.777,0.12748842592592594,0.12939814814814815,0.0
nvt300_dry_tethered_bn_like_scaffold,6000,17280,94.99843721022067,18.63536708837044,69.03588585855805,121.05066531750249,-0.00076813165508914,-100.861,100.584,201.445,0.1203125,0.12569444444444444,0.0
nvt300_dry_tethered_bn_like_scaffold,7000,17280,95.00009429612102,18.63470422240617,69.0495555995837,120.69437235534224,0.0009236648726814396,-100.614,100.723,201.337,0.12384259259259259,0.12390046296296296,0.0
nvt300_dry_tethered_bn_like_scaffold,8000,17280,95.00279461379995,18.637586576903974,69.10547963490305,120.81736331591583,9.19820601868398e-05,-100.491,100.667,201.15800000000002,0.12719907407407408,0.12436342592592593,0.0
nvt300_dry_tethered_bn_like_scaffold,9000,17280,94.99954982777703,18.636723702608382,69.12485368432978,120.81066407503106,-0.0010816924189788956,-100.458,100.574,201.03199999999998,0.12199074074074075,0.12800925925925927,0.0
nvt300_dry_tethered_bn_like_scaffold,10000,17280,94.99835237452861,18.634832692839105,68.97875940969075,120.83079155265018,0.000537201967593622,-100.805,100.677,201.48200000000003,0.12118055555555556,0.12395833333333334,0.0
nvt300_dry_tethered_bn_like_scaffold,11000,17280,95.00245535313447,18.635798994783215,68.96945889014934,120.99568671076668,0.0007007957175927812,-100.709,100.449,201.15800000000002,0.12795138888888888,0.12262731481481481,0.0
nvt300_dry_tethered_bn_like_scaffold,12000,17280,95.00119044342864,18.637560731744127,69.26828998069752,120.76523482944087,-0.0004956256944448494,-100.698,100.595,201.293,0.12424768518518518,0.1318865740740741,0.0
nvt300_dry_tethered_bn_like_scaffold,13000,17280,94.99801976783503,18.636241058376985,69.11663197494507,120.96990742924457,-0.0008820820023174747,-100.441,100.529,200.97,0.12361111111111112,0.12731481481481483,0.0
nvt300_dry_tethered_bn_like_scaffold,14000,17280,95.0009904166735,18.633983984441777,69.11574900411628,120.8222440155785,0.0007531244212966865,-100.663,100.778,201.441,0.12731481481481483,0.12251157407407408,0.0
nvt300_dry_tethered_bn_like_scaffold,15000,17280,95.00206140789037,18.637598153148414,69.20796259167004,120.83677371317889,0.0009098155092572227,-100.921,100.564,201.485,0.1291087962962963,0.12714120370370371,0.0
nvt300_dry_tethered_bn_like_scaffold,16000,17280,94.99929184985355,18.637322409884863,69.01863787883676,120.97812672942163,-0.0012698726851811915,-100.804,100.36,201.164,0.125,0.12766203703703705,0.0
nvt300_dry_tethered_bn_like_scaffold,17000,17280,94.9992783443821,18.633804762067967,69.12583042199203,120.79803116875593,-0.000586218807870022,-100.666,100.64,201.30599999999998,0.12563657407407408,0.12447916666666667,0.0
nvt300_dry_tethered_bn_like_scaffold,18000,17280,95.00166343002164,18.63659394019991,69.13421032759396,120.92473117373468,0.0019527579282381609,-100.661,100.599,201.26,0.12743055555555555,0.12395833333333334,0.0
nvt300_dry_tethered_bn_like_scaffold,19000,17280,95.00122412317397,18.637429239002316,69.15808552042198,120.68856949703232,-0.0004923836226865846,-100.472,100.482,200.954,0.1267361111111111,0.1267361111111111,0.0
nvt300_dry_tethered_bn_like_scaffold,20000,17280,94.9985457857953,18.63553069255626,69.14930467394447,120.84200596537649,-0.0020021983217567915,-100.669,100.711,201.38,0.12152777777777778,0.12737268518518519,0.0
