metric,distance_nm,atom_a,atom_b
min_OW_HBN,0.27918,44169:SOL:OW,3:HBN:B0003
min_OW_PYR,0.27608,26505:SOL:OW,1782:PYR:H7
min_WATERATOM_HBN,0.20559,29931:SOL:HW2,1095:HBN:B1095
min_WATERATOM_PYR,0.21152,56507:SOL:HW2,1690:PYR:C9
min_WATERATOM_SOLUTE,0.20559,29931:SOL:HW2,1095:HBN:B1095
