gate,pass
mdrun_return_code_zero,True
mdrun_finished,True
no_instability_signatures,True
trajectory_check_return_code_zero,True
final_atom_count_is_68314,True
trajectory_has_41_frames,True
trajectory_starts_at_0ps,True
trajectory_ends_at_20ps,True
box_is_unchanged,True
HBN_final_coordinates_are_frozen,True
PYR_final_coordinates_are_frozen,True
CAPS_final_coordinates_are_frozen,True
HBN_trajectory_is_frozen,True
PYR_trajectory_is_frozen,True
CAPS_trajectory_is_frozen,True
temperature_series_is_finite,True
temperature_mean_is_295_to_305K,True
temperature_standard_deviation_is_acceptable,False
potential_series_is_finite,True
total_energy_series_is_finite,True
CAP_SOL_energy_series_is_finite,True
initial_lumen_occupancy_is_428,True
no_complete_lumen_drying,True
minimum_lumen_occupancy_is_at_least_90_percent,True
endpoint_lumen_occupancy_is_at_least_90_percent,True
endpoint_initial_lumen_retention_is_at_least_90_percent,True
CAP_OW_distance_remains_above_0p15nm,True
water_coordinates_are_mobile,True
