side,local_atom_index,atomname,x_nm,y_nm,z_nm
LOWER,1,C0001,3.6973442117790745,3.6973442117790745,1.7999999999999998
LOWER,2,C0002,3.8705492925360745,3.5973442117790744,1.7999999999999998
LOWER,3,C0003,3.8705492925360745,3.7973442117790746,1.7999999999999998
LOWER,4,C0004,3.6973442117790745,3.8973442117790746,1.7999999999999998
LOWER,5,C0005,3.5241391310220744,3.7973442117790746,1.7999999999999998
LOWER,6,C0006,3.5241391310220744,3.5973442117790744,1.7999999999999998
LOWER,7,C0007,3.6973442117790745,3.4973442117790743,1.7999999999999998
LOWER,8,C0008,3.8705492925360745,3.3973442117790746,1.7999999999999998
LOWER,9,C0009,4.0437543732930745,3.6973442117790745,1.7999999999999998
LOWER,10,C0010,3.8705492925360745,3.9973442117790743,1.7999999999999998
LOWER,11,C0011,3.5241391310220744,3.9973442117790743,1.7999999999999998
LOWER,12,C0012,3.3509340502650744,3.6973442117790745,1.7999999999999998
LOWER,13,C0013,3.5241391310220744,3.3973442117790746,1.7999999999999998
LOWER,14,C0014,4.0437543732930745,3.4973442117790743,1.7999999999999998
LOWER,15,C0015,4.0437543732930745,3.8973442117790746,1.7999999999999998
LOWER,16,C0016,3.6973442117790745,4.097344211779075,1.7999999999999998
LOWER,17,C0017,3.3509340502650744,3.8973442117790746,1.7999999999999998
LOWER,18,C0018,3.3509340502650744,3.4973442117790743,1.7999999999999998
LOWER,19,C0019,3.6973442117790745,3.2973442117790746,1.7999999999999998
LOWER,20,C0020,3.8705492925360745,3.1973442117790745,1.7999999999999998
LOWER,21,C0021,4.0437543732930745,3.2973442117790746,1.7999999999999998
LOWER,22,C0022,4.216959454050074,3.5973442117790744,1.7999999999999998
LOWER,23,C0023,4.216959454050074,3.7973442117790746,1.7999999999999998
LOWER,24,C0024,4.0437543732930745,4.097344211779075,1.7999999999999998
LOWER,25,C0025,3.8705492925360745,4.1973442117790745,1.7999999999999998
LOWER,26,C0026,3.5241391310220744,4.1973442117790745,1.7999999999999998
LOWER,27,C0027,3.3509340502650744,4.097344211779075,1.7999999999999998
LOWER,28,C0028,3.1777289695080744,3.7973442117790746,1.7999999999999998
LOWER,29,C0029,3.1777289695080744,3.5973442117790744,1.7999999999999998
LOWER,30,C0030,3.3509340502650744,3.2973442117790746,1.7999999999999998
LOWER,31,C0031,3.5241391310220744,3.1973442117790745,1.7999999999999998
LOWER,32,C0032,4.216959454050074,3.3973442117790746,1.7999999999999998
LOWER,33,C0033,4.216959454050074,3.9973442117790743,1.7999999999999998
LOWER,34,C0034,3.6973442117790745,4.297344211779074,1.7999999999999998
LOWER,35,C0035,3.1777289695080744,3.9973442117790743,1.7999999999999998
LOWER,36,C0036,3.1777289695080744,3.3973442117790746,1.7999999999999998
LOWER,37,C0037,3.6973442117790745,3.0973442117790744,1.7999999999999998
LOWER,38,C0038,4.0437543732930745,3.0973442117790744,1.7999999999999998
LOWER,39,C0039,4.390164534807075,3.6973442117790745,1.7999999999999998
LOWER,40,C0040,4.0437543732930745,4.297344211779074,1.7999999999999998
LOWER,41,C0041,3.3509340502650744,4.297344211779074,1.7999999999999998
LOWER,42,C0042,3.0045238887510743,3.6973442117790745,1.7999999999999998
LOWER,43,C0043,3.3509340502650744,3.0973442117790744,1.7999999999999998
LOWER,44,C0044,3.8705492925360745,2.9973442117790743,1.7999999999999998
LOWER,45,C0045,4.216959454050074,3.1973442117790745,1.7999999999999998
LOWER,46,C0046,4.390164534807075,3.4973442117790743,1.7999999999999998
LOWER,47,C0047,4.390164534807075,3.8973442117790746,1.7999999999999998
LOWER,48,C0048,4.216959454050074,4.1973442117790745,1.7999999999999998
LOWER,49,C0049,3.8705492925360745,4.397344211779075,1.7999999999999998
LOWER,50,C0050,3.5241391310220744,4.397344211779075,1.7999999999999998
LOWER,51,C0051,3.1777289695080744,4.1973442117790745,1.7999999999999998
LOWER,52,C0052,3.0045238887510743,3.8973442117790746,1.7999999999999998
LOWER,53,C0053,3.0045238887510743,3.4973442117790743,1.7999999999999998
LOWER,54,C0054,3.1777289695080744,3.1973442117790745,1.7999999999999998
LOWER,55,C0055,3.5241391310220744,2.9973442117790743,1.7999999999999998
LOWER,56,C0056,4.390164534807075,3.2973442117790746,1.7999999999999998
LOWER,57,C0057,4.390164534807075,4.097344211779075,1.7999999999999998
LOWER,58,C0058,3.6973442117790745,4.497344211779074,1.7999999999999998
LOWER,59,C0059,3.0045238887510743,4.097344211779075,1.7999999999999998
LOWER,60,C0060,3.0045238887510743,3.2973442117790746,1.7999999999999998
LOWER,61,C0061,3.6973442117790745,2.8973442117790746,1.7999999999999998
LOWER,62,C0062,4.0437543732930745,2.8973442117790746,1.7999999999999998
LOWER,63,C0063,4.216959454050074,2.9973442117790743,1.7999999999999998
LOWER,64,C0064,4.563369615563074,3.5973442117790744,1.7999999999999998
LOWER,65,C0065,4.563369615563074,3.7973442117790746,1.7999999999999998
LOWER,66,C0066,4.216959454050074,4.397344211779075,1.7999999999999998
LOWER,67,C0067,4.0437543732930745,4.497344211779074,1.7999999999999998
LOWER,68,C0068,3.3509340502650744,4.497344211779074,1.7999999999999998
LOWER,69,C0069,3.1777289695080744,4.397344211779075,1.7999999999999998
LOWER,70,C0070,2.8313188079950744,3.7973442117790746,1.7999999999999998
LOWER,71,C0071,2.8313188079950744,3.5973442117790744,1.7999999999999998
LOWER,72,C0072,3.1777289695080744,2.9973442117790743,1.7999999999999998
LOWER,73,C0073,3.3509340502650744,2.8973442117790746,1.7999999999999998
LOWER,74,C0074,3.8705492925360745,2.7973442117790746,1.7999999999999998
LOWER,75,C0075,4.563369615563074,3.3973442117790746,1.7999999999999998
LOWER,76,C0076,4.563369615563074,3.9973442117790743,1.7999999999999998
LOWER,77,C0077,3.8705492925360745,4.597344211779075,1.7999999999999998
LOWER,78,C0078,3.5241391310220744,4.597344211779075,1.7999999999999998
LOWER,79,C0079,2.8313188079950744,3.9973442117790743,1.7999999999999998
LOWER,80,C0080,2.8313188079950744,3.3973442117790746,1.7999999999999998
LOWER,81,C0081,3.5241391310220744,2.7973442117790746,1.7999999999999998
LOWER,82,C0082,4.390164534807075,3.0973442117790744,1.7999999999999998
LOWER,83,C0083,4.390164534807075,4.297344211779074,1.7999999999999998
