hydrogen_node,end,hydrogen_role,attached_heavy_node,direction_x,direction_y,direction_z,local_angle_violations,local_heavy_clashes,minimum_heavy_clearance_nm,heavy_neighbor_angle_1_deg,heavy_neighbor_angle_2_deg
H:UPPER:BRIDGE_PASSIVANT_H:0173,UPPER,BRIDGE_PASSIVANT_H,BR:UPPER:14:3,0.9900985498244007,-0.08017831737047573,-0.11522282351712293,0,0,0.17780317607988583,120.49291152016797,120.49291152016801
H:UPPER:SEED_PASSIVANT_H:0087,UPPER,SEED_PASSIVANT_H,S:1710,0.10815145179918655,-0.4807440464654596,0.8701657458563536,0,0,0.09553500574973015,113.44485836878586,118.61821743507298
H:UPPER:SEED_PASSIVANT_H:0088,UPPER,SEED_PASSIVANT_H,S:1712,0.3121852581676128,-0.3106660285250112,0.8977900552486188,0,0,0.10110675455398059,115.53737250835057,118.13960486480866
H:UPPER:SEED_PASSIVANT_H:0089,UPPER,SEED_PASSIVANT_H,S:1714,0.0,2.0679515313825693e-26,1.0,0,0,0.09631445079802488,120.16225432397482,120.16225432397482
H:UPPER:SEED_PASSIVANT_H:0090,UPPER,SEED_PASSIVANT_H,S:1716,0.0,-7.096904206853575e-16,1.0,0,0,0.18717614731250634,120.03973563987074,120.03973563987067
H:UPPER:SEED_PASSIVANT_H:0091,UPPER,SEED_PASSIVANT_H,S:1718,-1.3257701227289953e-15,-1.8560781717999135e-15,1.0,0,0,0.09625042517959105,120.16225432397475,120.1622543239749
H:UPPER:SEED_PASSIVANT_H:0092,UPPER,SEED_PASSIVANT_H,S:1720,-0.29617925233593306,-0.35492173079665773,0.8867403314917127,0,0,0.09861011565283333,115.77768956776555,117.62814471193491
H:UPPER:SEED_PASSIVANT_H:0093,UPPER,SEED_PASSIVANT_H,S:1722,-0.1823010699834817,-0.506843415389712,0.8425414364640884,0,0,0.09330892135602493,116.17275502114151,114.26764791802223
H:UPPER:SEED_PASSIVANT_H:0094,UPPER,SEED_PASSIVANT_H,S:1724,-6.162584774672988e-16,1.8707846639468097e-16,1.0,0,0,0.09582466557252275,120.2938645480042,120.29386454800427
H:UPPER:SEED_PASSIVANT_H:0095,UPPER,SEED_PASSIVANT_H,S:1726,-1.7017060484479906e-15,4.030356430555394e-15,1.0,0,0,0.18721739588456554,119.72498445884719,119.72498445884756
H:UPPER:SEED_PASSIVANT_H:0096,UPPER,SEED_PASSIVANT_H,S:1728,-1.7665701708575096e-15,2.5615267477640683e-15,1.0,0,0,0.09623748724017173,120.18342912083439,120.18342912083452
H:UPPER:SEED_PASSIVANT_H:0097,UPPER,SEED_PASSIVANT_H,S:1730,-0.42861171789393476,0.017724440180765588,0.9033149171270718,0,0,0.09545702323345837,121.13133817864022,113.15486305665614
H:UPPER:SEED_PASSIVANT_H:0098,UPPER,SEED_PASSIVANT_H,S:1732,-0.4875699399145951,-0.15554810916144188,0.8591160220994475,0,0,0.10015474994972452,118.47885995548911,112.88284339819302
H:UPPER:SEED_PASSIVANT_H:0099,UPPER,SEED_PASSIVANT_H,S:1734,8.832850854287375e-16,1.3249276281637859e-15,1.0,0,0,0.09598792015215493,120.18342912083513,120.18342912083504
H:UPPER:SEED_PASSIVANT_H:0100,UPPER,SEED_PASSIVANT_H,S:1736,0.0,2.0679515313825693e-26,1.0,0,0,0.18721772298092812,119.92322059536707,119.92322059536707
H:UPPER:SEED_PASSIVANT_H:0101,UPPER,SEED_PASSIVANT_H,S:1738,-6.162584774672988e-16,-1.8707846635332192e-16,1.0,0,0,0.09620932408504704,120.29386454800427,120.2938645480042
