metric,value
source_gro,runs/phase1A/hybrid_hydrated_gap45_pyr5shift_clean032_nvt/nvt_100ps.gro
natoms,68320
water_molecules,16634
min_OW_solute_nm,0.00332
min_OW_solute_pair,29917:SOL:OW - 1203:HBN:B1203
min_WATERATOM_solute_nm,0.00332
min_WATERATOM_solute_pair,29917:SOL:OW - 1203:HBN:B1203
min_PYR_HBN_nm,0.40102
min_PYR_HBN_pair,1693:PYR:C12 - 238:HBN:N0238
