frame,cluster,root,is_tracked_root,embedded_energy_eV,vacuum_energy_eV,delta_energy_meV,embedded_n1,vacuum_n1,delta_n1,embedded_n2,vacuum_n2,delta_n2,embedded_participation_ratio,vacuum_participation_ratio,delta_participation_ratio,embedded_character_class,vacuum_character_class,character_class_preserved
3,PYR5,1,True,3.75,3.78,-29.999999999999805,0.87581545,0.87956493,-0.0037494799999999717,0.09392891,0.0892349,0.0046940099999999985,1.28743179775331,1.2778259364670173,0.009605861286292816,single_pair_dominated,single_pair_dominated,True
3,PYR5,2,False,3.852,3.846,5.999999999999783,0.63068887,0.5775587,0.05313016999999998,0.33855656,0.39078663,-0.05223007000000002,1.947832606141857,2.0511358402555966,-0.10330323411373965,two_pair_mixed,two_pair_mixed,True
5,PYR2,1,False,4.006,4.001,4.999999999999893,0.63060731,0.52346818,0.10713913000000008,0.34138756,0.447566,-0.10617844000000004,1.9409117341808964,2.1034374990493987,-0.16252576486850234,two_pair_mixed,two_pair_mixed,True
5,PYR2,2,True,4.068,4.09,-22.00000000000024,0.83774482,0.84685883,-0.009114010000000006,0.13818977,0.12769211,0.010497659999999992,1.3857568681476404,1.3617543405061683,0.02400252764147215,single_pair_dominated,single_pair_dominated,True
5,PYR5,1,True,3.797,3.78,17.000000000000348,0.87757754,0.87956493,-0.0019873900000000333,0.09158606,0.0892349,0.002351159999999991,1.2829273652739286,1.2778259364670173,0.0051014288069113345,single_pair_dominated,single_pair_dominated,True
5,PYR5,2,False,3.871,3.846,24.99999999999991,0.61350706,0.5775587,0.03594836000000001,0.3550372,0.39078663,-0.035749430000000026,1.9857690034805278,2.0511358402555966,-0.06536683677506883,two_pair_mixed,two_pair_mixed,True
13,PYR5,1,True,3.783,3.78,3.0000000000001137,0.87956822,0.87956493,3.289999999989135e-06,0.08952215,0.0892349,0.0002872499999999889,1.2777535630387087,1.2778259364670173,-7.237342830856974e-05,single_pair_dominated,single_pair_dominated,True
13,PYR5,2,False,3.836,3.846,-10.000000000000231,0.61148015,0.5775587,0.03392145000000002,0.35735875,0.39078663,-0.03342788000000002,1.988711249825163,2.0511358402555966,-0.06242459043043369,two_pair_mixed,two_pair_mixed,True
