edge_id,source_node,target_node,edge_type,end,length_nm,target_length_nm,deviation_nm,absolute_deviation_nm,contains_four_atom_bridge
E:1,P:0,P:1,PARENT_BN,PARENT,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05,False
E:2,P:1,P:60,PARENT_BN,PARENT,0.1452446212429224,0.144973,0.0002716212429224041,0.0002716212429224041,False
E:3,P:1,P:118,PARENT_BN,PARENT,0.1443779761598008,0.144973,-0.0005950238401991881,0.0005950238401991881,False
E:4,P:2,P:3,PARENT_BN,PARENT,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05,False
E:5,P:3,P:60,PARENT_BN,PARENT,0.14477568856683093,0.144973,-0.00019731143316906175,0.00019731143316906175,False
E:6,P:3,P:62,PARENT_BN,PARENT,0.14439182802361047,0.144973,-0.0005811719763895162,0.0005811719763895162,False
E:7,P:4,P:5,PARENT_BN,PARENT,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05,False
E:8,P:5,P:62,PARENT_BN,PARENT,0.14456140563788109,0.144973,-0.00041159436211890554,0.00041159436211890554,False
E:9,P:5,P:64,PARENT_BN,PARENT,0.14483438818181293,0.144973,-0.0001386118181870566,0.0001386118181870566,False
E:10,P:6,P:7,PARENT_BN,PARENT,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05,False
E:11,P:7,P:64,PARENT_BN,PARENT,0.14481022063376636,0.144973,-0.00016277936623362854,0.00016277936623362854,False
E:12,P:7,P:66,PARENT_BN,PARENT,0.145013792447477,0.144973,4.0792447477011606e-05,4.0792447477011606e-05,False
E:13,P:8,P:9,PARENT_BN,PARENT,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05,False
E:14,P:9,P:66,PARENT_BN,PARENT,0.14377760604489156,0.144973,-0.0011953939551084258,0.0011953939551084258,False
E:15,P:9,P:68,PARENT_BN,PARENT,0.145013792447477,0.144973,4.0792447477011606e-05,4.0792447477011606e-05,False
E:16,P:10,P:11,PARENT_BN,PARENT,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05,False
E:17,P:11,P:68,PARENT_BN,PARENT,0.14481022063376636,0.144973,-0.00016277936623362854,0.00016277936623362854,False
E:18,P:11,P:70,PARENT_BN,PARENT,0.14483438818181293,0.144973,-0.0001386118181870566,0.0001386118181870566,False
E:19,P:12,P:13,PARENT_BN,PARENT,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05,False
E:20,P:13,P:70,PARENT_BN,PARENT,0.14456140563788109,0.144973,-0.00041159436211890554,0.00041159436211890554,False
E:21,P:13,P:72,PARENT_BN,PARENT,0.14439182802361047,0.144973,-0.0005811719763895162,0.0005811719763895162,False
E:22,P:14,P:15,PARENT_BN,PARENT,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05,False
E:23,P:15,P:72,PARENT_BN,PARENT,0.14477568856683093,0.144973,-0.00019731143316906175,0.00019731143316906175,False
E:24,P:15,P:74,PARENT_BN,PARENT,0.1452446212429224,0.144973,0.0002716212429224041,0.0002716212429224041,False
E:25,P:16,P:17,PARENT_BN,PARENT,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05,False
E:26,P:17,P:74,PARENT_BN,PARENT,0.1443779761598008,0.144973,-0.0005950238401991881,0.0005950238401991881,False
E:27,P:17,P:76,PARENT_BN,PARENT,0.14477568856683093,0.144973,-0.00019731143316906175,0.00019731143316906175,False
E:28,P:18,P:19,PARENT_BN,PARENT,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05,False
E:29,P:19,P:76,PARENT_BN,PARENT,0.14439182802361084,0.144973,-0.0005811719763891554,0.0005811719763891554,False
E:30,P:19,P:78,PARENT_BN,PARENT,0.14456140563788109,0.144973,-0.00041159436211890554,0.00041159436211890554,False
