temperature_K,frame,effective_capture_rate_at_kappa1_ps_inv,effective_capture_timescale_at_kappa1_ps,exact_full_slow_rate_at_kappa1_ps_inv,exact_full_slow_timescale_at_kappa1_ps,internal_relaxation_rate_at_kappa1_ps_inv,internal_relaxation_timescale_at_kappa1_ps,timescale_separation_ratio,relative_effective_vs_exact_slow_mode_error,PYR2_conditional_high_population,PYR3_conditional_high_population,PYR4_conditional_high_population,PYR2_direct_capture_rate_at_kappa1_ps_inv,PYR3_direct_capture_rate_at_kappa1_ps_inv,PYR4_direct_capture_rate_at_kappa1_ps_inv,PYR2_capture_contribution_fraction,PYR3_capture_contribution_fraction,PYR4_capture_contribution_fraction
150.0,0,5.77086360145876e-06,173284.28967671664,5.765939720405839e-06,173432.26750376335,0.03123057309366397,32.01990552657771,5411.767674732339,0.0008539598559269425,0.6247356179830174,0.2637562260648855,0.11150815595209718,3.1130664289438134e-07,3.1392610346589163e-06,4.258324935831236e-05,0.03370108208443499,0.14347933001308186,0.8228195879024831
200.0,0,7.589726251920766e-06,131757.05773932565,7.58467061368622e-06,131844.88172703795,0.039263380504306576,25.46902449956686,5173.227492147034,0.0006665600250884559,0.556061701903779,0.29124120844071516,0.1526970896555057,3.113066592013093e-07,3.1392611208490605e-06,4.2583249971652754e-05,0.022807899123588434,0.12046313293785171,0.8567289679385598
250.0,0,8.877121100866158e-06,112649.1335014488,8.872384783925841e-06,112709.26862997496,0.047690746744936126,20.968428222528964,5372.321296854095,0.0005338268183428729,0.512378362638959,0.305418017214743,0.18220362014629807,3.113071103960008e-07,3.1392638448922906e-06,4.258327210026237e-05,0.01796832843555611,0.10800660801252143,0.8740250635519226
300.0,0,9.816305172430988e-06,101871.32352083875,9.812217103940213e-06,101913.76621685614,0.05631954233661115,17.755826104253316,5737.346317918489,0.00041663045644735314,0.4825697178927288,0.3135546835654715,0.2038755985417997,3.113110120507552e-07,3.139289662582976e-06,4.258350185354436e-05,0.01530405428756947,0.10027591435686704,0.8844200313555635
150.0,1,5.943863032931036e-06,168240.75428044988,5.931872539883249e-06,168580.83063593306,0.01054760294896327,94.80827111512484,1774.536675984278,0.002021367277730355,0.17491734630997408,0.715124827739349,0.10995782595067695,1.7512877623522638e-07,2.1791519353982788e-06,3.9604860154868165e-05,0.0051537292551765415,0.2621806128078127,0.7326656579370109
200.0,1,7.509249181015904e-06,133169.10597774477,7.4964369814456225e-06,133396.70599180556,0.013392863777743196,74.66662967645804,1783.5156957637828,0.0017091052191852288,0.21828617064606257,0.6276072535808157,0.1541065757731218,1.7512877723665205e-07,2.179151971198181e-06,3.960486031478343e-05,0.005090813905811064,0.18212893870088426,0.8127802473933048
250.0,1,8.623671485831982e-06,115959.89036026265,8.611386508720382e-06,116125.31837786434,0.016391281545899472,61.00804242790675,1900.7312109266993,0.001426596878349312,0.24482151611522424,0.5698741648847198,0.18530431900005595,1.751288208800731e-07,2.179153228455247e-06,3.960486779676549e-05,0.0049718154864516586,0.14400399276132284,0.8510241917522255
300.0,1,9.432279048385462e-06,106018.9159873479,9.420984102248474e-06,106146.02350951143,0.019461828192072123,51.382634258756596,2063.321928055493,0.0011989136181953463,0.2621349335575067,0.5300287036146059,0.20783636282788742,1.7512933691749842e-07,2.179166041964469e-06,3.9604960686892575e-05,0.004867065198277475,0.122454026885592,0.8726789079161306
150.0,2,1.2308404530911678e-05,81245.29848597123,1.230764978461138e-05,81250.28071974633,0.20493042768499156,4.879704840791862,16649.633766124884,6.132334877131396e-05,0.2487155286617439,0.4828341171613475,0.2684503541769087,2.5516547956675195e-07,4.173730964116851e-06,3.810656625803996e-05,0.005156120518080779,0.16372712647421195,0.8311167530077074
200.0,2,1.2817860129551675e-05,78016.14231181165,1.2817265927722123e-05,78019.75909988156,0.2761227111960284,3.62157823117298,21542.02873219262,4.635948359835284e-05,0.2700089941364045,0.44406803952511575,0.28592296633847974,2.551654824724548e-07,4.173731042252318e-06,3.8106566717535215e-05,0.005375076226793532,0.14459672228479303,0.8500282014884135
250.0,2,1.3112440089579116e-05,76263.45616593,1.3111971595961e-05,76266.18107592904,0.34795431467499804,2.873940508351035,26536.198624962923,3.573021911206593e-05,0.2828254066768427,0.4210905054802561,0.2960840878429012,2.551655924744213e-07,4.173733713754294e-06,3.810658391017391e-05,0.005503728670521778,0.13403452196983082,0.8604617493596474
300.0,2,1.3303393132433662e-05,75168.79265651414,1.3303209911799885e-05,75169.82793100218,0.4201020102784016,2.380374231814078,31578.56090520194,1.3772663514447924e-05,0.29135614660505466,0.4059492176978757,0.30269463569706956,2.5516677304971344e-07,4.17376044298251e-06,3.810676694499754e-05,0.005588379370384794,0.1273611002712009,0.8670505203584143
150.0,3,5.0688204320041065e-06,197284.55829409225,5.057615297349092e-06,197721.64176348917,0.0049091718063331725,203.7003469118621,968.503791402251,0.0022154976201703676,0.06362740754485592,0.8270571467976019,0.10931544565754217,8.880262777421353e-08,1.958521226717511e-06,3.1499310574018276e-05,0.0011147131890426865,0.3195632986886231,0.6793219881223341
200.0,3,6.501524616274402e-06,153810.07671598028,6.489469363172442e-06,154095.80414617137,0.006015051795349134,166.2496074885348,925.1755780932452,0.001857663920932211,0.10699358695617675,0.7324470179486128,0.16055939509521047,8.880262788041134e-08,1.958521242735993e-06,3.149931063053824e-05,0.0014613974796429173,0.22064256132171883,0.7778960411986382
250.0,3,7.496437675865791e-06,133396.69363482122,7.485076044245399e-06,133599.17709437435,0.0072689438819324515,137.57156696251033,969.6530800668512,0.001517904634933819,0.1419831563848286,0.661563598426622,0.1964532451885494,8.880263424473299e-08,1.958521891627632e-06,3.1499313749685166e-05,0.0016819293177006854,0.17284033380199446,0.8254777368803049
300.0,3,8.187450366905556e-06,122138.14498859059,8.177175780359742e-06,122291.61104764788,0.00860436425287918,116.22009141063288,1050.921088652803,0.0012564957415360963,0.16903080187438024,0.6094126948348434,0.22155650329077642,8.880272789552891e-08,1.9585291878464426e-06,3.149935712409793e-05,0.0018333419602135337,0.14577829443738058,0.852388363602406
150.0,4,2.23813108213026e-05,44680.13549269853,2.2377464665803335e-05,44687.814948409876,0.09954390538662888,10.0458184367591,4447.635180146942,0.00017187628521394624,0.17595191186194878,0.28622514932492615,0.5378229388131252,9.312650030093597e-08,1.2638110988717376e-06,4.091158804716197e-05,0.0007321191284902755,0.01616234738801635,0.9831055334834934
200.0,4,2.030449157095423e-05,49250.18666463481,2.030152984001005e-05,49257.371630644804,0.13020779533631158,7.680031732486649,6412.7582255039115,0.0001458870817875226,0.2104323582118679,0.30310833048687674,0.48645931130125536,9.312650054894593e-08,1.2638111037188754e-06,4.091158829891912e-05,0.0009651474923197266,0.01886635143561009,0.9801685010720703
250.0,4,1.9042190713290353e-05,52514.96611164899,1.9039827884014305e-05,52521.48318208235,0.16149573538524511,6.192113975112211,8480.94307093198,0.00012409929808408437,0.23288169788968463,0.31183412455531234,0.455284177555003,9.312651317929594e-08,1.2638113328929626e-06,4.091159910765094e-05,0.0011389162536117197,0.020696121918404097,0.9781649618279842
300.0,4,1.8199929634174263e-05,54945.26737742359,1.819810131460951e-05,54950.78759657173,0.19309793583735835,5.178719263173664,10609.81771461224,0.00010046760006134755,0.24852390446160144,0.3169750421406314,0.4345010533977671,9.312667939133707e-08,1.2638141987032715e-06,4.0911725599516894e-05,0.0012716645853630467,0.022010939984058515,0.9767173954305783
150.0,5,4.223018791575339e-06,236797.43078457005,4.191455063965551e-06,238580.6324388687,0.002460917521619658,406.3525051997061,582.7389464922667,0.007530494095271297,0.21284632890676192,0.7451250816643769,0.04202858942886124,1.5739230289696143e-07,2.997382653162116e-06,4.654197178802942e-05,0.007932802462691032,0.5288693004805834,0.4631978970567256
200.0,5,5.606271842499614e-06,178371.65733193196,5.555781818907766e-06,179992.66936594606,0.0027359122802430003,365.50879471588223,488.0092077417291,0.009087834122646288,0.2593682103674006,0.6638026918561835,0.076829097776416,1.5739232599807287e-07,2.9973837768984435e-06,4.654197381511275e-05,0.007281588739635839,0.35490098866560227,0.6378174225947619
250.0,5,6.888119433341747e-06,145177.50594734584,6.826355546206476e-06,146491.0512250885,0.0030551632778361986,327.31474852900305,443.54098493817736,0.009047856754193588,0.2858275830214288,0.6061804809407868,0.10799193603778443,1.5739284246532151e-07,2.9974044423165444e-06,4.6542032077459506e-05,0.006531131781626202,0.2637828922684632,0.7296859759499106
300.0,5,7.977247268906387e-06,125356.52541419737,7.910652143822563e-06,126411.82823098866,0.0033990423535730048,294.2005117849797,426.0921391796076,0.00841841151311751,0.3016229363721125,0.5643465478753703,0.13403051575251712,1.5739669781089675e-07,2.9975392527387963e-06,4.654254928669988e-05,0.005951232620560987,0.21205948272379024,0.7819892846556488
150.0,6,1.0778766637016045e-05,92774.99306514686,1.0770398232897883e-05,92847.07755239056,0.01854234954108227,53.930598049853856,1720.2663500854367,0.0007769818661487999,0.5766000878109644,0.17370636150823515,0.2496935506808005,3.39287980981583e-07,2.2087097627879903e-06,4.08479361723919e-05,0.018149894715722693,0.03559469737511934,0.946255407909158
200.0,6,1.1875064248300091e-05,84210.07070704055,1.186915171390959e-05,84252.01936108788,0.025200120248973,39.6823503269098,2122.1039079919406,0.000498142961941659,0.5153412906506759,0.20955629205520668,0.2751024172941173,3.392879879997381e-07,2.2087097813792513e-06,4.0847936623675866e-05,0.014724055885683785,0.03897654971240755,0.9462993944019088
250.0,6,1.2493462886659796e-05,80041.85941655734,1.2489006034108338e-05,80070.4233202331,0.03200399537168029,31.246098756934593,2561.6592983081855,0.0003568620704710806,0.47800129957137344,0.23269855636125342,0.28930014406737325,3.3928822309206843e-07,2.208710530081362e-06,4.0847953814259546e-05,0.012981205694415014,0.04113861436436725,0.9458801799412179
300.0,6,1.288311701663183e-05,77620.96693750599,1.2879766447699303e-05,77641.15941548217,0.03888510615048653,25.716787196876098,3018.2995388683257,0.0002601420566227948,0.45311761456592303,0.2487032468211916,0.2981791386128855,3.392905423264421e-07,2.208718914634777e-06,4.084813909760453e-05,0.01193333266982382,0.04263840533901017,0.945428261991166
