temperature_K,kappa_ref_ps_inv,mean_effective_capture_rate_ps_inv,inverse_mean_effective_rate_ns,mean_frame_effective_capture_time_ns,mean_exact_full_slow_rate_ps_inv,inverse_mean_exact_full_slow_rate_ns,mean_internal_relaxation_rate_ps_inv,mean_internal_relaxation_time_ps,mean_timescale_separation_ratio,maximum_relative_effective_vs_exact_slow_mode_error,PYR2_gateway_contribution_fraction,PYR3_gateway_contribution_fraction,PYR4_gateway_contribution_fraction,apparent_100ps_capture_time_ns
150.0,0.1,1.1164678411742348e-06,895.6818666162916,1227.7217846438894,1.1146180133790192e-06,897.1683464619873,0.02011203553148842,49.72147142611942,15960.304207849505,0.007530494095271297,0.02497223125898895,0.14318536273203133,0.8318424060089799,623.4097475495008
150.0,1.0,1.1164678411742348e-05,89.56818666162917,122.77217846438892,1.1146180133790191e-05,89.71683464619875,0.20112035531488417,4.972147142611942,15960.304207849505,0.007530494095271297,0.02497223125898895,0.14318536273203133,0.8318424060089799,74.28187411921145
150.0,10.0,0.00011164678411742348,8.956818666162915,12.27721784643889,0.00011146180133790191,8.971683464619876,2.011203553148842,0.49721471426119423,15960.304207849505,0.007530494095271297,0.02497223125898895,0.14318536273203133,0.8318424060089799,8.65762523347932
200.0,0.1,1.1952176422301527e-06,836.6677035774868,1016.4532328201644,1.193244968366622e-06,838.0508835238197,0.026473457985908652,37.77368262704034,20510.486921314052,0.009087834122646288,0.02291926585844909,0.12349090107068961,0.8535898330708614,622.1577859684844
200.0,1.0,1.1952176422301527e-05,83.66677035774869,101.64532328201648,1.193244968366622e-05,83.80508835238199,0.2647345798590865,3.7773682627040346,20510.486921314052,0.009087834122646288,0.02291926585844909,0.12349090107068961,0.8535898330708614,73.10612949808292
200.0,10.0,0.00011952176422301527,8.366677035774869,10.164532328201645,0.0001193244968366622,8.3805088352382,2.647345798590865,0.37773682627040345,20510.486921314052,0.009087834122646288,0.02291926585844909,0.12349090107068961,0.8535898330708614,8.161761614562392
250.0,0.1,1.2500628962261355e-06,799.9597484406103,912.3299577604325,1.2481525268429256e-06,801.1841329435898,0.03285998839028081,30.432147087908767,25167.717193420085,0.009047856754193588,0.02171859108948022,0.11140314635722301,0.8668782625532968,621.1897381821921
250.0,1.0,1.2500628962261355e-05,79.99597484406102,91.23299577604323,1.2481525268429255e-05,80.11841329435897,0.32859988390280803,3.0432147087908774,25167.717193420085,0.009047856754193588,0.02171859108948022,0.11140314635722301,0.8668782625532968,72.19439557503152
250.0,10.0,0.00012500628962261353,7.999597484406104,9.123299577604326,0.00012481525268429256,8.011841329435898,3.28599883902808,0.30432147087908773,25167.717193420085,0.009047856754193588,0.02171859108948022,0.11140314635722301,0.8668782625532968,7.851430390288601
300.0,0.1,1.2896952436676298e-06,775.376977553398,853.0654132806726,1.2879283037974848e-06,776.4407359101265,0.039259181244993585,25.47174872954138,29871.988570655198,0.00841841151311751,0.02093671873619577,0.10341024740572692,0.8756530338580775,620.4003494891101
300.0,1.0,1.2896952436676297e-05,77.53769775533982,85.30654132806727,1.2879283037974846e-05,77.64407359101266,0.39259181244993585,2.5471748729541375,29871.988570655198,0.00841841151311751,0.02093671873619577,0.10341024740572692,0.8756530338580775,71.46625452492702
300.0,10.0,0.00012896952436676297,7.75376977553398,8.53065413280673,0.00012879283037974847,7.7644073591012654,3.9259181244993586,0.25471748729541377,29871.988570655198,0.00841841151311751,0.02093671873619577,0.10341024740572692,0.8756530338580775,7.6419461093136665
