run,timestep,n_water_oxygen,water_r_mean_A,water_r_min_A,water_r_max_A,water_abs_z_mean_A,water_abs_z_min_A,water_abs_z_max_A,fraction_inside_lumen_segment,fraction_radial_outside_lumen,fraction_axial_outside_segment,fraction_radial_outside_outer_radius,scaffold_r_min_A,scaffold_r_max_A,scaffold_r_mean_A
nvt300_fieldZ_water_only,0,30000,40.87637251639246,0.5025145341430435,89.83603153946639,38.814851024835,0.00202251,116.354,0.9972333333333333,0.0026666666666666666,0.00016666666666666666,0.0,nan,nan,nan
nvt300_fieldZ_water_only,1000,30000,40.82560329640049,0.22428509887640774,90.78189586971622,38.754308139233665,0.00147541,115.324,0.9973333333333333,0.0025666666666666667,0.00016666666666666666,0.0,nan,nan,nan
nvt300_fieldZ_water_only,2000,30000,40.77639450651178,0.3480066175304717,91.58737499109799,38.699044508763336,0.0117459,114.416,0.9972666666666666,0.0026333333333333334,0.00016666666666666666,0.0,nan,nan,nan
nvt300_fieldZ_water_only,3000,30000,40.727821144286814,0.3674722131603967,92.315674963681,38.64556732026933,0.00121688,113.499,0.9973,0.0026,0.00016666666666666666,0.0,nan,nan,nan
nvt300_fieldZ_water_only,4000,30000,40.67888891142793,0.2180674333577804,93.07446465330865,38.5937835368439,0.000452627,113.257,0.9973666666666666,0.002533333333333333,0.00016666666666666666,0.0,nan,nan,nan
nvt300_fieldZ_water_only,5000,30000,40.62883973838933,0.06295517382042559,93.8454895295986,38.54270802862867,0.00313158,113.672,0.9974,0.0025,0.00016666666666666666,0.0,nan,nan,nan
nvt300_fieldZ_water_only,6000,30000,40.5771648520337,0.4860837223246629,94.58764186351195,38.49174358408474,0.000658132,114.108,0.9974333333333333,0.0024666666666666665,0.00016666666666666666,0.0,nan,nan,nan
nvt300_fieldZ_water_only,7000,30000,40.524146195398856,0.1711439299719683,95.17100464810697,38.44141664829634,0.00023814,114.515,0.9973666666666666,0.002533333333333333,0.00016666666666666666,0.0,nan,nan,nan
nvt300_fieldZ_water_only,8000,30000,40.46991103833593,0.0598717598118679,95.90321807807076,38.391842372048,0.00176577,114.895,0.9972666666666666,0.0026333333333333334,0.00016666666666666666,0.0,nan,nan,nan
nvt300_fieldZ_water_only,9000,30000,40.41479442055674,0.050958985558962965,96.48496235766484,38.342754543497165,0.000586405,115.284,0.9973666666666666,0.002533333333333333,0.00016666666666666666,0.0,nan,nan,nan
nvt300_fieldZ_water_only,10000,30000,40.358072611834224,0.19598462285087573,97.1468855715406,38.29360415309233,0.0023348,115.662,0.9974666666666666,0.0024333333333333334,0.00016666666666666666,0.0,nan,nan,nan
