run,timestep,n_water_oxygen,water_r_mean_A,water_r_min_A,water_r_max_A,water_abs_z_mean_A,water_abs_z_min_A,water_abs_z_max_A,fraction_inside_lumen_segment,fraction_radial_outside_lumen,fraction_axial_outside_segment,fraction_radial_outside_outer_radius,scaffold_r_min_A,scaffold_r_max_A,scaffold_r_mean_A
nvt300_water_only_contained,0,30000,41.79317478856423,0.1457809570597271,73.34019537429663,40.08439278006,0.0116595,114.499,0.9973666666666666,0.0026,0.00013333333333333334,0.0,nan,nan,nan
nvt300_water_only_contained,1000,30000,41.760935153641654,0.3262870145408793,73.8067569281431,40.0204457600217,0.000747461,114.167,0.9972666666666666,0.0026666666666666666,0.00016666666666666666,0.0,nan,nan,nan
nvt300_water_only_contained,2000,30000,41.72747592414012,0.31905564617163573,74.59167144527598,39.957925546908,0.00317038,113.915,0.9972,0.0027333333333333333,0.00016666666666666666,0.0,nan,nan,nan
nvt300_water_only_contained,3000,30000,41.692458781893265,0.3273898512858943,75.13005933799069,39.893480605432,0.00171377,113.608,0.9972,0.0027333333333333333,0.00016666666666666666,0.0,nan,nan,nan
nvt300_water_only_contained,4000,30000,41.65485997584841,0.48289452498449387,75.32438024079588,39.82846583676033,0.00970821,113.241,0.9971,0.0028333333333333335,0.00016666666666666666,0.0,nan,nan,nan
nvt300_water_only_contained,5000,30000,41.61382271764915,0.35999346195868615,75.74788054922725,39.76467357553433,0.00293375,112.889,0.9971,0.0028333333333333335,0.00016666666666666666,0.0,nan,nan,nan
nvt300_water_only_contained,6000,30000,41.571312371784,0.511705883854153,76.69528028692508,39.70051962786417,0.000500865,112.512,0.9969666666666667,0.0029666666666666665,0.00016666666666666666,0.0,nan,nan,nan
nvt300_water_only_contained,7000,30000,41.526932471892344,0.37235197263476394,77.69689673815807,39.63637750244167,0.00770425,112.186,0.9970333333333333,0.0029,0.00016666666666666666,0.0,nan,nan,nan
nvt300_water_only_contained,8000,30000,41.48024061358235,0.25288180114741354,78.65569058250014,39.57312804498406,0.000308532,111.935,0.9970333333333333,0.0029,0.00016666666666666666,0.0,nan,nan,nan
nvt300_water_only_contained,9000,30000,41.432103006161036,0.5221204254147218,79.5694986044904,39.50974566229923,0.000811807,111.625,0.9969,0.003,0.00016666666666666666,0.0,nan,nan,nan
nvt300_water_only_contained,10000,30000,41.38284602747373,0.4840363187117265,80.5395601777164,39.44603481245633,0.00373535,112.604,0.9969333333333333,0.0029666666666666665,0.00016666666666666666,0.0,nan,nan,nan
nvt300_water_only_contained,11000,30000,41.333057018000055,0.4727570985294668,81.52334386990023,39.38327909885767,0.000325725,113.746,0.9970333333333333,0.0028666666666666667,0.00016666666666666666,0.0,nan,nan,nan
nvt300_water_only_contained,12000,30000,41.28249992211382,0.5312696136322874,82.43344434809211,39.320979734841664,0.00235339,114.841,0.997,0.0029,0.00016666666666666666,0.0,nan,nan,nan
nvt300_water_only_contained,13000,30000,41.23130746475777,0.38198097987334395,83.35088278266764,39.258205355192665,0.00259704,116.097,0.9969333333333333,0.0029666666666666665,0.00013333333333333334,0.0,nan,nan,nan
nvt300_water_only_contained,14000,30000,41.180484491061776,0.417368268231738,84.33234290899311,39.195552886087,0.00481247,117.178,0.997,0.0029,0.00013333333333333334,0.0,nan,nan,nan
nvt300_water_only_contained,15000,30000,41.12931265961437,0.43861509992817166,85.27379903370085,39.131808074057965,0.000867979,118.314,0.9972333333333333,0.0026666666666666666,0.00013333333333333334,0.0,nan,nan,nan
nvt300_water_only_contained,16000,30000,41.07860065997779,0.25147531951117985,86.15547521103926,39.06882649534883,0.000577035,119.537,0.9971333333333333,0.002766666666666667,0.00013333333333333334,0.0,nan,nan,nan
nvt300_water_only_contained,17000,30000,41.02800686626115,0.25771127556092693,87.09056499770799,39.005353910321,0.00127684,119.462,0.9971666666666666,0.0027333333333333333,0.00016666666666666666,0.0,nan,nan,nan
nvt300_water_only_contained,18000,30000,40.977322453449524,0.38726898644819213,88.06053486216172,38.942120702371,0.00584586,118.365,0.9973,0.0026,0.00016666666666666666,0.0,nan,nan,nan
nvt300_water_only_contained,19000,30000,40.9266199269305,0.4694259777651957,88.9582501752929,38.878109811691665,0.0012646,117.342,0.9973333333333333,0.0025666666666666667,0.00016666666666666666,0.0,nan,nan,nan
nvt300_water_only_contained,20000,30000,40.87637251639246,0.5025145341430435,89.83603153946639,38.814851024835,0.00202251,116.354,0.9972333333333333,0.0026666666666666666,0.00016666666666666666,0.0,nan,nan,nan
