run,timestep,n_water_oxygen,water_r_mean_A,water_r_min_A,water_r_max_A,water_abs_z_mean_A,water_abs_z_min_A,water_abs_z_max_A,fraction_inside_lumen_segment,fraction_radial_outside_lumen,fraction_axial_outside_segment,fraction_radial_outside_outer_radius,scaffold_r_min_A,scaffold_r_max_A,scaffold_r_mean_A
nvt300_contained_carbon_like,0,30000,41.79317478856423,0.1457809570597271,73.34019537429663,40.08439278006,0.0116595,114.499,0.9973666666666666,0.0026,0.00013333333333333334,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_carbon_like,1000,30000,41.75528985795432,0.34147640334582413,73.81006763741651,40.019921969247136,0.00030824,114.169,0.9973,0.0026333333333333334,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_carbon_like,2000,30000,41.712247521493374,0.316300721745936,74.59965744505801,39.95706453193494,0.000292118,113.921,0.9971666666666666,0.002766666666666667,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_carbon_like,3000,30000,41.66664489529588,0.3937245663569902,75.21717573141125,39.892539403004996,0.00734865,113.622,0.9972,0.0027333333333333333,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_carbon_like,4000,30000,41.617761787538576,0.22744894726072046,76.3531484553846,39.82753024154434,0.00416579,113.264,0.9971666666666666,0.002766666666666667,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_carbon_like,5000,30000,41.566107692555036,0.21480164914860408,77.69460440886483,39.763599318171664,0.00535761,112.92,0.9972,0.0027333333333333333,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_carbon_like,6000,30000,41.51245520199044,0.22804183040111303,78.92727626803044,39.69852068542767,0.00250783,112.553,0.9972666666666666,0.0026666666666666666,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_carbon_like,7000,30000,41.457109061473,0.6152013652146751,80.22198915122961,39.63438896296367,0.00394727,112.225,0.9972,0.0027333333333333333,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_carbon_like,8000,30000,41.40084569661808,0.5163730819707781,81.61355585060609,39.5697666965693,1.24691e-05,111.978,0.9972333333333333,0.0027,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_carbon_like,9000,30000,41.34424328998581,0.4637367320732745,82.9789106827753,39.505612348044664,0.0023958,111.69,0.9973333333333333,0.0025666666666666667,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_carbon_like,10000,30000,41.28678780293151,0.6354098403219768,84.23151367659256,39.442458301437334,0.0018317,112.165,0.9974,0.0025,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
