run,timestep,n_water_oxygen,water_r_mean_A,water_r_min_A,water_r_max_A,water_abs_z_mean_A,water_abs_z_min_A,water_abs_z_max_A,fraction_inside_lumen_segment,fraction_radial_outside_lumen,fraction_axial_outside_segment,fraction_radial_outside_outer_radius,scaffold_r_min_A,scaffold_r_max_A,scaffold_r_mean_A
nvt300_contained_bn_neutralized_20k,0,30000,41.79317478856423,0.1457809570597271,73.34019537429663,40.08439278006,0.0116595,114.499,0.9973666666666666,0.0026,0.00013333333333333334,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_bn_neutralized_20k,1000,30000,41.75604423434025,0.3405974114772454,73.80860836365905,40.01985430359383,0.000309105,114.169,0.9972666666666666,0.0026666666666666666,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_bn_neutralized_20k,2000,30000,41.71394705785764,0.30332345881253564,74.60162601257429,39.956854576118396,0.000444942,113.92,0.9972,0.0027333333333333333,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_bn_neutralized_20k,3000,30000,41.66910595126568,0.3473835060361962,75.20339902876731,39.892340641719336,0.00388657,113.62,0.9971666666666666,0.002766666666666667,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_bn_neutralized_20k,4000,30000,41.6209751181495,0.24329907335006437,75.82601815867692,39.827197826798,0.00187206,113.262,0.9972333333333333,0.0027,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_bn_neutralized_20k,5000,30000,41.571233700356814,0.12028826468529671,77.01663547137073,39.76287259662167,0.00163717,112.917,0.9973666666666666,0.0025666666666666667,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_bn_neutralized_20k,6000,30000,41.51939750600131,0.11022069256691322,78.2275996219365,39.69848549931346,0.000178764,112.551,0.9973333333333333,0.0026,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_bn_neutralized_20k,7000,30000,41.46485795042306,0.34484931657899515,79.50332163029417,39.63483395103933,0.00282529,112.222,0.9974,0.002533333333333333,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_bn_neutralized_20k,8000,30000,41.407861357190896,0.6962573526139598,80.72040058002686,39.572635161918335,0.00577398,111.974,0.9973666666666666,0.0025666666666666667,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_bn_neutralized_20k,9000,30000,41.34937059944073,0.1895652979345112,81.90428057800155,39.509703389068584,8.07742e-06,111.684,0.9974333333333333,0.0024666666666666665,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_bn_neutralized_20k,10000,30000,41.29115384172134,0.08202928020225461,83.1598283967686,39.446677161856,0.00105371,112.28,0.9975333333333334,0.0023666666666666667,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_bn_neutralized_20k,11000,30000,41.23218737707814,0.3370692121582895,84.41123635778592,39.383679230475664,0.00191824,113.317,0.9975666666666667,0.0023333333333333335,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_bn_neutralized_20k,12000,30000,41.17289462156525,0.28736309066134436,85.58422438744186,39.32121643159533,0.00234644,114.438,0.9975333333333334,0.0023666666666666667,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_bn_neutralized_20k,13000,30000,41.114887385888196,0.436809855636294,86.79355052283552,39.25920165854167,0.00181305,115.609,0.9976,0.0023,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_bn_neutralized_20k,14000,30000,41.05668685643746,0.5852200220028361,88.06014631614008,39.197377372238,0.00322722,116.611,0.9975666666666667,0.0023333333333333335,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_bn_neutralized_20k,15000,30000,40.99917095531212,0.46842340959648887,89.2580839243707,39.135603991585334,0.00434748,117.787,0.9976333333333334,0.002266666666666667,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_bn_neutralized_20k,16000,30000,40.943004957602334,0.10202729268190938,90.42151505477001,39.075593527786666,0.00706901,118.85,0.9976666666666667,0.0022333333333333333,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_bn_neutralized_20k,17000,30000,40.88648650684207,0.4487110808315302,91.66209131063943,39.01593644731313,0.000123674,119.899,0.9976,0.0023,0.0002,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_bn_neutralized_20k,18000,30000,40.82987905520479,0.451932749822847,92.89902263990724,38.956754799033334,0.0019398,119.184,0.9976333333333334,0.002266666666666667,0.0002,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_bn_neutralized_20k,19000,30000,40.77459939931049,0.562270188442576,94.0589705451851,38.897437434497,0.00270912,118.447,0.9976666666666667,0.0022333333333333333,0.0002,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_contained_bn_neutralized_20k,20000,30000,40.720540883830694,0.48840960921034304,95.24639215172405,38.837961961659,0.00347718,117.491,0.9976666666666667,0.0022333333333333333,0.0002,0.0,69.99996272434721,120.00007182431185,94.99996372291416
