run,timestep,n_water_oxygen,water_r_mean_A,water_r_min_A,water_r_max_A,water_abs_z_mean_A,water_abs_z_min_A,water_abs_z_max_A,fraction_inside_lumen_segment,fraction_radial_outside_lumen,fraction_axial_outside_segment,fraction_radial_outside_outer_radius,scaffold_r_min_A,scaffold_r_max_A,scaffold_r_mean_A
nvt300_hold_extended_contained,0,30000,42.430754410874634,0.19416417260115212,73.0579842002912,41.440532675909395,0.000837062,117.752,0.9983,0.0016333333333333334,0.00013333333333333334,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_hold_extended_contained,1000,30000,42.39963337086391,0.21821562597598276,73.06760924636853,41.36804034050717,0.000803315,118.535,0.9981333333333333,0.0018,0.00013333333333333334,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_hold_extended_contained,2000,30000,42.36866517530839,0.26505216242279556,72.92936994942436,41.29713210331043,0.000491713,119.261,0.9981,0.0018333333333333333,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_hold_extended_contained,3000,30000,42.339128169175105,0.2224333299710275,73.14620201486882,41.226714959842,0.00259078,119.621,0.998,0.0019333333333333333,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_hold_extended_contained,4000,30000,42.30937104921712,0.23748412785910558,73.22176879070868,41.1569228322032,0.000123936,119.793,0.998,0.0019333333333333333,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_hold_extended_contained,5000,30000,42.280295886795074,0.16176429323444652,72.9795345145473,41.088858492285,0.00270042,119.655,0.9980333333333333,0.0019,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_hold_extended_contained,6000,30000,42.25294301880559,0.2807442189965806,72.83648124024114,41.021106759912335,0.00317653,119.289,0.9978666666666667,0.002033333333333333,0.00016666666666666666,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_hold_extended_contained,7000,30000,42.22340588963384,0.23286748973879973,72.76971729675745,40.95263774813134,0.00775417,118.884,0.9976333333333334,0.002266666666666667,0.00013333333333333334,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_hold_extended_contained,8000,30000,42.19270202842381,0.252731549253353,72.98845431361046,40.884463161355164,0.000542325,118.544,0.9978,0.0021,0.00013333333333333334,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_hold_extended_contained,9000,30000,42.160086256049304,0.03759634141735071,73.05917586183135,40.81673638064929,8.07127e-05,118.27,0.9978666666666667,0.002033333333333333,0.00013333333333333334,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_hold_extended_contained,10000,30000,42.128018731904945,0.21603127330368166,73.20196280387569,40.749988380812,0.00172841,117.943,0.9976666666666667,0.0022333333333333333,0.00013333333333333334,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_hold_extended_contained,11000,30000,42.09665430967316,0.036496195453292114,72.94008090624797,40.68332091782367,0.0038798,117.62,0.9976333333333334,0.002266666666666667,0.00013333333333333334,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_hold_extended_contained,12000,30000,42.06542970478733,0.20646942958229916,73.12915773622721,40.61647633460933,0.00454468,117.237,0.9974333333333333,0.0024666666666666665,0.00013333333333333334,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_hold_extended_contained,13000,30000,42.03323527640657,0.39574260668394046,72.96619366508027,40.549015457065,0.00174813,116.829,0.9972666666666666,0.0026333333333333334,0.00013333333333333334,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_hold_extended_contained,14000,30000,41.99963533368689,0.5181575267242579,72.63693700273987,40.48158318616467,0.00292284,116.513,0.9973666666666666,0.002533333333333333,0.00013333333333333334,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_hold_extended_contained,15000,30000,41.96492741154685,0.5312255885322543,72.8874508183679,40.41450676309289,2.44567e-05,116.198,0.9971333333333333,0.0028,0.00013333333333333334,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_hold_extended_contained,16000,30000,41.930631576651066,0.3756408699875454,72.99848573182872,40.34826979142033,0.00378541,115.907,0.9971333333333333,0.0028,0.0001,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_hold_extended_contained,17000,30000,41.89623468173576,0.32505340785784725,72.80120870734221,40.28153691062363,0.000195337,115.604,0.9971333333333333,0.0028,0.0001,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_hold_extended_contained,18000,30000,41.86185136387377,0.09361486699499177,72.91340376885447,40.2147621137014,0.000892607,115.21,0.9971333333333333,0.0028,0.0001,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_hold_extended_contained,19000,30000,41.82710405609039,0.32125585685711633,73.29020113289361,40.14975590278063,0.000336379,114.836,0.9972666666666666,0.0027,0.0001,0.0,69.99996272434721,120.00007182431185,94.99996372291416
nvt300_hold_extended_contained,20000,30000,41.79317478856423,0.1457809570597271,73.34019537429663,40.08439278006,0.0116595,114.499,0.9973666666666666,0.0026,0.00013333333333333334,0.0,69.99996272434721,120.00007182431185,94.99996372291416
