atom,name,r_ref_nm,r_cur_nm,delta_r_nm
1268,N1268,1.20630,1.18957,-0.01673
1269,B1269,1.20495,1.16896,-0.03599
1270,N1270,1.20594,1.17350,-0.03245
1271,B1271,1.20589,1.14131,-0.06458
1272,N1272,1.20589,1.14329,-0.06261
1273,B1273,1.20520,1.11608,-0.08912
1274,N1274,1.20615,1.11929,-0.08686
1275,B1275,1.20463,1.10454,-0.10009
1276,N1276,1.20549,1.10501,-0.10048
1277,B1277,1.20481,1.08730,-0.11751
1278,N1278,1.20622,1.08321,-0.12301
1279,B1279,1.20450,1.07097,-0.13353
1280,N1280,1.20531,1.06818,-0.13713
1281,B1281,1.20546,1.06157,-0.14390
1282,N1282,1.20546,1.05961,-0.14586
1283,B1283,1.20455,1.06495,-0.13960
1284,N1284,1.20455,1.06447,-0.14008
1285,B1285,1.20527,1.06396,-0.14130
1286,N1286,1.20527,1.06489,-0.14037
1287,B1287,1.20465,1.09103,-0.11362
1288,N1288,1.20465,1.08470,-0.11995
1289,B1289,1.20525,1.13395,-0.07130
1290,N1290,1.20566,1.12812,-0.07754
1291,B1291,1.20500,1.18622,-0.01878
1292,N1292,1.20559,1.18757,-0.01802
1293,B1293,1.20516,1.24402,0.03887
1294,N1294,1.20657,1.24821,0.04164
1295,B1295,1.20503,1.27952,0.07449
1296,N1296,1.20590,1.27068,0.06478
1297,B1297,1.20469,1.30152,0.09682
1298,N1298,1.20565,1.29207,0.08643
1299,B1299,1.20437,1.32041,0.11604
1300,N1300,1.20537,1.32241,0.11704
1301,B1301,1.20442,1.34435,0.13993
1302,N1302,1.20542,1.34992,0.14451
1303,B1303,1.20484,1.34938,0.14454
1304,N1304,1.20579,1.35100,0.14521
1305,B1305,1.20527,1.34421,0.13894
1306,N1306,1.20527,1.35055,0.14528
1307,B1307,1.20473,1.33584,0.13111
1308,N1308,1.20614,1.34214,0.13600
1309,B1309,1.20516,1.33532,0.13016
1310,N1310,1.20597,1.33191,0.12594
1311,B1311,1.20476,1.32429,0.11953
1312,N1312,1.20608,1.32116,0.11508
1313,B1313,1.20609,1.29448,0.08840
1314,N1314,1.20609,1.29475,0.08866
1315,B1315,1.20574,1.28124,0.07551
1316,N1316,1.20574,1.27618,0.07045
1317,B1317,1.20501,1.27658,0.07157
1318,N1318,1.20620,1.27882,0.07262
1319,B1319,1.20457,1.26253,0.05796
1320,N1320,1.20589,1.26664,0.06075
1321,B1321,1.20516,1.24334,0.03818
1322,N1322,1.20583,1.24217,0.03635
1323,B1323,1.20500,1.22812,0.02312
1324,N1324,1.20559,1.22523,0.01964
1325,B1325,1.20525,1.20386,-0.00138
1326,N1326,1.20566,1.21005,0.00439
1327,B1327,1.20465,1.18760,-0.01704
1328,N1328,1.20465,1.19077,-0.01388
1329,B1329,1.20527,1.15957,-0.04570
1330,N1330,1.20527,1.16276,-0.04250
1331,B1331,1.20455,1.12781,-0.07674
1332,N1332,1.20455,1.12957,-0.07498
1333,B1333,1.20546,1.11207,-0.09340
1334,N1334,1.20546,1.10918,-0.09628
1335,B1335,1.20450,1.08969,-0.11481
1336,N1336,1.20590,1.08801,-0.11789
1337,B1337,1.20481,1.07677,-0.12803
1338,N1338,1.20622,1.08595,-0.12027
1339,B1339,1.20463,1.06663,-0.13800
1340,N1340,1.20549,1.06627,-0.13922
1341,B1341,1.20520,1.05959,-0.14561
1342,N1342,1.20615,1.06112,-0.14503
1343,B1343,1.20589,1.06170,-0.14419
1344,N1344,1.20589,1.05881,-0.14708
1345,B1345,1.20594,1.07265,-0.13329
1346,N1346,1.20594,1.07891,-0.12703
1347,B1347,1.20534,1.10057,-0.10478
1348,N1348,1.20630,1.09610,-0.11019
1349,B1349,1.20486,1.14986,-0.05500
1350,N1350,1.20573,1.15447,-0.05126
1351,B1351,1.20445,1.21793,0.01348
1352,N1352,1.20512,1.22557,0.02044
1353,B1353,1.20547,1.26147,0.05600
1354,N1354,1.20628,1.26084,0.05456
