interface_half_width_nm,mouth_half_width_nm,region,display_name,cell_count,volume_nm^3,volume_fraction,average_water_count,water_count_fraction,volume_weighted_density_nm^-3
0.2,0.4,interior_core,Interior core,2080,16.36243042258561,0.08916320422784109,505.4972843520962,0.09699151439386468,30.893777470512042
0.2,0.4,interfacial_shell,Interfacial shell,832,15.708098192648752,0.08559757511627665,353.30222801670146,0.06778932191097192,22.491725203375907
0.2,0.4,mouth_zones,Mouth zones,896,9.867854958533645,0.05377254749049774,86.79597725898782,0.01665384471537717,8.795830261360635
0.2,0.4,exterior,Exterior,4832,141.572634948786,0.7714666731653846,4266.1726481431615,0.8185653189797861,30.13416151847744
0.2,0.5,interior_core,Interior core,2000,15.733106175563087,0.08573385021907796,492.0794423347624,0.09441698658245046,31.27668731423602
0.2,0.5,interfacial_shell,Interfacial shell,800,15.103940569854569,0.08230536068872754,353.30222801670146,0.06778932191097192,23.391394211510946
0.2,0.5,mouth_zones,Mouth zones,1120,12.334757162528756,0.06721534903917925,108.79547999673585,0.020874965485948735,8.820236877239958
0.2,0.5,exterior,Exterior,4720,140.33921461460756,0.764745440053015,4257.590987422748,0.8169187260206289,30.33785673601444
0.2,0.6,interior_core,Interior core,1920,15.103781928540563,0.08230449621031485,477.8753941955581,0.09169160667994403,31.639452718299005
0.2,0.6,interfacial_shell,Interfacial shell,768,14.499782947060385,0.07901314626117845,353.30222801670146,0.06778932191097192,24.366035636990567
0.2,0.6,mouth_zones,Mouth zones,1344,14.801782437800469,0.08065882123574662,131.13428128217382,0.025161188643794775,8.859357434364522
0.2,0.6,exterior,Exterior,4608,139.1056712091526,0.7580235362927602,4249.456234276515,0.8153578827652893,30.548403938810207
0.25,0.4,interior_core,Interior core,1976,14.767087236645413,0.08046975792263121,468.01464014192806,0.08979958965367481,31.6930910369732
0.25,0.4,interfacial_shell,Interfacial shell,1040,19.63491323355602,0.10699582723498882,448.0292552675483,0.08596492465207184,22.817990074021175
0.25,0.4,mouth_zones,Mouth zones,928,10.585230913908127,0.0576817185100369,86.85069776665945,0.0166643441286713,8.204894014408769
0.25,0.4,exterior,Exterior,4696,138.52378713844445,0.7548526963323431,4208.873544594811,0.807571141565582,30.383760302397366
0.25,0.5,interior_core,Interior core,1900,14.19912234292828,0.07737476723329924,454.5967981245943,0.0872250618422606,32.015837820497495
0.25,0.5,interfacial_shell,Interfacial shell,1000,18.879724263034632,0.10288060311056615,448.01433077482824,0.08596206103797284,23.729919173237793
0.25,0.5,mouth_zones,Mouth zones,1160,13.231472633212594,0.07210178843613366,108.87009950460073,0.020889282989316565,8.228116591597193
0.25,0.5,exterior,Exterior,4580,137.20069928337847,0.7476428412200008,4200.286909366925,0.8059235941304501,30.61418003921048
0.25,0.6,interior_core,Interior core,1824,13.631157449211152,0.07427977654396728,440.3927499853899,0.08449968193975416,32.30780303332758
0.25,0.6,interfacial_shell,Interfacial shell,960,18.12453529251325,0.09876537898614353,448.0143307748282,0.08596206103797283,24.718665805456023
0.25,0.6,mouth_zones,Mouth zones,1392,15.877846370862194,0.08652257776505537,131.22879979023196,0.025179324237236306,8.264899201383695
0.25,0.6,exterior,Exterior,4464,135.8774794099674,0.7404322667048339,4192.132257220497,0.8043589327850366,30.852296314476526
0.3,0.4,interior_core,Interior core,1872,13.253586319452491,0.07222229175205407,426.2790066118986,0.08179162912535407,32.16329500085892
0.3,0.4,interfacial_shell,Interfacial shell,1248,23.561685718824272,0.12839384745678623,558.4212480177093,0.10714621856845379,23.700394559272414
0.3,0.4,mouth_zones,Mouth zones,960,11.327776011777459,0.06172804283348929,93.74071794537079,0.01798635615924835,8.275297626639935
0.3,0.4,exterior,Exterior,4560,135.3679704724998,0.7376558179576705,4133.327165195969,0.7930757961469439,30.534011485646534
0.3,0.5,interior_core,Interior core,1800,12.743832999473549,0.06944451130005198,413.18951313234487,0.07928010268489502,32.422703055620225
0.3,0.5,interfacial_shell,Interfacial shell,1200,22.655467037331032,0.12345562255460216,557.0780514116843,0.10688849478441004,24.589122373586342
0.3,0.5,mouth_zones,Mouth zones,1200,14.159649375060997,0.07715966860769582,117.56591068521357,0.022557778392554514,8.302882901343532
0.3,0.5,exterior,Exterior,4440,133.95206911068843,0.72994019753765,4123.934662541705,0.7912736241381404,30.786643983333917
0.3,0.6,interior_core,Interior core,1728,12.23407967949461,0.06666673084804992,399.42327524785816,0.07663872695201861,32.64841211695936
0.3,0.6,interfacial_shell,Interfacial shell,1152,21.749248355837793,0.11851739765241809,555.6701599849466,0.10661835778108972,25.548936261781076
0.3,0.6,mouth_zones,Mouth zones,1440,16.991664017666196,0.09259206425023397,141.85984136521236,0.027219138997592714,8.348790396144897
0.3,0.6,exterior,Exterior,4320,132.5360264695554,0.722223807249298,4114.814861172931,0.789523776269299,31.04676494974095
