region,display_name,cell_count,volume_nm^3,volume_fraction,average_water_count,water_count_fraction,volume_weighted_density_nm^-3,interface_half_width_nm,mouth_half_width_nm,tube_half_length_nm,wall_radius_nm
interior_core,Interior core,1900,14.19912234292828,0.07737476723329924,454.5967981245943,0.0872250618422606,32.015837820497495,0.25,0.5,3.0090000000000003,1.1991257007481553
interfacial_shell,Interfacial shell,1000,18.879724263034632,0.10288060311056615,448.01433077482824,0.08596206103797284,23.729919173237793,0.25,0.5,3.0090000000000003,1.1991257007481553
mouth_zones,Mouth zones,1160,13.231472633212594,0.07210178843613366,108.87009950460073,0.020889282989316565,8.228116591597193,0.25,0.5,3.0090000000000003,1.1991257007481553
exterior,Exterior,4580,137.20069928337847,0.7476428412200008,4200.286909366925,0.8059235941304501,30.61418003921048,0.25,0.5,3.0090000000000003,1.1991257007481553
