LAMMPS (10 Dec 2025)
Reading data file ...
  orthogonal box = (-140 -140 -120) to (140 140 120)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  107280 atoms
  reading velocities ...
  107280 velocities
  scanning bonds ...
  2 = max bonds/atom
  scanning angles ...
  1 = max angles/atom
  orthogonal box = (-140 -140 -120) to (140 140 120)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  60000 bonds
  reading angles ...
  30000 angles
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     2 = max # of 1-2 neighbors
     1 = max # of 1-3 neighbors
     1 = max # of 1-4 neighbors
     2 = max # of special neighbors
  special bonds CPU = 0.039 seconds
  read_data CPU = 1.461 seconds
17280 atoms in group scaffold
90000 atoms in group water
WARNING: Temperature for fix modify is not for group all (../fix_nh.cpp:1403)
Generated 0 of 6 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 47 47 40
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/coul/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 0.25
Per MPI rank memory allocation (min/avg/max) = 96.87 | 96.87 | 96.87 Mbytes
   Step        Atoms         Temp         c_twater        PotEng         KinEng         TotEng         Press      c_msdwater[4] 
         0      107280   251.6774       300           -260236.68      80480.977     -179755.7      -164.51243      0            
       100      107280   251.80596      300.15324     -259596.08      80522.088     -179073.99     -166.04046      0.12532646   
       200      107280   251.46036      299.74129     -262766.47      80411.573     -182354.89     -161.59836      0.2500447    
       300      107280   251.9883       300.37059     -265195.17      80580.394     -184614.77     -174.75205      0.35574423   
       400      107280   252.47756      300.95379     -257981.61      80736.851     -177244.76     -154.32764      0.46497163   
       500      107280   252.23156      300.66055     -261186.23      80658.183     -180528.04     -170.86088      0.57001395   
       600      107280   251.35197      299.61209     -263408.7       80376.912     -183031.79     -171.11517      0.66940938   
       700      107280   251.61378      299.92416     -259727.33      80460.633     -179266.7      -168.32923      0.77362107   
       800      107280   252.43327      300.901       -262552.05      80722.688     -181829.36     -162.27402      0.87365249   
       900      107280   251.55631      299.85565     -258766.07      80442.253     -178323.81     -163.1399       0.97001687   
      1000      107280   251.10172      299.31378     -257412.21      80296.885     -177115.32     -163.62073      1.0628727    
      1100      107280   251.42414      299.69811     -265422.94      80399.99      -185022.95     -166.09477      1.1522638    
      1200      107280   250.86664      299.03357     -259118.79      80221.714     -178897.07     -179.25193      1.2423446    
      1300      107280   251.89756      300.26243     -263027.77      80551.38      -182476.39     -155.56639      1.3312701    
      1400      107280   253.1565       301.76309     -252858.13      80953.961     -171904.17     -163.72607      1.4203784    
      1500      107280   252.44584      300.91598     -258528.79      80726.708     -177802.08     -150.04711      1.5079772    
      1600      107280   251.25659      299.49839     -258122.64      80346.411     -177776.23     -175.46018      1.6004465    
      1700      107280   251.55743      299.85699     -255240.83      80442.613     -174798.22     -153.93506      1.6859804    
      1800      107280   251.22561      299.46146     -261320.16      80336.504     -180983.66     -180.01021      1.774355     
      1900      107280   252.30594      300.74922     -263403.62      80681.97      -182721.65     -163.14689      1.8638624    
      2000      107280   252.86493      301.41553     -267861.78      80860.722     -187001.06     -185.36582      1.9527779    
      2100      107280   251.73777      300.07196     -264361.16      80500.281     -183860.88     -163.71005      2.0387872    
      2200      107280   252.07893      300.47862     -262764.81      80609.376     -182155.43     -176.48396      2.1273497    
      2300      107280   251.2109       299.44393     -260490.35      80331.801     -180158.55     -161.60713      2.2167067    
