frame,time_ps,cluster,tracked_root,tracked_energy_eV,tracked_fosc,tracked_HOMO_LUMO_weight,tracked_dominant_transition,tracked_dominant_weight,alternate_root,alternate_energy_eV,alternate_fosc,alternate_HOMO_LUMO_weight,state_separation_eV,state_separation_meV,HOMO_LUMO_weight_contrast,S1_energy_eV,S1_fosc,S1_HOMO_LUMO_weight,S1_dominant_transition,S1_dominant_weight,S2_energy_eV,S2_fosc,S2_HOMO_LUMO_weight,S2_dominant_transition,S2_dominant_weight
5,25.0,PYR4,2,4.089,0.501976497,0.837801,52a->53a,0.837801,1,4.034,0.00846338,0.01206,0.055000000000000604,55.000000000000604,0.8257410000000001,4.034,0.00846338,0.01206,52a->54a,0.524503,4.089,0.501976497,0.837801,52a->53a,0.837801
5,25.0,PYR5,1,3.797,0.647307662,0.861442,52a->53a,0.861442,2,3.871,0.020591079,0.018175,0.07399999999999984,73.99999999999984,0.843267,3.797,0.647307662,0.861442,52a->53a,0.861442,3.871,0.020591079,0.018175,52a->54a,0.581589
6,30.0,PYR2,2,4.081,0.486883676,0.822484,52a->53a,0.822484,1,4.015,0.018233407,0.024315,0.06600000000000072,66.00000000000072,0.798169,4.015,0.018233407,0.024315,52a->54a,0.540402,4.081,0.486883676,0.822484,52a->53a,0.822484
6,30.0,PYR3,2,4.096,0.492967153,0.828688,52a->53a,0.828688,1,4.019,0.011422138,0.018314,0.07699999999999996,76.99999999999996,0.8103739999999999,4.019,0.011422138,0.018314,52a->54a,0.506783,4.096,0.492967153,0.828688,52a->53a,0.828688
6,30.0,PYR4,2,4.092,0.510757213,0.842006,52a->53a,0.842006,1,4.029,0.010112754,0.0,0.06299999999999972,62.99999999999972,0.842006,4.029,0.010112754,0.0,52a->54a,0.555549,4.092,0.510757213,0.842006,52a->53a,0.842006
6,30.0,PYR5,1,3.776,0.659519925,0.876376,52a->53a,0.876376,2,3.845,0.003925759,0.0,0.0690000000000004,69.0000000000004,0.876376,3.776,0.659519925,0.876376,52a->53a,0.876376,3.845,0.003925759,0.0,52a->54a,0.57669
7,35.0,PYR2,2,4.103,0.490046455,0.836925,52a->53a,0.836925,1,4.011,0.009094124,0.0,0.09199999999999964,91.99999999999963,0.836925,4.011,0.009094124,0.0,52a->54a,0.555017,4.103,0.490046455,0.836925,52a->53a,0.836925
7,35.0,PYR3,2,4.07,0.490450249,0.830727,52a->53a,0.830727,1,3.969,0.012775698,0.013482,0.10100000000000042,101.00000000000043,0.817245,3.969,0.012775698,0.013482,52a->54a,0.558059,4.07,0.490450249,0.830727,52a->53a,0.830727
7,35.0,PYR4,2,4.093,0.512697666,0.843484,52a->53a,0.843484,1,4.02,0.007441762,0.0,0.0730000000000004,73.0000000000004,0.843484,4.02,0.007441762,0.0,52a->54a,0.550259,4.093,0.512697666,0.843484,52a->53a,0.843484
7,35.0,PYR5,1,3.79,0.659436962,0.875279,52a->53a,0.875279,2,3.859,0.011305277,0.0,0.06899999999999995,68.99999999999994,0.875279,3.79,0.659436962,0.875279,52a->53a,0.875279,3.859,0.011305277,0.0,52a->54a,0.594827
8,40.0,PYR2,2,4.079,0.501966286,0.843392,52a->53a,0.843392,1,3.994,0.005736425,0.0,0.08499999999999952,84.99999999999952,0.843392,3.994,0.005736425,0.0,52a->54a,0.552873,4.079,0.501966286,0.843392,52a->53a,0.843392
8,40.0,PYR3,2,4.073,0.491495921,0.819809,52a->53a,0.819809,1,4.007,0.017981471,0.028002,0.06600000000000072,66.00000000000072,0.791807,4.007,0.017981471,0.028002,52a->54a,0.50275,4.073,0.491495921,0.819809,52a->53a,0.819809
8,40.0,PYR4,2,4.092,0.503082331,0.827921,52a->53a,0.827921,1,4.02,0.016727833,0.022446,0.07200000000000006,72.00000000000006,0.805475,4.02,0.016727833,0.022446,52a->54a,0.537019,4.092,0.503082331,0.827921,52a->53a,0.827921
8,40.0,PYR5,1,3.793,0.655883767,0.864482,52a->53a,0.864482,2,3.871,0.024370445,0.017063,0.07799999999999985,77.99999999999984,0.8474189999999999,3.793,0.655883767,0.864482,52a->53a,0.864482,3.871,0.024370445,0.017063,52a->54a,0.600408
9,45.0,PYR2,2,4.094,0.503201742,0.841025,52a->53a,0.841025,1,4.017,0.008133955,0.0,0.07699999999999996,76.99999999999996,0.841025,4.017,0.008133955,0.0,52a->54a,0.547814,4.094,0.503201742,0.841025,52a->53a,0.841025
9,45.0,PYR3,2,4.075,0.514855013,0.848329,52a->53a,0.848329,1,4.002,0.004027262,0.0,0.0730000000000004,73.0000000000004,0.848329,4.002,0.004027262,0.0,52a->54a,0.549672,4.075,0.514855013,0.848329,52a->53a,0.848329
9,45.0,PYR4,2,4.08,0.510873621,0.824401,52a->53a,0.824401,1,4.019,0.025502917,0.029791,0.06099999999999994,60.99999999999994,0.79461,4.019,0.025502917,0.029791,52a->54a,0.560885,4.08,0.510873621,0.824401,52a->53a,0.824401
9,45.0,PYR5,1,3.75,0.62317919,0.866988,52a->53a,0.866988,2,3.84,0.01299225,0.0,0.08999999999999986,89.99999999999986,0.866988,3.75,0.62317919,0.866988,52a->53a,0.866988,3.84,0.01299225,0.0,52a->54a,0.618652
10,50.0,PYR2,2,4.079,0.503064953,0.835084,52a->53a,0.835084,1,3.998,0.008701298,0.012603,0.08099999999999952,80.99999999999952,0.822481,3.998,0.008701298,0.012603,52a->54a,0.524138,4.079,0.503064953,0.835084,52a->53a,0.835084
10,50.0,PYR3,2,4.065,0.507950168,0.844755,52a->53a,0.844755,1,3.996,0.004807113,0.0,0.0690000000000004,69.0000000000004,0.844755,3.996,0.004807113,0.0,52a->54a,0.54579,4.065,0.507950168,0.844755,52a->53a,0.844755
10,50.0,PYR4,2,4.099,0.501788253,0.833706,52a->53a,0.833706,1,4.02,0.013226282,0.01524,0.07900000000000063,79.00000000000063,0.8184659999999999,4.02,0.013226282,0.01524,52a->54a,0.544889,4.099,0.501788253,0.833706,52a->53a,0.833706
10,50.0,PYR5,1,3.791,0.663968719,0.879112,52a->53a,0.879112,2,3.859,0.010302342,0.0,0.06800000000000006,68.00000000000006,0.879112,3.791,0.663968719,0.879112,52a->53a,0.879112,3.859,0.010302342,0.0,52a->54a,0.601675
11,55.0,PYR2,2,4.098,0.495368741,0.825597,52a->53a,0.825597,1,4.008,0.014138215,0.021897,0.08999999999999986,89.99999999999986,0.8037000000000001,4.008,0.014138215,0.021897,52a->54a,0.521798,4.098,0.495368741,0.825597,52a->53a,0.825597
11,55.0,PYR3,2,4.071,0.504426624,0.843361,52a->53a,0.843361,1,3.979,0.007325384,0.0,0.09199999999999964,91.99999999999963,0.843361,3.979,0.007325384,0.0,52a->54a,0.560463,4.071,0.504426624,0.843361,52a->53a,0.843361
11,55.0,PYR4,2,4.09,0.518575837,0.850177,52a->53a,0.850177,1,4.016,0.004866256,0.0,0.07399999999999984,73.99999999999984,0.850177,4.016,0.004866256,0.0,52a->54a,0.555514,4.09,0.518575837,0.850177,52a->53a,0.850177
11,55.0,PYR5,1,3.787,0.659752246,0.876362,52a->53a,0.876362,2,3.854,0.009241939,0.0,0.06700000000000017,67.00000000000017,0.876362,3.787,0.659752246,0.876362,52a->53a,0.876362,3.854,0.009241939,0.0,52a->54a,0.589073
12,60.0,PYR2,2,4.079,0.505777416,0.845106,52a->53a,0.845106,1,3.992,0.003766033,0.0,0.08699999999999974,86.99999999999974,0.845106,3.992,0.003766033,0.0,52a->54a,0.543933,4.079,0.505777416,0.845106,52a->53a,0.845106
12,60.0,PYR3,2,4.086,0.511610394,0.848962,52a->53a,0.848962,1,4.012,0.001832472,0.0,0.07400000000000073,74.00000000000074,0.848962,4.012,0.001832472,0.0,52a->54a,0.536831,4.086,0.511610394,0.848962,52a->53a,0.848962
12,60.0,PYR4,2,4.104,0.513306446,0.839986,52a->53a,0.839986,1,4.035,0.008868421,0.011841,0.06899999999999995,68.99999999999994,0.828145,4.035,0.008868421,0.011841,52a->54a,0.533416,4.104,0.513306446,0.839986,52a->53a,0.839986
12,60.0,PYR5,1,3.797,0.644718639,0.866772,52a->53a,0.866772,2,3.87,0.014434251,0.010909,0.07299999999999995,72.99999999999996,0.855863,3.797,0.644718639,0.866772,52a->53a,0.866772,3.87,0.014434251,0.010909,52a->54a,0.577339
13,65.0,PYR2,2,4.103,0.505300314,0.84713,52a->53a,0.84713,1,4.019,0.002870416,0.0,0.08399999999999963,83.99999999999963,0.84713,4.019,0.002870416,0.0,52a->54a,0.54406,4.103,0.505300314,0.84713,52a->53a,0.84713
13,65.0,PYR3,2,4.074,0.499481109,0.820146,52a->53a,0.820146,1,4.007,0.020813077,0.030403,0.06700000000000017,67.00000000000017,0.7897430000000001,4.007,0.020813077,0.030403,52a->54a,0.523999,4.074,0.499481109,0.820146,52a->53a,0.820146
13,65.0,PYR4,2,4.102,0.510445336,0.849027,52a->53a,0.849027,1,4.031,0.001159019,0.0,0.07100000000000062,71.00000000000063,0.849027,4.031,0.001159019,0.0,52a->54a,0.525288,4.102,0.510445336,0.849027,52a->53a,0.849027
13,65.0,PYR5,1,3.783,0.661990456,0.878858,52a->53a,0.878858,2,3.836,0.010824666,0.0,0.052999999999999936,52.999999999999936,0.878858,3.783,0.661990456,0.878858,52a->53a,0.878858,3.836,0.010824666,0.0,52a->54a,0.608701
14,70.0,PYR2,2,4.092,0.504494792,0.846654,52a->53a,0.846654,1,4.007,0.001843934,0.0,0.08499999999999996,84.99999999999997,0.846654,4.007,0.001843934,0.0,52a->54a,0.537895,4.092,0.504494792,0.846654,52a->53a,0.846654
14,70.0,PYR3,2,4.096,0.500472478,0.833415,52a->53a,0.833415,1,4.014,0.010112929,0.015006,0.08199999999999985,81.99999999999986,0.818409,4.014,0.010112929,0.015006,52a->54a,0.526046,4.096,0.500472478,0.833415,52a->53a,0.833415
14,70.0,PYR4,2,4.069,0.50755834,0.847209,52a->53a,0.847209,1,3.978,0.005349326,0.0,0.09099999999999975,90.99999999999974,0.847209,3.978,0.005349326,0.0,52a->54a,0.567297,4.069,0.50755834,0.847209,52a->53a,0.847209
14,70.0,PYR5,1,3.785,0.634868449,0.840078,52a->53a,0.840078,2,3.843,0.037666572,0.038422,0.05799999999999983,57.99999999999983,0.801656,3.785,0.634868449,0.840078,52a->53a,0.840078,3.843,0.037666572,0.038422,52a->54a,0.572088
15,75.0,PYR2,2,4.099,0.488877754,0.828056,52a->53a,0.828056,1,4.009,0.00869891,0.015326,0.08999999999999986,89.99999999999986,0.8127300000000001,4.009,0.00869891,0.015326,52a->54a,0.51594,4.099,0.488877754,0.828056,52a->53a,0.828056
15,75.0,PYR3,2,4.087,0.510482168,0.837737,52a->53a,0.837737,1,4.007,0.013687733,0.013053,0.08000000000000007,80.00000000000007,0.824684,4.007,0.013687733,0.013053,52a->54a,0.559948,4.087,0.510482168,0.837737,52a->53a,0.837737
15,75.0,PYR4,2,4.095,0.498507322,0.823216,52a->53a,0.823216,1,4.026,0.01826039,0.027209,0.06899999999999995,68.99999999999994,0.7960069999999999,4.026,0.01826039,0.027209,52a->54a,0.517878,4.095,0.498507322,0.823216,52a->53a,0.823216
15,75.0,PYR5,1,3.797,0.617289556,0.828714,52a->53a,0.828714,2,3.861,0.048610659,0.050248,0.06400000000000006,64.00000000000006,0.778466,3.797,0.617289556,0.828714,52a->53a,0.828714,3.861,0.048610659,0.050248,52a->54a,0.567885
16,80.0,PYR2,2,4.095,0.484549816,0.829879,52a->53a,0.829879,1,4.005,0.007980509,0.013441,0.08999999999999986,89.99999999999986,0.816438,4.005,0.007980509,0.013441,52a->54a,0.511229,4.095,0.484549816,0.829879,52a->53a,0.829879
16,80.0,PYR3,2,4.073,0.500972655,0.845418,52a->53a,0.845418,1,3.979,0.004160358,0.0,0.0940000000000003,94.00000000000031,0.845418,3.979,0.004160358,0.0,52a->54a,0.557898,4.073,0.500972655,0.845418,52a->53a,0.845418
16,80.0,PYR4,2,4.088,0.514035631,0.849671,52a->53a,0.849671,1,4.021,0.00075086,0.0,0.06700000000000017,67.00000000000017,0.849671,4.021,0.00075086,0.0,52a->54a,0.522877,4.088,0.514035631,0.849671,52a->53a,0.849671
16,80.0,PYR5,1,3.787,0.64087199,0.854841,52a->53a,0.854841,2,3.848,0.027434139,0.023742,0.06099999999999994,60.99999999999994,0.8310989999999999,3.787,0.64087199,0.854841,52a->53a,0.854841,3.848,0.027434139,0.023742,52a->54a,0.587752
17,85.0,PYR2,2,4.09,0.503383394,0.84291,52a->53a,0.84291,1,3.997,0.003950877,0.0,0.09299999999999997,92.99999999999997,0.84291,3.997,0.003950877,0.0,52a->54a,0.540596,4.09,0.503383394,0.84291,52a->53a,0.84291
17,85.0,PYR3,2,4.091,0.499303464,0.825989,52a->53a,0.825989,1,4.014,0.015689894,0.023583,0.07699999999999996,76.99999999999996,0.802406,4.014,0.015689894,0.023583,52a->54a,0.519892,4.091,0.499303464,0.825989,52a->53a,0.825989
17,85.0,PYR4,2,4.095,0.516236756,0.849892,52a->53a,0.849892,1,4.023,0.004235391,0.0,0.07200000000000006,72.00000000000006,0.849892,4.023,0.004235391,0.0,52a->54a,0.550478,4.095,0.516236756,0.849892,52a->53a,0.849892
17,85.0,PYR5,1,3.756,0.658947702,0.866801,52a->53a,0.866801,2,3.815,0.01916748,0.01205,0.05900000000000016,59.00000000000016,0.854751,3.756,0.658947702,0.866801,52a->53a,0.866801,3.815,0.01916748,0.01205,52a->54a,0.602974
18,90.0,PYR2,2,4.087,0.501314575,0.842501,52a->53a,0.842501,1,4.011,0.004740677,0.0,0.07599999999999962,75.99999999999963,0.842501,4.011,0.004740677,0.0,52a->54a,0.534456,4.087,0.501314575,0.842501,52a->53a,0.842501
18,90.0,PYR3,2,4.089,0.514666779,0.847292,52a->53a,0.847292,1,4.017,0.003591347,0.0,0.07200000000000006,72.00000000000006,0.847292,4.017,0.003591347,0.0,52a->54a,0.536247,4.089,0.514666779,0.847292,52a->53a,0.847292
18,90.0,PYR4,2,4.088,0.513302479,0.84913,52a->53a,0.84913,1,4.022,0.005227546,0.0,0.06599999999999984,65.99999999999983,0.84913,4.022,0.005227546,0.0,52a->54a,0.560698,4.088,0.513302479,0.84913,52a->53a,0.84913
18,90.0,PYR5,1,3.753,0.647780357,0.871044,52a->53a,0.871044,2,3.835,0.007279731,0.0,0.08199999999999985,81.99999999999986,0.871044,3.753,0.647780357,0.871044,52a->53a,0.871044,3.835,0.007279731,0.0,52a->54a,0.579343
19,95.0,PYR2,2,4.085,0.505899823,0.842362,52a->53a,0.842362,1,3.998,0.005387942,0.0,0.08699999999999974,86.99999999999974,0.842362,3.998,0.005387942,0.0,52a->54a,0.539389,4.085,0.505899823,0.842362,52a->53a,0.842362
19,95.0,PYR3,2,4.079,0.506260518,0.846609,52a->53a,0.846609,1,4.009,0.002384253,0.0,0.0699999999999994,69.9999999999994,0.846609,4.009,0.002384253,0.0,52a->54a,0.529008,4.079,0.506260518,0.846609,52a->53a,0.846609
19,95.0,PYR4,2,4.088,0.509308271,0.847765,52a->53a,0.847765,1,4.0,0.005415159,0.0,0.08800000000000008,88.00000000000009,0.847765,4.0,0.005415159,0.0,52a->54a,0.564108,4.088,0.509308271,0.847765,52a->53a,0.847765
19,95.0,PYR5,1,3.781,0.649181293,0.861175,52a->53a,0.861175,2,3.851,0.018740564,0.017993,0.06999999999999984,69.99999999999984,0.843182,3.781,0.649181293,0.861175,52a->53a,0.861175,3.851,0.018740564,0.017993,52a->54a,0.565379
20,100.0,PYR2,2,4.078,0.476937983,0.825551,52a->53a,0.825551,1,4.01,0.010873752,0.018102,0.0680000000000005,68.00000000000051,0.8074490000000001,4.01,0.010873752,0.018102,52a->54a,0.522944,4.078,0.476937983,0.825551,52a->53a,0.825551
20,100.0,PYR3,2,4.066,0.499580956,0.845965,52a->53a,0.845965,1,4.0,0.005212785,0.0,0.06599999999999984,65.99999999999983,0.845965,4.0,0.005212785,0.0,52a->54a,0.564594,4.066,0.499580956,0.845965,52a->53a,0.845965
20,100.0,PYR4,2,4.083,0.521661364,0.849818,52a->53a,0.849818,1,4.016,0.006844006,0.0,0.06700000000000017,67.00000000000017,0.849818,4.016,0.006844006,0.0,52a->54a,0.565839,4.083,0.521661364,0.849818,52a->53a,0.849818
20,100.0,PYR5,1,3.768,0.670424221,0.878432,52a->53a,0.878432,2,3.848,0.009116058,0.0,0.08000000000000007,80.00000000000007,0.878432,3.768,0.670424221,0.878432,52a->53a,0.878432,3.848,0.009116058,0.0,52a->54a,0.592535
