k_down_ps,gamma_phi_ps,max_PYR2,final_PYR2,t_PYR2_1pct_fs,t_PYR2_5pct_fs,t_PYR2_10pct_fs,t_thermal_within_5pct_fs,t_thermal_within_2pct_fs,t_thermal_within_1pct_fs
0.1,1.0,0.2883321442754765,0.2883321442754765,60.0,600.0,1340.0,6390.0,9490.0,
1.0,1.0,0.3056153717502963,0.3054316892071267,20.0,60.0,130.0,650.0,970.0,1200.0
5.0,1.0,0.305750506326706,0.3054316884481723,10.0,20.0,30.0,190.0,240.0,240.0
10.0,1.0,0.3055074605354796,0.305431688446681,10.0,10.0,20.0,90.0,130.0,190.0
