time_fs,PYR2,PYR3,PYR4,PYR5,X1,X2,X3,X4,purity,trace_real,trace_imag
0.0,0.0,0.0,0.0,1.0,0.3927478485902412,0.004553702830783028,0.20794238613475677,0.394756062444219,1.0,1.0,0.0
10.0,0.038623357541848445,0.026632326792495813,0.22350008847038402,0.7112442271952713,0.4055577448617161,0.04294870320049739,0.20824637519747727,0.3432471767403089,0.846457543908888,0.9999999999999996,-9.525649640342428e-17
20.0,0.07247326139262832,0.08474868752470305,0.5613942683897535,0.28138378269291475,0.4172282953988543,0.07656545011357933,0.2071014836957375,0.2991047707918285,0.7293928124351161,0.9999999999999996,-1.7298787041236152e-16
30.0,0.10228024756885608,0.2055125843363584,0.6243576218956369,0.0678495461991482,0.4278608365961787,0.10598984600364524,0.20488385980706547,0.2612654575931104,0.6402653635957538,0.9999999999999996,-5.32277198001353e-16
40.0,0.12885161132378878,0.35262542432472394,0.3858532450065549,0.13266971934493196,0.43754769172379737,0.13173668897165458,0.20189512674476517,0.22882049255978268,0.5725493879146208,0.9999999999999996,-8.351619928915601e-16
50.0,0.15284348238656031,0.44170087798507207,0.13939176212504728,0.26606387750331995,0.44637297257830166,0.15425823871418573,0.1983756356039906,0.20099315310352187,0.5212505984052207,0.9999999999999996,-7.208933644311243e-16
60.0,0.17447195412221583,0.42020607836797946,0.13195811709803051,0.27336385041177386,0.4544133098327341,0.17395175598250293,0.19451549185222972,0.17711944233253332,0.48254123359432066,0.9999999999999996,-8.933297183000268e-16
70.0,0.19353460558060648,0.3152735976404654,0.31641402006703306,0.17477777671189462,0.4617385184273159,0.19116613809949778,0.19046371687045985,0.1566316266027264,0.4534837335971482,0.9999999999999996,-4.507198671179251e-16
80.0,0.2097926364338427,0.20274912482740298,0.4569681705915299,0.1304900681472238,0.46841220377858056,0.20620775847757467,0.18633584857948426,0.1390441891643601,0.43182112057357014,0.9999999999999993,-3.1806521629586766e-16
90.0,0.22335680846056066,0.13849864174754828,0.41018534631447817,0.22795920347741225,0.4744923140706788,0.2193456052287687,0.1822202367832637,0.12394184391728842,0.415817656702283,0.9999999999999993,-3.5377818445203467e-17
