,PYR2,PYR3,PYR4,PYR5
PYR2,3755.0,2.37,0.0,0.0
PYR3,2.37,3777.5,17.0,0.0
PYR4,0.0,17.0,3777.5,33.0
PYR5,0.0,0.0,33.0,3777.5
