case,exciton_state,energy_eV,shift_meV_from_mean_site,participation_ratio,dominant_site,weight_PYR2,weight_PYR3,weight_PYR4,weight_PYR5
baseline_J45_11meV,X1,3.738122035042011,-22.877964957989327,1.9127404838121276,PYR5,0.22820803520853525,0.03172503301530104,0.05708366129529133,0.6829832704808718
baseline_J45_11meV,X2,3.755443708576707,-5.556291423292947,2.46841491629219,PYR2,0.5583824856568722,0.1865955877763249,0.013512558236236972,0.2415093683305655
baseline_J45_11meV,X3,3.7617733028975513,0.7733028975511758,2.3131174384978324,PYR3,0.17032497547698872,0.5898400546020239,0.23531832967852678,0.004516640242459128
baseline_J45_11meV,X4,3.7886609534837326,27.66095348373243,1.9031201595616152,PYR4,0.043084503657603,0.19183932460634892,0.6940854507899444,0.0709907209461031
hydrated_J45_33meV,X1,3.72357499877991,-37.42500122009007,1.9062954148098574,PYR5,0.04773426198398022,0.020398962975535825,0.2565352671358579,0.6753315079046264
hydrated_J45_33meV,X2,3.752802298107132,-8.197701892868281,1.4636013277313313,PYR2,0.8172022174614937,0.11440080197817461,0.03398905198352966,0.034407928576802284
hydrated_J45_33meV,X3,3.7644793644924777,3.4793644924775435,1.5398125902864983,PYR3,0.10879359400942522,0.7956029427566463,0.052250424499081204,0.04335303873484764
hydrated_J45_33meV,X4,3.803143338620478,42.1433386204777,2.0062504509892922,PYR4,0.0262699265451012,0.06959729228964362,0.6572252563815311,0.24690752478372402
