atom_id_i,atom_id_j,type_i,type_j,distance_A
9401,9689,1,2,3.3898200000000003
3247,3535,1,2,3.3898999999999972
1920,2208,2,1,3.389800000000008
13289,13577,1,2,3.389800000000001
6092,6380,1,2,3.389900000000001
11307,11595,1,2,3.389800000000001
15479,15767,2,1,3.389799999999994
543,831,1,2,3.3899000000000115
4431,4719,1,2,3.389800000000001
8603,8891,1,2,3.38982
6621,6909,2,1,3.389800000000001
3054,3342,2,1,3.389799999999994
10509,10797,2,1,3.389800000000001
6942,7230,2,1,3.389900000000001
1072,1360,1,2,3.389799999999994
14681,14969,2,1,3.3898999999999972
11114,11402,2,1,3.389800000000001
9132,9420,1,2,3.38983
13304,13592,2,1,3.389800000000001
2256,2544,2,1,3.389799999999994
11643,11931,2,1,3.3898999999999972
274,562,1,2,3.389799999999994
13883,14171,1,2,3.389799999999994
4446,4734,2,1,3.389800000000001
15815,16103,2,1,3.3899000000000115
8334,8622,1,2,3.3898399999999995
12506,12794,2,1,3.389800000000001
2785,3073,2,1,3.389800000000008
14154,14442,1,2,3.389800000000008
16394,16682,1,2,3.389799999999994
6957,7245,1,2,3.389900000000001
10845,11133,2,1,3.389900000000001
3648,3936,2,1,3.389800000000001
15017,15305,1,2,3.389800000000008
7536,7824,2,1,3.3898200000000003
9468,9756,1,2,3.3898200000000003
11708,11996,2,1,3.3898999999999972
1987,2275,2,1,3.389800000000008
13356,13644,1,2,3.389800000000001
16923,17211,2,1,3.389799999999994
6159,6447,1,2,3.389900000000001
10047,10335,2,1,3.389900000000001
610,898,2,1,3.389799999999994
2850,3138,2,1,3.389800000000008
14219,14507,1,2,3.389800000000008
4782,5070,2,1,3.389800000000001
8670,8958,2,1,3.3898399999999995
3121,3409,2,1,3.389799999999994
5361,5649,1,2,3.3898999999999972
16730,17018,2,1,3.389799999999994
7293,7581,1,2,3.389800000000001
14748,15036,1,2,3.389799999999994
3984,4272,2,1,3.389800000000001
7872,8160,2,1,3.38983
675,963,2,1,3.389799999999994
12044,12332,2,1,3.389800000000001
15932,16220,2,1,3.389799999999994
5890,6178,1,2,3.389800000000001
10062,10350,1,2,3.389900000000001
2323,2611,1,2,3.3898999999999972
13950,14238,1,2,3.389799999999994
6495,6783,1,2,3.389800000000001
10383,10671,1,2,3.389800000000001
8401,8689,2,1,3.38982
3186,3474,1,2,3.3898999999999972
14555,14843,1,2,3.3898999999999972
12573,12861,2,1,3.389800000000001
16461,16749,2,1,3.3899000000000115
1525,1813,1,2,3.389799999999994
11246,11534,1,2,3.389800000000001
5697,5985,1,2,3.389800000000001
9585,9873,1,2,3.389800000000001
3715,4003,2,1,3.389800000000001
13757,14045,1,2,3.3898999999999972
11775,12063,2,1,3.3898999999999972
6226,6514,1,2,3.389900000000001
2917,3205,1,2,3.389799999999994
14286,14574,1,2,3.389800000000008
7089,7377,1,2,3.389900000000001
3522,3810,2,1,3.389800000000001
10977,11265,1,2,3.389800000000001
1540,1828,2,1,3.389799999999994
5428,5716,1,2,3.3898999999999972
16797,17085,2,1,3.389799999999994
9600,9888,2,1,3.389800000000001
2119,2407,1,2,3.389799999999994
13488,13776,1,2,3.389800000000001
4051,4339,1,2,3.3898999999999972
6291,6579,1,2,3.389900000000001
7939,8227,2,1,3.38983
10179,10467,1,2,3.3897999999999975
742,1030,2,1,3.389799999999994
14351,14639,1,2,3.389800000000008
4630,4918,2,1,3.389800000000001
12111,12399,1,2,3.389800000000001
15999,16287,2,1,3.389799999999994
8802,9090,2,1,3.3898399999999995
12690,12978,2,1,3.3898999999999972
3253,3541,1,2,3.3898999999999972
16862,17150,2,1,3.389799999999994
7141,7429,2,1,3.389900000000001
11313,11601,1,2,3.389800000000001
15201,15489,2,1,3.389800000000008
1876,2164,2,1,3.389800000000008
9331,9619,2,1,3.3898200000000003
5764,6052,2,1,3.389800000000001
8004,8292,2,1,3.38983
9936,10224,1,2,3.389900000000001
13824,14112,2,1,3.3898999999999972
2455,2743,1,2,3.3898999999999972
10515,10803,1,2,3.389800000000001
1078,1366,1,2,3.389799999999994
4966,5254,1,2,3.389800000000001
2984,3272,1,2,3.389799999999994
9138,9426,1,2,3.38983
13026,13314,1,2,3.389800000000001
11044,11332,1,2,3.389800000000001
5829,6117,1,2,3.389800000000001
15216,15504,1,2,3.389800000000008
280,568,1,2,3.389799999999994
4168,4456,1,2,3.3898999999999972
2186,2474,1,2,3.389799999999994
8340,8628,1,2,3.3898399999999995
6358,6646,2,1,3.389800000000001
2791,3079,2,1,3.389800000000008
10246,10534,1,2,3.3897999999999975
6679,6967,2,1,3.3897999999999975
809,1097,2,1,3.389799999999994
14418,14706,2,1,3.3898999999999972
10851,11139,2,1,3.389900000000001
8869,9157,2,1,3.3898399999999995
5560,5848,2,1,3.389800000000001
1993,2281,2,1,3.389800000000008
16929,17217,2,1,3.389799999999994
11,299,1,2,3.389799999999994
13620,13908,2,1,3.3898999999999972
11380,11668,1,2,3.389800000000001
15552,15840,2,1,3.389799999999994
4183,4471,1,2,3.3898999999999972
8071,8359,1,2,3.3898399999999995
12243,12531,1,2,3.389800000000001
13891,14179,1,2,3.389799999999994
2522,2810,1,2,3.3898999999999972
16131,16419,1,2,3.389799999999994
6694,6982,1,2,3.3897999999999975
10582,10870,2,1,3.389800000000001
14754,15042,1,2,3.389799999999994
5033,5321,1,2,3.389800000000001
3385,3673,1,2,3.3898999999999972
7273,7561,1,2,3.389800000000001
9205,9493,1,2,3.38983
16660,16948,2,1,3.3899000000000115
1724,2012,2,1,3.389799999999994
13093,13381,1,2,3.389800000000001
11445,11733,2,1,3.389800000000001
5896,6184,1,2,3.389800000000001
9784,10072,2,1,3.389800000000001
347,635,2,1,3.3899000000000115
2587,2875,2,1,3.3898999999999972
13956,14244,1,2,3.389799999999994
8407,8695,2,1,3.38982
926,1214,1,2,3.389799999999994
2858,3146,2,1,3.389800000000008
16467,16755,2,1,3.3899000000000115
5098,5386,1,2,3.389800000000001
14485,14773,2,1,3.3898999999999972
3721,4009,2,1,3.389800000000001
7609,7897,2,1,3.3898200000000003
11781,12069,2,1,3.3898999999999972
2060,2348,1,2,3.389799999999994
15669,15957,2,1,3.3899000000000115
5627,5915,2,1,3.389800000000001
9799,10087,1,2,3.389900000000001
6232,6520,1,2,3.389900000000001
13687,13975,2,1,3.3898999999999972
10120,10408,1,2,3.3897999999999975
2923,3211,1,2,3.389799999999994
14292,14580,1,2,3.389800000000008
8138,8426,1,2,3.3898399999999995
12310,12598,2,1,3.389800000000001
16198,16486,2,1,3.389799999999994
1262,1550,1,2,3.3899000000000115
5434,5722,1,2,3.3898999999999972
12889,13177,2,1,3.3898999999999972
3452,3740,2,1,3.3898999999999972
13494,13782,1,2,3.389800000000001
11512,11800,2,1,3.389800000000001
15400,15688,2,1,3.389799999999994
5963,6251,1,2,3.389800000000001
10135,10423,2,1,3.3897999999999975
2654,2942,1,2,3.389800000000008
14023,14311,1,2,3.389799999999994
8474,8762,2,1,3.38982
10714,11002,1,2,3.389900000000001
1277,1565,2,1,3.3899000000000115
5165,5453,1,2,3.389800000000001
16534,16822,2,1,3.3899000000000115
9337,9625,2,1,3.3898200000000003
13225,13513,1,2,3.389800000000001
1856,2144,1,2,3.389800000000008
3788,4076,1,2,3.389800000000001
6028,6316,1,2,3.389800000000001
7676,7964,2,1,3.3898200000000003
479,767,2,1,3.3899000000000115
11848,12136,1,2,3.389800000000001
4367,4655,2,1,3.389800000000001
14088,14376,1,2,3.389799999999994
15736,16024,2,1,3.3899000000000115
8539,8827,2,1,3.38982
12427,12715,2,1,3.389800000000001
2990,3278,1,2,3.389799999999994
16599,16887,2,1,3.3899000000000115
6878,7166,2,1,3.3897999999999975
11050,11338,1,2,3.389800000000001
14938,15226,2,1,3.389799999999994
1613,1901,2,1,3.389799999999994
9068,9356,2,1,3.38983
5501,5789,2,1,3.389800000000001
7741,8029,2,1,3.3898200000000003
9673,9961,2,1,3.389800000000001
2192,2480,1,2,3.389799999999994
13561,13849,2,1,3.3898999999999972
10252,10540,1,2,3.3897999999999975
815,1103,2,1,3.389799999999994
4703,4991,2,1,3.389800000000001
2721,3009,1,2,3.389800000000008
16330,16618,2,1,3.389799999999994
8875,9163,2,1,3.3898399999999995
12763,13051,2,1,3.3898999999999972
10781,11069,1,2,3.389900000000001
5566,5854,2,1,3.389800000000001
16935,17223,2,1,3.389799999999994
14953,15241,1,2,3.389799999999994
17,305,1,2,3.389799999999994
3905,4193,2,1,3.389800000000001
1923,2211,1,2,3.389800000000008
