component_index,atom_id,atom_type,element,degree,x_A,y_A,z_A
3,1155,1,B,2,68.9365,12.1554,-86.4407
3,1443,2,N,2,68.9365,12.1554,-83.0508
3,1731,1,B,2,68.9365,12.1554,-79.661
3,2019,2,N,2,68.9365,12.1554,-76.2712
3,2307,1,B,2,68.9365,12.1554,-72.8814
3,2595,2,N,2,68.9365,12.1554,-69.4915
3,2883,1,B,2,68.9365,12.1554,-66.1017
3,3171,2,N,2,68.9365,12.1554,-62.7119
3,3459,1,B,2,68.9365,12.1554,-59.322
3,3747,2,N,2,68.9365,12.1554,-55.9322
3,4035,1,B,2,68.9365,12.1554,-52.5424
3,4323,2,N,2,68.9365,12.1554,-49.1525
3,4611,1,B,2,68.9365,12.1554,-45.7627
3,4899,2,N,2,68.9365,12.1554,-42.3729
3,5187,1,B,2,68.9365,12.1554,-38.9831
3,5475,2,N,2,68.9365,12.1554,-35.5932
3,5763,1,B,2,68.9365,12.1554,-32.2034
3,6051,2,N,2,68.9365,12.1554,-28.8136
3,6339,1,B,2,68.9365,12.1554,-25.4237
3,6627,2,N,2,68.9365,12.1554,-22.0339
3,6915,1,B,2,68.9365,12.1554,-18.6441
3,7203,2,N,2,68.9365,12.1554,-15.2542
3,7491,1,B,2,68.9365,12.1554,-11.8644
3,7779,2,N,2,68.9365,12.1554,-8.47458
3,8067,1,B,2,68.9365,12.1554,-5.08475
3,8355,2,N,2,68.9365,12.1554,-1.69491
3,8643,1,B,2,68.9365,12.1554,1.69491
3,8931,2,N,2,68.9365,12.1554,5.08475
3,9219,1,B,2,68.9365,12.1554,8.47458
3,9507,2,N,2,68.9365,12.1554,11.8644
3,9795,1,B,2,68.9365,12.1554,15.2542
3,10083,2,N,2,68.9365,12.1554,18.6441
3,10371,1,B,2,68.9365,12.1554,22.0339
3,10659,2,N,2,68.9365,12.1554,25.4237
3,10947,1,B,2,68.9365,12.1554,28.8136
3,11235,2,N,2,68.9365,12.1554,32.2034
3,11523,1,B,2,68.9365,12.1554,35.5932
3,11811,2,N,2,68.9365,12.1554,38.9831
3,12099,1,B,2,68.9365,12.1554,42.3729
3,12387,2,N,2,68.9365,12.1554,45.7627
3,12675,1,B,2,68.9365,12.1554,49.1525
3,12963,2,N,2,68.9365,12.1554,52.5424
3,13251,1,B,2,68.9365,12.1554,55.9322
