cluster_atom_index,original_atom_id,original_molecule_id,atom_type,element,x_A,y_A,z_A
1,9793,0,1,B,70.0,0.0,15.2542
2,10081,0,2,N,70.0,0.0,18.6441
3,10082,0,1,B,69.7336,6.1009,18.6441
4,10152,0,1,B,69.7336,-6.1009,18.6441
5,10369,0,1,B,70.0,0.0,22.0339
6,10370,0,2,N,69.7336,6.1009,22.0339
7,10440,0,2,N,69.7336,-6.1009,22.0339
8,10657,0,2,N,70.0,0.0,25.4237
9,32218,5980,3,O,62.056,0.554117,25.3488
10,32219,5980,4,H,61.9099,1.33189,25.8873
11,32220,5980,4,H,62.8,0.783893,24.7922
12,49492,11738,3,O,64.4245,1.46807,23.7718
13,49493,11738,4,H,64.6153,2.23257,24.3153
14,49494,11738,4,H,65.0467,1.52776,23.0468
15,107297,31009,5,X,66.0,0.0,19.0
16,107298,31009,6,X,66.0,0.0,21.0
