gate,pass
R2_geometry_gate_passed,True
R2_geometry_authorized_topology,True
R2_GRO_has_68332_atoms,True
R2_caps_GRO_has_288_beads,True
CAPL_topology_has_144_atoms,True
CAPU_topology_has_144_atoms,True
SOL_count_is_16565,True
CAPL_and_CAPU_counts_are_one,True
CAP_OW_function_is_one,True
CAP_OW_sigma_is_negative_0p17nm,True
CAP_OW_epsilon_matches_R1_selected_model,True
grompp_return_code_zero,True
TPR_dump_return_code_zero,True
TPR_has_68332_atoms,True
mdrun_return_code_zero,True
mdrun_finished,True
no_instability_signatures,True
minimum_CAP_OW_distance_is_valid,True
selected_CAP_SOL_energy_is_finite,True
selected_CAP_SOL_energy_is_below_100kJmol,True
selected_maximum_water_force_is_below_250,True
GROMACS_and_analytic_CAP_SOL_agree,True
CAP_SOL_Coulomb_is_zero,True
CAP_HBNPYR_LJ_is_zero,True
CAP_HBNPYR_Coulomb_is_zero,True
lower_actual_aperture_radius_is_0p20_to_0p45nm,True
upper_actual_aperture_radius_is_0p20_to_0p45nm,True
lower_upper_aperture_radii_are_symmetric,True
central_axial_path_barrier_is_at_most_5kBT,True
