offset_from_cap_plane_nm,lower_centerline_energy_kJ_mol,lower_centerline_energy_kBT,upper_centerline_energy_kJ_mol,upper_centerline_energy_kBT
-0.53,4.212583388276231e-06,1.6888577497394957e-06,4.212583388276251e-06,1.6888577497395036e-06
-0.528,4.3012238481800204e-06,1.7243944059551591e-06,4.301223848180032e-06,1.724394405955164e-06
-0.526,4.391750222065343e-06,1.7606871398907127e-06,4.391750222065381e-06,1.760687139890728e-06
-0.524,4.4842017400409085e-06,1.7977516792047e-06,4.484201740040938e-06,1.7977516792047119e-06
-0.522,4.578618384356177e-06,1.8356040530947957e-06,4.578618384356199e-06,1.8356040530948046e-06
-0.52,4.675040900829682e-06,1.874260596879511e-06,4.675040900829736e-06,1.8742605968795327e-06
-0.518,4.773510810320528e-06,1.9137379565972044e-06,4.773510810320572e-06,1.913737956597222e-06
-0.516,4.874070420236628e-06,1.9540530936198287e-06,4.874070420236664e-06,1.954053093619843e-06
-0.514,4.976762836072942e-06,1.9952232892786968e-06,4.976762836072964e-06,1.9952232892787057e-06
-0.512,5.0816319729726e-06,2.0372661494994296e-06,5.081631972972611e-06,2.0372661494994342e-06
-0.51,5.188722567303448e-06,2.080199609443084e-06,5.188722567303494e-06,2.0801996094431026e-06
-0.508,5.2980801882420946e-06,2.1240419381502867e-06,5.298080188242131e-06,2.124041938150301e-06
-0.506,5.409751249357265e-06,2.168811743185092e-06,5.4097512493572894e-06,2.168811743185102e-06
-0.504,5.5237830201836784e-06,2.2145279752750427e-06,5.523783020183741e-06,2.214527975275068e-06
-0.502,5.640223637777449e-06,2.261209932943817e-06,5.640223637777502e-06,2.2612099329438383e-06
-0.5,5.759122118243382e-06,2.3088772671326147e-06,5.759122118243421e-06,2.3088772671326304e-06
-0.498,5.880528368224215e-06,2.3575499858062837e-06,5.880528368224243e-06,2.357549985806295e-06
-0.496,6.00449319634138e-06,2.407248458540011e-06,6.004493196341393e-06,2.4072484585400164e-06
-0.494,6.131068324576268e-06,2.457993421082161e-06,6.131068324576324e-06,2.4579934210821836e-06
-0.492,6.260306399580706e-06,2.509805979888735e-06,6.260306399580748e-06,2.509805979888752e-06
-0.49,6.392261003904621e-06,2.5627076166246298e-06,6.392261003904651e-06,2.562707616624642e-06
-0.488,6.526986667128545e-06,2.616720192626745e-06,6.52698666712862e-06,2.6167201926267746e-06
-0.486,6.6645388768879526e-06,2.671865953323728e-06,6.664538876888014e-06,2.6718659533237528e-06
-0.484,6.804974089775976e-06,2.7281675326069583e-06,6.804974089776024e-06,2.728167532606978e-06
-0.482,6.948349742110436e-06,2.785647957147134e-06,6.948349742110469e-06,2.7856479571471473e-06
-0.48,7.094724260550566e-06,2.8443306506505984e-06,7.094724260550584e-06,2.8443306506506056e-06
-0.478,7.244157072548265e-06,2.9042394380493327e-06,7.244157072548332e-06,2.9042394380493594e-06
-0.476,7.396708616618072e-06,2.9653985496182656e-06,7.396708616618124e-06,2.9653985496182863e-06
