LAMMPS (10 Dec 2025)
Reading data file ...
  orthogonal box = (-10.450439 -7.859276 -10.619224) to (8.357685 8.898672 6.948941)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  37 atoms
  reading velocities ...
  37 velocities
  scanning bonds ...
  3 = max bonds/atom
  scanning angles ...
  3 = max angles/atom
  scanning dihedrals ...
  12 = max dihedrals/atom
  scanning impropers ...
  2 = max impropers/atom
  orthogonal box = (-10.450439 -7.859276 -10.619224) to (8.357685 8.898672 6.948941)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  42 bonds
  reading angles ...
  64 angles
  reading dihedrals ...
  97 dihedrals
  reading impropers ...
  17 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0.5     
  special bond factors coul:  0        0        0.5     
     3 = max # of 1-2 neighbors
     6 = max # of 1-3 neighbors
    17 = max # of 1-4 neighbors
    17 = max # of special neighbors
  special bonds CPU = 0.000 seconds
  read_data CPU = 0.005 seconds
Generated 6 of 6 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 0.25
Per MPI rank memory allocation (min/avg/max) = 12.56 | 12.56 | 12.56 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         Press     
         0   218.1042       44.947283      23.404579      68.351861      9.6293468      16.093908      0              4.319083       14.904945     -2046.0055    
       100   269.63424      39.685418      28.934224      68.619642      8.732998       11.410723      0              3.6707428      15.870955      2430.9528    
       200   275.5096       39.914279      29.564704      69.478983      6.7144426      11.512478      0              6.0102575      15.677101     -34.984521    
       300   240.59928      45.15481       25.818507      70.973317      14.196995      7.9511267      0              6.1933547      16.813334      581.46689    
       400   197.00643      51.904447      21.140595      73.045042      17.987134      8.7378848      0              8.2636743      16.915754     -350.80952    
       500   288.42662      44.671994      30.950819      75.622813      13.61635       7.0020657      0              8.7312843      15.322295     -3284.9477    
       600   289.06098      47.153044      31.018891      78.171935      13.15417       11.419092      0              7.2022506      15.377532     -2978.0805    
       700   341.64101      43.622593      36.661211      80.283804      11.059012      10.325908      0              5.323819       16.913854      408.88877    
       800   325.31623      46.639843      34.909412      81.549256      12.844055      10.333694      0              6.4640283      16.998066      1483.6782    
       900   293.30633      50.619619      31.474456      82.094074      12.910136      11.238794      0              9.5134913      16.957198      1647.2764    
      1000   364.59566      43.095802      39.124454      82.220256      11.467908      11.237689      0              4.8657142      15.52449      -393.57797    
      1100   344.8036       45.128023      37.000585      82.128608      17.237943      8.3050797      0              2.7041883      16.880813     -2302.5952    
      1200   329.79119      46.348998      35.389616      81.738614      16.44345       7.0542282      0              6.6642538      16.187066     -804.068      
      1300   376.42644      40.601351      40.394005      80.995357      12.236547      4.9963571      0              5.8899692      17.478478      2470.4235    
      1400   278.70393      50.223657      29.907485      80.131143      14.477591      11.029482      0              7.1729773      17.543606     -592.00136    
      1500   289.4079       48.108743      31.056119      79.164862      15.37981       9.7775795      0              5.9233907      17.027962     -799.02375    
      1600   285.6137       47.582508      30.648967      78.231475      14.538346      9.8846532      0              5.5480732      17.611435     -622.70444    
      1700   201.10907      55.682817      21.580845      77.263662      17.573707      16.955075      0              4.6110269      16.543008     -912.15129    
      1800   312.14894      42.710093      33.496441      76.206534      12.548914      10.11351       0              3.6272764      16.420393     -1227.931     
      1900   301.0997       42.843285      32.310756      75.154041      9.5915432      10.752252      0              5.3338593      17.165631      836.83387    
      2000   279.70108      44.148561      30.014489      74.163049      9.3096715      12.472298      0              5.2522895      17.114302      1861.2015    
      2100   337.27123      36.821357      36.192293      73.01365       10.27295       5.9743071      0              2.9785473      17.595553      3292.321     
      2200   290.76365      40.3999        31.201604      71.601504      11.054092      8.5388071      0              4.100353       16.706648     -136.92474    
      2300   262.24203      41.782631      28.140972      69.923603      14.421608      5.1893962      0              3.9430469      18.228579      1618.3517    
      2400   203.07285      46.299519      21.791577      68.091096      14.149049      10.557777      0              3.9841789      17.608514      612.86338    
      2500   245.15493      39.98052       26.30737       66.28789       11.726726      5.3691737      0              5.1162857      17.768335      193.58027    
      2600   190.91157      44.377649      20.48656       64.864209      9.5060584      11.536223      0              4.6721978      18.663169      1938.198     
      2700   203.16985      42.25265       21.801987      64.054637      9.8339159      9.3311961      0              4.9927814      18.094757     -929.92722    
      2800   243.56347      37.837416      26.136592      63.974008      8.9036042      5.79951        0              4.5909261      18.543376      40.664612    
      2900   222.61482      40.967413      23.88861       64.856023      9.3524681      9.6127185      0              3.9263641      18.075862      242.73703    
      3000   245.23757      40.485214      26.316238      66.801451      10.006061      7.9596815      0              4.3601024      18.159369     -1665.0035    
